"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL"
"1",31,0.720930232558139,0,0,0
"1",4,0,0.0930232558139535,0,0
"1",8,0,0,0.186046511627907,0
"2",36,0,0.923076923076923,0,0
"2",3,0,0,0.0769230769230769,0
"3",5,0.333333333333333,0,0,0
"3",6,0,0.4,0,0
"3",1,0,0,0.0666666666666667,0
"3",3,0,0,0,0.2
"4",23,0.621621621621622,0,0,0
"4",5,0,0.135135135135135,0,0
"4",9,0,0,0.243243243243243,0
