"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"avg_speed",0.54761672665542,0.0927317327292454,0.52108058901219,0.253827673361393,0.581001864586368,0.134161177513458,0.000943513779737793
"sd_speed",0.431641088414264,0.253536966797937,-0.821832006840766,0.0853931454341908,0.255519041950774,-0.013486862842382,0.0351178620592677
"ace_pct",0.578414139998523,0.31750293903217,0.165190414322468,-0.301297040986717,-0.648893421803217,0.158289447647506,-0.0210467187058461
"location_entropy",0.39076119414641,-0.890523970310768,-0.110128199556449,0.109567734135234,-0.171290660897719,-0.0173971115820452,0.0222775390913911
"modal_location_WBC_DNCTL",-0.0515187140234109,0.0903267183521867,-0.0417098256008984,0.650627163038588,-0.250760928001267,0.169679899505965,-0.687356661358125
"modal_location_WBW_DNCTL",0.0167830154157138,-0.140954965294817,-0.0426452924055762,-0.634173827373446,0.288443792103973,0.150068684229976,-0.685663571055524
"modal_location_WC_DNCTL",0.153651605190845,0.0724676198745092,0.100462671919469,-0.00154242302535258,-0.0257453872000503,-0.951393081732284,-0.235016765027262
