"cluster","n","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL","WBC_DNCTL"
"1",12,0.333333333333333,0,0,0,0
"1",2,0,0.0555555555555556,0,0,0
"1",11,0,0,0.305555555555556,0.305555555555556,0
"2",1,0.0151515151515152,0,0,0,0
"2",2,0,0.0303030303030303,0,0,0
"2",63,0,0,0.954545454545455,0,0
"3",5,0,0,0,0,1
"4",15,0,0,0.9375,0,0
"4",1,0,0,0,0.0625,0
