"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","modal_location","n_serves","cluster"
"adrian mannarino",101.153374233129,14.8282818433449,0.00920245398773006,2.88217608745446,"WC_DNCTL",326,"3"
"alejandro davidovich fokina",107.778523489933,10.9801446989809,0.0268456375838926,3.00752775132194,"WBW_DNCTL",298,"3"
"alejandro tabilo",108.28,12.5161844973562,0.08,2.93967738323086,"WC_DNCTL",200,"4"
"aleksandar kovacevic",110.925925925926,11.9820467552269,0.0987654320987654,2.72393740968865,"WC_DNCTL",81,"2"
"aleksandar vukic",110.525641025641,9.45766281632973,0.0128205128205128,2.86554316745644,"WC_DNCTL",78,"1"
"alex de minaur",109.359375,12.8952806633855,0.0600961538461538,2.98110144767227,"WBC_DNCTL",832,"1"
"alex molcan",106.658823529412,11.6940694586701,0.0235294117647059,2.84362672290375,"WC_DNCTL",85,"3"
"alexander bublik",116.882249560633,13.8595260574163,0.140597539543058,2.8813017681643,"WC_DNCTL",569,"2"
"alexander zverev",119.447876447876,11.7831643722682,0.115830115830116,2.83324714059081,"WC_DNCTL",777,"2"
"alexandre muller",103.714828897338,13.4129384054757,0.026615969581749,2.92822870547671,"WW_DCTL",263,"3"
"alexei popyrin",114.007936507937,8.72100547574284,0.119047619047619,2.79206662817958,"WC_DNCTL",126,"2"
"aljaz bedene",108.369047619048,13.3703319852312,0.0714285714285714,2.80003958290785,"WC_DNCTL",84,"4"
"andrey rublev",109.508700102354,14.3447088566302,0.0583418628454452,2.91641920881652,"WC_DNCTL",977,"4"
"andy murray",106.763919821826,14.1516795681891,0.0534521158129176,2.83551664727794,"WC_DNCTL",449,"4"
"arthur fils",111.470085470085,13.1670779687071,0.0427350427350427,2.66725996114023,"WW_DCTL",117,"4"
"arthur rinderknech",113.211009174312,12.3820908562382,0.110091743119266,2.81215207253827,"WC_DNCTL",109,"2"
"aslan karatsev",112.512,10.4854861286847,0.04,2.76236171653619,"WC_DNCTL",125,"1"
"ben shelton",113.185185185185,11.8064102398368,0.0883190883190883,2.81386267134079,"WBW_DNCTL",351,"2"
"benoit paire",106.320987654321,13.3321295752909,0.0864197530864197,2.79561887442168,"WW_DCTL",81,"4"
"borna coric",113.255813953488,9.67250323036648,0.0581395348837209,2.70937487475908,"WC_DNCTL",86,"1"
"botic van de zandschulp",112.71546961326,11.7440022259453,0.0966850828729282,2.92706843891647,"WC_DNCTL",362,"4"
"brandon nakashima",109.717086834734,10.1848678470888,0.0812324929971989,2.70301298836999,"WW_DCTL",357,"1"
"cameron norrie",105.430369787569,12.102306272246,0.046420141620771,2.93266007725836,"WC_DNCTL",1271,"3"
"carlos alcaraz",112.568446899939,11.9252282021097,0.047268262737876,3.00506326581037,"WC_DNCTL",1629,"1"
"casper ruud",108.917333333333,10.3709844794544,0.0693333333333333,2.91485268965992,"WC_DNCTL",375,"1"
"christopher eubanks",115.775132275132,9.26043554202934,0.0952380952380952,2.71389300237922,"WC_DNCTL",378,"2"
"cristian garin",107.681208053691,11.8746555566287,0.0302013422818792,2.98780516763845,"WBW_DNCTL",596,"3"
"daniel evans",107.724609375,10.4192139538732,0.048828125,2.95193079198336,"WC_DNCTL",512,"1"
"daniil medvedev",111.106570512821,12.9276199261166,0.0769230769230769,2.74878594779002,"WC_DNCTL",1248,"4"
"david goffin",103.693815987934,11.9050145979062,0.0452488687782805,2.89750695194539,"WC_DNCTL",663,"3"
"denis kudla",107.642857142857,13.4250645437347,0.0595238095238095,2.67280256523062,"WC_DNCTL",84,"4"
"denis shapovalov",111.047344110855,11.8914677184438,0.0669745958429561,2.91609772932246,"WC_DNCTL",866,"4"
"diego schwartzman",98.4184549356223,10.6621026479986,0.00858369098712446,3.0456851602654,"WC_DNCTL",466,"3"
"dominic stricker",104.709677419355,12.9912852438131,0.0752688172043011,2.82089284805458,"WBW_DNCTL",93,"3"
"dominic thiem",111.4,11.6030672165238,0.0774193548387097,2.7345896226252,"WC_DNCTL",155,"4"
"dominik koepfer",107.842696629213,7.11096924157654,0.0561797752808989,3.07923578600743,"WB_DNCTL",89,"1"
"dusan lajovic",105.048192771084,11.3585142161718,0.0301204819277108,2.8430213490011,"WC_DNCTL",166,"3"
"elias ymer",106.193548387097,12.6123283928655,0.043010752688172,2.82489052563666,"WBW_DNCTL",93,"3"
"emil ruusuvuori",112.652173913043,12.6581177226429,0.0241545893719807,3.01914193437142,"WBC_DNCTL",207,"1"
"fabian marozsan",107.488888888889,11.3605313656036,0.0666666666666667,2.99207883895071,"WC_DNCTL",90,"1"
"fabio fognini",104.584507042254,10.5741487274818,0.0387323943661972,2.94635224102524,"WBW_DNCTL",284,"3"
"facundo diaz acosta",106.48,9.31326847551222,0.03,3.01125160266664,"WBC_DNCTL",100,"1"
"federico delbonis",108.072916666667,10.4843189088494,0.0416666666666667,2.88686116508138,"WC_DNCTL",96,"1"
"feliciano lopez",113.475609756098,10.8914119636473,0.0975609756097561,2.99456664759258,"WC_DNCTL",82,"1"
"frances tiafoe",110.444099378882,14.6839054456309,0.067287784679089,2.95596591121228,"WC_DNCTL",966,"4"
"francisco cerundolo",106.488,10.3803598669671,0.016,2.96414225977067,"WBW_DNCTL",125,"3"
"gael monfils",107.812925170068,12.4630116066854,0.105442176870748,2.77514782008997,"WC_DNCTL",294,"4"
"gijs brouwer",107.432989690722,12.2320508096684,0.0618556701030928,2.8616254876467,"WC_DNCTL",97,"4"
"grigor dimitrov",112.28765060241,13.3995373017828,0.0798192771084337,2.95907358688144,"WC_DNCTL",664,"4"
"guido pella",109.654205607477,10.7159753812904,0.0280373831775701,2.95765182189131,"WBC_DNCTL",107,"1"
"holger rune",112.294751009421,11.7360027041988,0.0740242261103634,2.88667810237161,"WC_DNCTL",743,"4"
"hubert hurkacz",112.477064220183,14.2872825185053,0.0878112712975098,2.89323165974831,"WC_DNCTL",763,"4"
"hugo dellien",108.584269662921,10.937642454931,0.0449438202247191,2.77257085604449,"WC_DNCTL",89,"1"
