"cluster","n","WBC_DNCTL","WB_DNCTL","WC_DNCTL","WBW_DNCTL","WW_DCTL"
"1",24,0.727272727272727,0,0,0,0
"1",5,0,0.151515151515152,0,0,0
"1",4,0,0,0.121212121212121,0,0
"2",11,0.323529411764706,0,0,0,0
"2",15,0,0,0,0.441176470588235,0
"2",5,0,0.147058823529412,0,0,0
"2",3,0,0,0.0882352941176471,0,0
"3",2,0.4,0,0.4,0,0
"3",1,0,0,0,0.2,0
"4",1,0,0,0,0,1
