"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"avg_speed",0.545532828462919,-0.0512694779558574,0.135351415804229,0.600273284728603,0.201872035311441,-0.0461524157600994,-0.519195472212453,-0.0931184680561153
"sd_speed",0.507268072544341,-0.360065892149275,0.088113649281333,-0.587857944896477,0.0344052337186565,0.492886586612255,-0.122667313834238,0.0228582603775895
"ace_pct",0.560004670741747,-0.173618382007344,-0.256853286979766,0.109104310525477,-0.0557250890774837,-0.36032621388531,0.665051748768972,0.0560354357772557
"location_entropy",0.328996916725039,0.866112460894816,-0.258602211984036,-0.232789862057857,-0.0197860355797194,0.0341190116276929,-0.103451563599347,0.0910285108008953
"modal_location_WBC_DNCTL",-0.0934449283695005,-0.130785424942383,-0.698945565070788,-0.0526216559839026,0.261120911878517,0.0446429030883356,-0.117486658540065,-0.631576631947949
"modal_location_WBW_DNCTL",0.058684835190134,0.203029096966296,0.581771328693198,-0.199125344211147,0.393329270724069,-0.195676451153713,0.23617169206484,-0.573107526935296
"modal_location_WC_DNCTL",0.104291951820286,0.00980378321191709,0.11034601415825,-0.0124201802946859,-0.854354952748869,-0.082006328654966,-0.116525340340858,-0.475889685466645
"modal_location_WW_DCTL",-0.0132724317848274,0.170317646458558,0.0436833985924424,0.430611132632239,-0.0418659453518849,0.759556699409677,0.423360838044488,-0.159900027554306
