"cluster","n","WBC_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL","WBW_DNCTL"
"1",4,0.117647058823529,0,0,0,0
"1",1,0,0.0294117647058824,0,0,0
"1",24,0,0,0.705882352941177,0,0
"1",5,0,0,0,0.147058823529412,0
"2",2,0,0,0,0,0.0909090909090909
"2",19,0,0,0.863636363636364,0,0
"2",1,0,0,0,0.0454545454545455,0
"3",1,0.0217391304347826,0.0217391304347826,0,0,0
"3",42,0,0,0.91304347826087,0,0
"3",2,0,0,0,0.0434782608695652,0
"4",11,0,0,0,0,0.478260869565217
"4",3,0,0.130434782608696,0,0,0
"4",5,0,0,0.217391304347826,0,0
"4",4,0,0,0,0.173913043478261,0
