"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"avg_speed",0.601514362232587,0.248080574058185,-0.370657313642048,0.133395236407212,0.148689591455794,0.0861600210275589,0.625212597248019,0.0321314793004644
"sd_speed",0.0901740751355433,-0.944314484086857,-0.0976969107606169,0.201245123166219,0.00256079774841253,0.150344570908883,0.164857270081177,0.0175082312460758
"ace_pct",0.66074219841534,-0.0291967802613931,-0.1389687162509,0.163326702098663,-0.0891837474448225,-0.114123714649889,-0.703926907678744,-0.00939814518046461
"location_entropy",-0.368736519845413,-0.000587314772177078,-0.892124766914876,-0.0018055888472942,-0.0662043080450116,-0.216810902994632,-0.126482121888342,-0.0274857941708233
"modal_location_WBC_DNCTL",-0.0957416891907819,0.137401052817339,-0.1447494334606,0.118078456918585,-0.00413162241480007,0.902201972504475,-0.181329802668826,-0.300322480559622
"modal_location_WBW_DNCTL",-0.110669174653731,0.0197487148948387,0.071534715929845,0.4338628794566,0.71320058634457,-0.229035807247105,-0.0649974014762452,-0.478195533987607
"modal_location_WC_DNCTL",0.185249472763225,-0.141760128169247,-0.037948134184603,-0.684864238876022,-0.0272093138103829,-0.0906761446478987,0.0555856886704984,-0.680481692312033
"modal_location_WW_DCTL",-0.0420800420655077,0.0806746057231734,0.101783548148642,0.493769879282128,-0.675378118591009,-0.187866461805753,0.173854945033725,-0.464647545173261
