"cluster","avg_speed","sd_speed","ace_pct","location_entropy"
"1",111.207274788731,9.43823588328551,0.0604183274620805,2.66834142326609
"2",113.081375034883,7.44557262276963,0.0549781798940686,2.83479393929097
"3",118.69512285987,7.61373904155177,0.124849620777418,2.61748737413443
"4",115.620769691524,6.52019666814836,0.0535489667565139,2.69149308084742
