"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.451388888888889,0.128875764146754,0.0243167866441978,0.49295863282253,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.295262049744938,0.1950652344818,0.113234186073788,0.489945334247783,0.498163456012523,0.489994913339615,0.168543801190455
"aliaksandra sasnovich",0.435897435897436,0.284761484481818,-1.55231808843841,-0.103318683035622,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.343944296613171,0.257473175583199,0.192450239033464,0.460090197494705,0.46403597429914,0.451795428991318,-0.610018800732309
"alison van uytvanck",0.5,-0.348582070855445,-0.647301187199797,0.494629159454953,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.569007706676448,0.414405574599336,0.354212000215493,0.457787863376122,0.481275965404554,0.469527453184128,-0.149314219836255
"alize cornet",0.57843137254902,-0.674598608814744,-0.582891871475444,0.472446556580893,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.815705234509901,0.647152796543083,0.530203656534427,0.463431197111622,0.490205222733242,0.497509151697159,-0.206092839916672
"amanda anisimova",0.517647058823529,0.980950538204457,0.932714684317239,0.507515333339056,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.507195006788284,0.443213486955863,0.599168400952145,0.493672742570781,0.490320511909615,0.416955441236496,0.271480316391637
"anastasia pavlyuchenkova",0.404255319148936,-0.181866350416979,-1.63930687751924,-2.55250892270396,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.327114174296414,0.680458223468647,0.41457087274495,0.433413803780347,0.306083625836178,0.356480330228806,-1
"anastasia potapova",0.529411764705882,-0.101029752447227,0.244961841979798,0.357355108198536,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.648350370203584,0.595503180085597,0.628972964660371,0.463789596684041,0.456609032467917,0.420176386833191,0.103742059326602
"anastasija sevastova",0.419354838709677,-0.434513786872004,-1.06066339919558,-0.914824962975654,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.428044860714498,0.274203760526597,0.0510295599951398,0.418733751632391,0.442497351669151,0.475792407989502,-0.528652214010348
"anett kontaveit",0.5,0.439272110250975,-0.768606187318845,0.72398919284213,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.591351098843981,0.429478267404452,0.305008238766918,0.451195451564789,0.476775013585353,0.483632177114487,-0.146227807711466
"angelique kerber",0.529761904761905,-1.30609791967538,-0.546196487492856,0.471970159396152,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.726958050164952,0.494365285802931,0.521327364824433,0.440946562044241,0.487160596725146,0.451384156942368,-0.0126126965947978
"anhelina kalinina",0.4,-0.214301407739006,1.05975559995534,-2.01411198619619,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.163197805759046,-0.0174581064033262,-0.158421983030408,0.477521964801038,0.510237501726472,0.516478836536407,-0.137691484196832
"anna blinkova",0.44,0.118670062295786,-0.35407108166315,-1.61064217616837,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.388445353282293,0.165736760240237,-0.0319884893212377,0.451062736872168,0.4955325277083,0.520235478878021,-0.505582136434439
"anna kalinskaya",0.518518518518518,0.935472900881805,-0.776337937566636,-0.74640635453143,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.713158470667357,0.606924178759025,0.548030628298235,0.433774737996481,0.442305289866878,0.432486027479172,-0.410263647006688
"aryna sabalenka",0.479381443298969,1.67750674877155,1.62180849420301,1.01654752636175,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.319049885945013,0.345200409356349,0.241010063833621,0.510919294025696,0.481323199377162,0.481359302997589,0.649214720199165
"ashleigh barty",0.464285714285714,0.848800273697382,-1.45535073182872,0.963633456873489,-0.649672212914227,-0.602014912113357,-0.798390833125176,4.79690621946589,0.370617112151556,0.377195937811291,-0.00751891878656175,0.480608668877927,0.456673083907048,0.537506759166718,-0.412397866858506
"barbora krejcikova",0.534136546184739,0.67211342406359,0.602446265542133,1.14930997385662,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.510593829121134,0.499771802645556,0.531963485688602,0.509159408322644,0.489920764070058,0.452709853649139,0.465120631857682
"beatriz haddad maia",0.452380952380952,-0.569225816059225,1.26724708754856,0.349202196552352,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.269785923334814,0.196736030237822,0.057383694529888,0.498454121941518,0.498656592650918,0.506997048854828,0.347346324070733
"belinda bencic",0.523364485981308,0.0220892147775315,-0.0644380481417129,1.0141350723146,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.604533962416368,0.526511562766031,0.400255047838583,0.470670337217277,0.471163775525328,0.47969326376915,0.124385446559711
"bernarda pera",0.454545454545455,0.481820490868784,1.18619542879836,0.0679632817514059,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.277053505892214,0.251986453551388,0.149204112226492,0.498474325839579,0.484322417602251,0.482840359210968,0.454251901720194
"bianca andreescu",0.456896551724138,0.707583665612415,-0.21085150685381,1.60968673750767,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.285658907821753,0.256883073703621,0.0445466493615292,0.498286401508181,0.4852113041682,0.51519250869751,0.184820911004548
"brenda fruhvirtova",0.447368421052632,-0.35823010277624,-1.06927187055264,-1.36501147122651,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.449860065057767,0.351163998248306,0.285874486545888,0.440310763838596,0.447529352256379,0.436485469341278,-0.684294251778416
"camila giorgi",0.515151515151515,2.69965483057205,1.84522239852708,1.46504936915456,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.254226363147945,0.4489397764984,0.373863156069278,0.565815528733703,0.486115004817858,0.479045778512955,0.907787657765325
"caroline dolehide",0.4375,0.578219165706006,1.29870021596862,-1.97113392164086,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.30171451285311,0.179085505969784,-0.0514453979567944,0.474152647865319,0.489046374593372,0.523312985897064,-0.055735718227278
"caroline garcia",0.469026548672566,0.380768086901488,0.483091402611628,0.113524449594597,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.367934822765306,0.281468807949404,0.303659452297946,0.486140912022176,0.489999600021094,0.45304536819458,0.243702815144996
"clara burel",0.44,-0.377444055707858,3.41923484017115,-0.153502886633912,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.100575650185096,0.214903184118527,-0.0764342251220818,0.535998614853163,0.480850631921004,0.532976269721985,1
"coco gauff",0.520325203252033,0.732743511930919,0.34067485055549,0.601504825294137,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.51651560043702,0.436418022463116,0.411752510676241,0.493600848366034,0.495027892829992,0.473358124494553,0.286240819801065
"dalma galfi",0.4,1.18979515264867,0.0997707237174544,0.0153179495347895,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.214723835636041,0.120256595869142,0.0445740464381159,0.462319223632406,0.469113646305382,0.458288103342056,-0.00227000406310984
"danielle collins",0.507246376811594,1.30665784773684,0.352711523936229,1.36063300153503,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.482892213832337,0.480192783361272,0.379974751241099,0.490442593042449,0.468877209074662,0.469388693571091,0.31576665192514
"daria kasatkina",0.487179487179487,-1.8603860383327,1.97976877653039,0.493207202720662,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.386743735259625,0.396645278055465,0.43417762262812,0.498744285988665,0.473758966698757,0.433784037828445,0.667416230683971
"daria saville",0.36,-0.246395043405011,-0.66115331926373,-0.433557691289473,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.120581257065006,-0.0294842432616171,-0.138479702964969,0.450095965958173,0.473828702268416,0.470762193202972,-0.31877678814782
"dayana yastremska",0.555555555555556,1.15562137393025,-0.586743479423343,0.852342804337545,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.720944710373621,0.601666414319468,0.219163969463978,0.46851444711569,0.480912381088999,0.563795804977417,-0.0668326513695898
"diana shnaider",0.483870967741935,-1.21205112945228,-0.41282318448726,-2.38118005303161,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.630652330149703,0.710129312655291,0.406746201201495,0.423470601647654,0.376839003435862,0.438338994979858,-0.478803954979384
"diane parry",0.555555555555556,-0.331030863850601,2.04783978412899,0.163129670142721,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.686497309989615,0.583522287436586,0.549152375079182,0.478678143275096,0.486330513200974,0.469201505184174,0.73914492690621
"donna vekic",0.5125,1.39288769084761,0.00741723205244931,1.00122367810028,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.540492268995737,0.445747843575591,0.292399709918095,0.478701335545529,0.484416652878879,0.499746531248093,0.144434114774894
"ekaterina alexandrova",0.552631578947368,1.93266428522471,-0.948039588056496,-0.239082247756824,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.789183158865364,0.693660891840373,0.725706734402369,0.445456734750148,0.450517353600396,0.415666550397873,-0.37339103327402
"elena rybakina",0.482758620689655,1.26195972135169,0.540701471573527,0.828459162677733,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.317211628211263,0.330898314326836,0.248740453980981,0.514838848863163,0.488971215527305,0.482520490884781,0.206675858504215
"elina svitolina",0.463054187192118,-0.561060229877439,-0.921924210517718,-1.34838835768283,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.495743196116156,0.360434234643431,0.247361673058059,0.442458724578514,0.460446874664864,0.463211297988892,-0.635513314619109
"elise mertens",0.5234375,0.506917387248819,0.195762153451162,0.929762776426197,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.481772374770602,0.428380966135834,0.333090113209392,0.506964124442913,0.500540185634737,0.499019742012024,0.117429584894071
"emma navarro",0.432835820895522,-0.604195171877929,0.179844232480472,0.208540026751091,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.317781987413427,0.13975545823374,0.168021276518719,0.464747764740811,0.496126788986265,0.455736607313156,0.166303392428097
"emma raducanu",0.512345679012346,0.792463066027504,-0.518447902668125,0.222781390990183,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.551814854035146,0.436797348823822,0.38063910213221,0.475206288906687,0.486935095554401,0.474297553300858,-0.230475214708739
"fiona ferro",0.0476190476190476,-0.276705699311791,-1.17667944680856,-2.33672257261671,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,-1,-1,-1,0.468342210165975,0.451259578293656,0.405344188213348,-0.890595691317249
"garbine muguruza",0.408450704225352,-0.077376095948012,-1.27916491520616,0.0814464434215723,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.210212109272479,0.254315070978471,0.0685373354008589,0.472101111500136,0.437532304152271,0.459869503974915,-0.310042947599801
"greet minnen",0.422222222222222,0.219557000338459,-1.32843735502101,0.267545320990062,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.241517919469215,0.176108175410767,0.12841577346318,0.476635858672019,0.47465767626339,0.456476300954819,-0.292252948882892
"harmony tan",0.428571428571429,-1.1904828259133,0.587612576784593,0.0361257812629142,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.230932887622391,0.113550516088204,-0.0149214372728078,0.486108175802575,0.499687619636396,0.503914475440979,0.08028260772976
"harriet dart",0.454545454545455,-2.07285519539214,1.47328362997504,-0.366665083419409,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.330053379081743,0.309991883587477,0.169609166062967,0.48283672760051,0.467001050463667,0.476991057395935,0.284044762037675
"heather watson",0.37037037037037,-1.8004930305732,0.856335280878256,-0.727727988328525,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.0613007704828907,0.0475098189030874,0.0399380339474187,0.477957027849118,0.461207390352902,0.42998743057251,0.0279372367436896
"iga swiatek",0.5,-0.696885855805023,-0.198774737898771,0.110161199464721,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.567971766992194,0.486199775281012,0.452135777682872,0.458093517099563,0.459837046536876,0.44145667552948,0.0310531745841922
"jaqueline cristian",0.285714285714286,1.08281636709533,0.514702835370518,0.511659678643653,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,-0.242189137373447,-0.29509270345412,-0.408875614981669,0.482845558360284,0.478858004718996,0.473988026380539,0.215083704544097
