"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.548507462686567,0.435605736416257,0.290685380620956,0.463718811275478,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0215519191060171,-0.0335148423526974,-0.0433505666789724,0.570059381792584,0.582022305039265,0.59185802936554,0.0610670111856216
"aliaksandra sasnovich",0.467741935483871,-0.880630371285906,-0.559443284654763,0.566112524301949,-0.133043230767795,-0.254650144668527,-0.486860143562583,-1.25576819039438,2.77508191268875,-0.0705613173188414,-0.0869067970167112,-0.0614285180645605,0.538303252802712,0.554648732500582,0.529170453548431,-0.323869610382866
"alison van uytvanck",0.521276595744681,1.16305024976885,-1.28236694502641,-0.90271325893727,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0470485980815336,-0.0410804567024946,-0.03100508197825,0.568325193826214,0.562357052447175,0.552281677722931,-0.113035811590847
"alize cornet",0.543046357615894,-0.507068453357604,-0.408311219556738,0.491923852945779,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,-0.0130352949215573,-0.0184139964455188,0.00113779543251391,0.556081652537451,0.561460354061413,0.54190856218338,-0.0803733600973462
"amanda anisimova",0.583783783783784,0.0748225264967925,-0.467718098928625,-0.0638378067369825,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.0200884000190439,0.0292738693925302,0.0238397501610421,0.56369538376474,0.554509914391254,0.559944033622742,-0.126619589365057
"anastasia pavlyuchenkova",0.536082474226804,-0.330632807651936,-0.37680246396665,-0.450643168359314,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0131758087300694,-0.00728732333440507,0.0214016118000463,0.549258282956874,0.543369797561209,0.514680862426758,-0.169548315487008
"anastasia potapova",0.534883720930233,-0.0486620292664012,1.57225922492063,0.260227144402405,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0217764056039077,-0.0219002015023929,0.00230435853780697,0.55666012653414,0.556783922432625,0.532579362392426,0.218713693331471
"anastasija sevastova",0.630769230769231,-0.399567201051145,0.530937849276474,1.04162578410406,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.0907396080623492,0.0775303450212416,0.0799016136389512,0.540029622706882,0.553238885747989,0.55086761713028,-0.0179228875986203
"andrea petkovic",0.6,-0.581030188938373,-1.19283162327898,0.50105546975744,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.0714360675373538,0.0783062408774132,0.117951130867004,0.528563932462646,0.521693759122587,0.482048869132996,-0.230888623701383
"anett kontaveit",0.554347826086957,-0.618566011202265,-0.152168792605921,0.0822545432853202,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.0197504820449143,0.00579344498340406,-0.00131260052971216,0.534597344042042,0.548554381103552,0.555660426616669,-0.0510100418143596
"angelique kerber",0.600609756097561,-1.43255163025101,0.322837208361989,0.477550260687418,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.0720720308190528,0.0397848824001761,0.0379680162522851,0.528537725278508,0.560824873697385,0.562641739845276,-0.0850986790555572
"anhelina kalinina",0.615384615384615,-0.913923828722165,-0.645213669138883,0.852440353967421,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.0687857379057186,0.0829024045755938,0.132950461827792,0.546598877478897,0.532482210809022,0.482434153556824,-0.181893732949533
"anna blinkova",0.459459459459459,0.619360108494172,2.08901721948447,-0.705403270933402,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.121101937096286,-0.113108027666513,-0.0763082745912912,0.580561396555746,0.572567487125972,0.535767734050751,0.408161137760146
"anna kalinskaya",0.524590163934426,-0.330335420277479,0.0555112702243913,-0.155742608054094,-0.133043230767795,-0.254650144668527,-0.486860143562583,-1.25576819039438,2.77508191268875,-0.0409764451595342,-0.0209458453497634,-0.0151354377387,0.565566609093961,0.54553600928419,0.539725601673126,-0.134098875528452
"arantxa rus",0.55,-0.0751333742224638,0.796666185089312,0.494426561763446,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.00512869594344068,-0.00419392787026074,0.0155206203460694,0.544871304056559,0.554193927870261,0.534479379653931,0.19722732030164
"aryna sabalenka",0.638297872340426,1.9527827889299,-0.378207317768232,-0.265572074506506,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.0567048449927531,0.0525819677349261,0.0609293744919148,0.581593027347672,0.585715904605499,0.577368497848511,0.163158784285454
"ashleigh barty",0.694915254237288,0.622416440369542,-0.250850784147746,-0.954327622332989,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.130550345847646,0.153452979428218,0.172183830859297,0.564364908389642,0.54146227480907,0.522731423377991,-0.00814580728919269
"ashlyn krueger",0.388888888888889,1.1230111350262,-2.07597264532445,-0.231552374134554,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.182972694402353,-0.168468232939516,-0.156779236263699,0.571861583291242,0.557357121828405,0.545668125152588,-0.260222809492446
"barbora krejcikova",0.617954070981211,0.124284197903114,-0.967975293507157,0.0229078140111724,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.0624194427714097,0.0649221894907909,0.0552614883739415,0.555534628209801,0.55303188149042,0.562692582607269,-0.208507846802047
"beatriz haddad maia",0.627659574468085,0.246960504342032,2.05898850175625,1.39334226717055,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.0769046781276304,0.0889971331460343,0.147276446540305,0.550754896340455,0.538662441322051,0.48038312792778,0.469025125254921
"belinda bencic",0.567099567099567,-0.209891602535412,0.645737458574395,-0.191761115258853,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.0209920461612244,0.0207174383419176,0.00901376788234298,0.546107520938343,0.546382128757649,0.558085799217224,0.150695653339216
"bernarda pera",0.475409836065574,-0.409663502413972,-0.186395047306621,-0.368640589558262,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0825731437568352,-0.0888417202488548,-0.105601936090188,0.557982979822409,0.564251556314429,0.581011772155762,-0.147158852910872
"bianca andreescu",0.57421875,0.0774605019554306,0.235751908106061,0.686396965241688,-0.133043230767795,-0.254650144668527,-0.486860143562583,-1.25576819039438,2.77508191268875,0.0195867923326719,0.00447710388576905,0.00223648548126221,0.554631957667328,0.569741646114231,0.571982264518738,-0.0425333605670687
"brenda fruhvirtova",0.618181818181818,-1.29938366991343,0.283512602809951,-0.907182937498888,-0.133043230767795,-0.254650144668527,-0.486860143562583,-1.25576819039438,2.77508191268875,0.0881672977480713,0.0907488904779322,0.130702846700495,0.530014520433747,0.527432927703886,0.487478971481323,-0.234791908944075
"camila giorgi",0.545454545454545,2.00394256688767,-1.02236380869737,-0.393377395648145,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0156871803016908,-0.0480772611269077,-0.0867327614264055,0.561141725756236,0.593531806581453,0.632187306880951,0.055888312381784
"caroline dolehide",0.407894736842105,0.906271716567948,2.42213080791368,2.0481248514564,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.19186105777584,-0.13756152494028,-0.176601046010068,0.599755794617945,0.545456261782385,0.584495782852173,0.509327966978227
"caroline garcia",0.607758620689655,0.674989488976982,0.924819430698407,-0.016739439444925,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.0414868577529777,0.0380005865698594,0.0861342939837225,0.566271762936677,0.569758034119796,0.521624326705933,0.208918132993951
"caroline wozniacki",0.37037037037037,-0.0704491444565783,1.80759334761897,-2.48686794107223,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.214114714323156,-0.230928987357994,-0.194704907911795,0.584485084693527,0.601299357728364,0.565075278282166,0.257452026291862
"caty mcnally",0.435897435897436,-0.885724452205114,-1.4630052337747,0.173400633762422,-0.133043230767795,3.89250935421891,-0.486860143562583,-1.25576819039438,-0.357188761039146,-0.0515931130085952,-0.0721575387733154,0.0242636761604211,0.487490548906031,0.508054974670751,0.411633759737015,-0.0930023269723686
"clara burel",0.538461538461538,0.20841135665649,-1.05772753331668,0.468985760395078,-0.133043230767795,-0.254650144668527,-0.486860143562583,-1.25576819039438,2.77508191268875,-0.0129427114378351,0.0104564753906456,-0.0499438322507418,0.551404249899374,0.528005063070893,0.58840537071228,-0.253819613373281
"clara tauson",0.612903225806452,0.212049985884495,0.433793423938554,-1.88668132824288,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.0390302052354335,0.0402594805646852,-0.0104835744827024,0.573873020571018,0.572643745241766,0.623386800289154,0.0539580194672492
"coco gauff",0.560344827586207,1.52541947923217,1.73790547594709,0.0218537494831311,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0241990135259572,-0.0220996992705887,-0.069242941922155,0.584543841112164,0.582444526856796,0.629587769508362,0.477742290513735
"cristina bucsa",0.485714285714286,-0.148189901813428,-1.22468943863599,0.397876641902781,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0768373183375746,-0.0508791841358949,-0.0519456573895046,0.56255160405186,0.536593469850181,0.53765994310379,-0.293962001056931
"dalma galfi",0.480519480519481,0.835609437476005,0.118607810942493,-0.806935214015966,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,-0.0921603082059252,-0.106022651525638,-0.149995618052297,0.572679788725406,0.586542132045119,0.630515098571777,0.088745097234931
"danielle collins",0.580645161290323,0.307836900311771,-0.840234073177282,0.249106009057912,-0.133043230767795,-0.254650144668527,-0.486860143562583,0.789340005390754,-0.357188761039146,0.0299375499495569,0.00402001334905677,-0.0104245966480624,0.550707611340766,0.576625147941266,0.591069757938385,-0.158991104681837
"daria kasatkina",0.570796460176991,-2.04806282391725,3.00782235510716,0.981705864113042,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,0.0123228228312188,0.0494932096773044,0.0849004688516127,0.558473637345772,0.521303250499687,0.485895991325378,0.303371497599041
"daria saville",0.483870967741935,-0.0362864589269586,0.761603068355365,-1.34396182018405,-0.133043230767795,-0.254650144668527,2.03596060035262,-1.25576819039438,-0.357188761039146,-0.103258060302801,-0.072014561690232,-0.104774430874855,0.587129028044736,0.555885529432168,0.588645398616791,0.196646729026541
