predictor,outcome,n,rmse,cor,p_value
SQS_prob,serve_efficiency,129,1.1439800285451036,0.34054277563829216,7.85200016063816e-5
SQS_prob,win_pct,129,1.303307671173701,0.14405935835746925,0.10335922180571532
welo,serve_efficiency,129,1.3484043612888206,0.0838005176601179,0.3450731537163849
welo,win_pct,129,1.28848141082073,0.1634227318830287,0.064238609535102
