"cluster","n","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL","WBC_DNCTL"
"1",12,0.342857142857143,0,0,0,0
"1",1,0,0.0285714285714286,0,0,0
"1",11,0,0,0.314285714285714,0.314285714285714,0
"2",1,0.0144927536231884,0,0,0,0
"2",4,0,0.0579710144927536,0,0,0
"2",64,0,0,0.927536231884058,0,0
"3",5,0,0,0,0,1
"4",15,0,0,0.9375,0,0
"4",1,0,0,0,0.0625,0
