"state","Pwin_FALSE","Pwin_TRUE","importance"
"40-0",0.1503884572697,0.98753064052009,0.837142183250389
"0-40",0.165829145728643,0.98726813741631,0.821438991687667
"30-0",0.385052447552448,0.950598695059869,0.565546247507422
"0-30",0.401912858660999,0.948411541824541,0.546498683163542
"AD-40",0.40162918363733,0.892542637387136,0.490913453749807
"40-AD",0.424326833797586,0.877282608695652,0.452955774898066
"15-40",0.586285342866428,0.889276035617499,0.302990692751071
"40-15",0.59941137998692,0.890802919708029,0.29139153972111
"15-0",0.616603711611102,0.883408071748879,0.266804360137777
"0-15",0.615802675585284,0.876821988801999,0.261019313216715
"30-15",0.693932183224271,0.807792207792208,0.113860024567937
"15-30",0.68902004680981,0.79663644113772,0.10761639432791
"40-30",0.668912905276542,0.761238976123898,0.0923260708473559
"30-40",0.673056859676578,0.756774055899296,0.0837171962227179
"0-0",0.215638692281766,0.225778482880756,0.0101397905989895
"40-40",0.706579400620048,0.70098643649815,0.0055929641218978
"30-30",0.726075504828797,0.721043577981651,0.00503192684714582
"15-15",0.757575757575758,0.755979293624271,0.0015964639514866
