"match_id","slam","year","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","GameNo","P1DistanceRun","P2DistanceRun","serving_player_won","speed_ratio","player1_name","player2_name","player1_rank","player1_pts","player2_rank","player2_pts"
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",124,1,1,1,"C","NCTL",1,1,6.888,8.24,1,1.03581645497196,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",129,1,1,1,"C","NCTL",5,1,16.068,18.277,1,1.07758324751116,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",120,1,1,1,"C","NCTL",5,1,25.334,26.294,1,1.00240302094061,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",104,2,1,2,"BC","NCTL",2,1,8.332,9.512,1,0.868749284815196,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",125,1,1,2,"BW","CTL",2,1,6.922,6.3,0,1.0441698134798,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",108,2,1,1,"BW","NCTL",1,1,4.227,4.658,0,0.90216271884655,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",122,1,1,1,"W","CTL",1,1,0.951,1.073,1,1.01910973795629,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",98,2,2,2,"C","NCTL",3,2,11.156,12.054,1,0.861975642760487,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",117,1,2,1,"W","CTL",8,2,30.571,32.27,1,1.02909336941813,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",100,2,2,2,"BC","NCTL",5,2,17.572,17.385,1,0.87956698240866,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",80,2,2,2,"BW","NCTL",9,2,35.496,31.543,1,0.703653585926928,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",108,1,2,1,"BW","NCTL",6,2,23.492,17.83,1,0.949932341001353,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",107,1,2,2,"B","NCTL",1,2,6.512,5.511,0,0.941136671177267,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",107,2,1,1,"B","CTL",9,3,25.651,26.321,0,0.893809360338712,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",97,2,1,1,"W","CTL",7,3,26.689,22.092,0,0.810275775260327,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",117,1,1,1,"W","CTL",1,3,0.75,1.239,1,0.977342945417096,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",108,2,1,2,"BC","NCTL",2,3,4.736,6.184,1,0.90216271884655,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",107,2,1,2,"C","NCTL",2,3,7.195,8.629,1,0.893809360338712,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",105,2,1,2,"B","NCTL",6,3,21.433,23.034,1,0.877102643323035,"J. Sinner","Y. Hanfmann",1,11830,96,627
"2024-wimbledon-1101","wimbledon",2024,"Jannik Sinner","Yannick Hanfmann",112,2,1,1,"W","NCTL",3,3,9.668,10.05,0,0.935576152877904,"J. Sinner","Y. Hanfmann",1,11830,96,627
