"match_id","slam","year","ElapsedTime","PointNumber","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","GameNo","P1DistanceRun","P2DistanceRun","serving_player_won","speed_ratio","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2023-wimbledon-2101","wimbledon",2023,"0:18:57",25,"Iga Swiatek","Lin Zhu",107,1,2,1,"C","NCTL",8,4,25.745,29.048,1,1.06821963394343,"swiatek i.","zhu l.",1585.50639341434,1500,1137
"2023-wimbledon-2101","wimbledon",2023,"0:19:46",26,"Iga Swiatek","Lin Zhu",94,1,2,1,"BW","NCTL",4,4,14.083,14.166,1,0.938435940099834,"swiatek i.","zhu l.",1585.50639341434,1500,1186
"2023-wimbledon-2101","wimbledon",2023,"0:20:33",27,"Iga Swiatek","Lin Zhu",84,1,1,1,"W","CTL",3,5,7.522,12.05,1,0.828571428571429,"swiatek i.","zhu l.",1585.50639341434,1500,1233
"2023-wimbledon-2101","wimbledon",2023,"0:21:01",28,"Iga Swiatek","Lin Zhu",111,1,1,1,"W","CTL",1,5,0.95,1.65,1,1.09489795918367,"swiatek i.","zhu l.",1585.50639341434,1500,1261
"2023-wimbledon-2101","wimbledon",2023,"0:21:22",29,"Iga Swiatek","Lin Zhu",87,1,1,2,"W","CTL",4,5,9.697,15.736,0,0.858163265306122,"swiatek i.","zhu l.",1585.50639341434,1500,1282
"2023-wimbledon-2101","wimbledon",2023,"0:21:54",30,"Iga Swiatek","Lin Zhu",112,1,1,1,"B","NCTL",7,5,16.841,22.1,1,1.1047619047619,"swiatek i.","zhu l.",1585.50639341434,1500,1314
"2023-wimbledon-2101","wimbledon",2023,"0:22:28",31,"Iga Swiatek","Lin Zhu",80,2,1,2,"BC","NCTL",2,5,6.975,6.996,1,0.789115646258503,"swiatek i.","zhu l.",1585.50639341434,1500,1348
"2023-wimbledon-2101","wimbledon",2023,"0:23:31",32,"Iga Swiatek","Lin Zhu",84,2,1,1,"B","NCTL",1,5,6.488,5.241,0,0.828571428571429,"swiatek i.","zhu l.",1585.50639341434,1500,1411
"2023-wimbledon-2101","wimbledon",2023,"0:25:45",33,"Iga Swiatek","Lin Zhu",84,2,2,2,"C","NCTL",7,6,34.163,27.933,1,0.838602329450915,"swiatek i.","zhu l.",1585.50639341434,1500,1545
"2023-wimbledon-2101","wimbledon",2023,"0:26:33",34,"Iga Swiatek","Lin Zhu",94,1,2,1,"BC","NCTL",2,6,3.652,3.773,1,0.938435940099834,"swiatek i.","zhu l.",1585.50639341434,1500,1593
"2023-wimbledon-2101","wimbledon",2023,"0:26:58",35,"Iga Swiatek","Lin Zhu",92,1,2,1,"BW","NCTL",2,6,6.412,7.046,1,0.91846921797005,"swiatek i.","zhu l.",1585.50639341434,1500,1618
"2023-wimbledon-2101","wimbledon",2023,"0:27:23",36,"Iga Swiatek","Lin Zhu",100,1,2,1,"B","NCTL",2,6,10.907,6.565,1,0.998336106489185,"swiatek i.","zhu l.",1585.50639341434,1500,1643
"2023-wimbledon-2101","wimbledon",2023,"0:27:53",37,"Iga Swiatek","Lin Zhu",92,2,2,2,"BW","NCTL",9,6,28.106,28.593,1,0.91846921797005,"swiatek i.","zhu l.",1585.50639341434,1500,1673
"2023-wimbledon-2101","wimbledon",2023,"0:28:39",38,"Iga Swiatek","Lin Zhu",102,1,2,2,"B","NCTL",11,6,49.529,40.132,0,1.01830282861897,"swiatek i.","zhu l.",1585.50639341434,1500,1719
