state,Pwin_FALSE,Pwin_TRUE,importance
40-0,,,2.53
0-40,,,30.75
30-0,,,8.6
0-30,,,41.98
AD-40,,,23.67
40-AD,,,76.33
15-40,,,48.5
40-15,,,8.11
15-0,,,15.93
0-15,,,34.74
30-15,,,20.17
15-30,,,46.55
40-30,,,23.67
30-40,,,76.33
0-0,,,23.09
40-40,,,43.65
30-30,,,43.39
15-15,,,30.02
