"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"adam walton",0.352941176470588,-0.817140397392611,-1.12263367520836,-0.674282530783892,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0829422389959328,-0.0925534503744073,-0.0924120036994709,0.435883415466521,0.445494626844996,0.445353180170059,-0.737997984069561
"adrian mannarino",0.428169014084507,-0.986454494129028,1.1553837189354,0.376022523267789,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0678541085973152,-0.0466577096717638,-0.0589268187402,0.496023122681822,0.474826723756271,0.487095832824707,-0.321543262775334
"alejandro davidovich fokina",0.465,-0.28925856629378,0.240538098036859,1.99677986392338,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.032964136149207,0.036540404494296,0.0904706978797913,0.432035863850793,0.428459595505704,0.374529302120209,0.0471028292186062
"alejandro tabilo",0.646017699115044,-0.526504815300567,-0.292571060117556,0.508536291270408,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.21212081914946,0.205880332622533,0.210761515967614,0.433896879965584,0.440137366492511,0.43525618314743,-0.327258368527226
"aleksandar kovacevic",0.579710144927536,0.850105527052989,-0.771220613942284,-2.46396274974759,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.0218215657368517,0.0436685528445513,0.0494409989619601,0.557888579190685,0.536041592082985,0.530269145965576,0.214836644779362
"aleksandar vukic",0.463414634146341,-0.151495877901731,0.764097092583717,-1.63250043370661,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0701453908149931,-0.0440773580484738,-0.0522382012227686,0.533560024961335,0.507491992194815,0.51565283536911,-0.094514693709797
"alex de minaur",0.431775700934579,0.125007272532135,-0.552400050352289,1.22499185287914,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0297028582163999,-0.0294579540649051,-0.0377854586761688,0.461478559150979,0.461233654999485,0.469561159610748,0.107569592180187
"alex michelsen",0.408333333333333,-0.0760972324930956,-0.310756144955312,1.60213906275198,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.102965566589516,-0.0344878958973752,-0.0570749918619792,0.511298899922849,0.442821229230709,0.465408325195312,0.169087953728225
"alex molcan",0.473684210526316,-0.679052963423448,0.280388146226978,0.0416327694059211,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.028238387745533,0.00634741975239028,0.0284033307903691,0.445445822780783,0.467336790773925,0.445280879735947,-0.396242279067605
"alexander bublik",0.596,1.30025822328915,2.70954597141783,0.185759668980413,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0513706454391528,0.0342408477284339,-0.0094719686508179,0.544629354560847,0.561759152271566,0.605471968650818,1.11428688275248
"alexander shevchenko",0.398648648648649,-0.566747824064546,0.25321842494308,-0.484695974921188,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0517783121040883,-0.0787691479795473,-0.133363158316226,0.450426960752737,0.477417796628196,0.532011806964874,-0.390683542717435
"alexander zverev",0.465425531914894,2.37035735154034,-1.03360105245788,-0.346676156947829,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0865694815286175,-0.0628297311608251,-0.0926481079547963,0.551995013443511,0.528255263075719,0.55807363986969,1.21378597581306
"alexandre muller",0.38860103626943,-1.20243998246809,0.893795212970505,0.689443926267848,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0330745200657157,-0.0583309243283547,-0.0478498623778783,0.421675556335146,0.446931960597785,0.436450898647308,-0.558642799708001
"alexei popyrin",0.527667984189723,0.764920322254681,0.496392466584121,-0.184240185581949,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.023268744473589,0.022163798684489,0.0192142574212296,0.504399239716134,0.505504185505234,0.508453726768494,0.469241683299583
"andreas seppi",0.528169014084507,-0.694479955073553,-0.118505632974928,-0.633788899739193,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.0313947909191451,0.0416821589843659,0.0278103133322487,0.496774223165362,0.486486855100141,0.500358700752258,-0.422192728632354
"andrey rublev",0.500542888165038,0.36676446692022,0.136249590622216,-0.37805521423511,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0119004669080188,0.016020126057409,0.00816730570844926,0.488642421257019,0.484522762107629,0.492375582456589,0.163724858895592
"andy murray",0.359223300970874,0.143802325957711,0.505403149905584,-0.209534258338675,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.119924715399549,-0.114208330084269,-0.0870151869880343,0.479148016370422,0.473431631055143,0.446238487958908,0.0965538063171818
"arthur cazaux",0.372093023255814,0.173409365651212,1.40391655684445,-0.240647428300226,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.126703262553881,-0.114529752766311,-0.103011040493499,0.498796285809694,0.486622776022125,0.475104063749313,0.226286084277134
"arthur fils",0.459363957597173,0.458724850303262,-0.707483312954999,0.345959370936257,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0107966562153959,-0.0154511955323348,0.00531645650998441,0.470160613812569,0.474815153129508,0.454047501087189,0.190066824972731
"arthur rinderknech",0.545454545454545,0.956515728470962,0.164699202501966,0.229940246148117,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0385518736182154,0.0447869099720913,0.01375351710753,0.50690267183633,0.500667635482454,0.531701028347015,0.586745699771394
"aslan karatsev",0.52112676056338,0.102805945108797,0.193974855796461,1.25727228185707,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0520694321196472,0.0602263393341674,0.0311315790028639,0.469057328443733,0.460900421229213,0.489995181560516,0.193789512095179
"ben shelton",0.489151873767258,0.915774372985706,0.798526527784679,0.711616706179894,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0129832994981955,-0.00113062944804831,-0.00655161482107475,0.502135173265454,0.490282503215307,0.495703488588333,0.69698223287637
"benjamin bonzi",0.48780487804878,0.546639727733777,-0.255492373124977,1.078702526618,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.013067028181072,0.0260083772204743,0.0346944215821057,0.474737849867709,0.461796500828306,0.453110456466675,0.381479591253822
"benoit paire",0.63,-0.34886292029492,1.02519709605139,-0.405166723327279,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.159678132932303,0.170434980840029,0.166630839109421,0.470321867067697,0.459565019159971,0.463369160890579,-0.152534912259252
"bernabe zapata miralles",0.486111111111111,-1.25172108856077,0.603543126395064,0.508722127796756,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0679248844088191,0.0431272988215104,0.0480765766567654,0.418186226702292,0.442983812289601,0.438034534454346,-0.645315294946278
"borna coric",0.411111111111111,0.141666320731409,0.336559470974516,-2.37378608639018,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0770343384956128,-0.0588914445611208,-0.0325453632407718,0.488145449606724,0.470002555672232,0.443656474351883,-0.165083744234819
"borna gojo",0.491428571428571,1.11137159249813,0.93587761213966,-0.561173013946956,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0361317405155197,-0.0245271423841078,-0.0397753541810172,0.527560311944091,0.515955713812679,0.531203925609589,0.691128150404126
"botic van de zandschulp",0.467791411042945,0.427908805499283,0.142363409737789,0.122945312417529,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0153515003515172,-0.00974751558032311,-0.0329269441358882,0.483142911394462,0.477538926623268,0.500718355178833,0.256285906609155
"brandon nakashima",0.463963963963964,0.838946553012264,-0.671697377875339,-0.142033749935018,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0254866697075212,-0.0494467980987992,-0.0319397068238473,0.489450633671485,0.513410762062763,0.495903670787811,0.367997671709352
"cameron norrie",0.510385756676558,-0.49704192840619,0.268423890772591,0.0216420774775936,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0600992618387286,0.0380292033279507,0.0398292293003829,0.450286494837829,0.472356553348607,0.470556527376175,-0.291250768643397
"carlos alcaraz",0.40472027972028,0.00175508244024033,0.173865599948339,1.48898213045479,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0592003750483833,-0.0668612008997633,-0.0654202370376853,0.463920654768663,0.471581480620043,0.470140516757965,0.15638888505895
