"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.602941176470588,-0.817140397392611,-1.12263367520836,-0.674282530783892,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0218949134080745,0.0445702380963212,-0.0773490569198166,0.573540974942325,0.579314401565881,0.535708785057068,-0.303619766774028
"adrian mannarino",0.571830985915493,-0.986454494129028,1.1553837189354,0.376022523267789,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0835196835384159,-0.170351879594069,-0.062428710500796,0.573788590646558,0.566455684118899,0.583828330039978,-0.216549067292731
"alejandro davidovich fokina",0.6075,-0.28925856629378,0.240538098036859,1.99677986392338,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0775604250603063,0.0491133368840301,0.0162390427139151,0.584014161815119,0.57695467176538,0.556100487709045,0.0292640138887318
"alejandro tabilo",0.690265486725664,-0.526504815300567,-0.292571060117556,0.508536291270408,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.309721835597476,0.420669996243454,0.492754334038878,0.570738437103476,0.579634897771023,0.575996994972229,-0.13978317248414
"aleksandar kovacevic",0.623188405797101,0.850105527052989,-0.771220613942284,-2.46396274974759,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.233266636757366,0.197622414671138,0.342563988454628,0.610685991340778,0.58975797250681,0.627494990825653,0.12205251541305
"aleksandar vukic",0.560975609756098,-0.151495877901731,0.764097092583717,-1.63250043370661,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.087474789975761,-0.187148935657592,-0.256675130737034,0.582453184792224,0.571133086260794,0.543468058109283,-0.111066367388791
"alex de minaur",0.620560747663551,0.125007272532135,-0.552400050352289,1.22499185287914,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.124434350356637,0.150766905703232,0.0136169936468169,0.584594460385203,0.584152071923559,0.536942362785339,0.0967800745961475
"alex michelsen",0.525,-0.0760972324930956,-0.310756144955312,1.60213906275198,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.21851321094712,-0.33322491934968,-0.0817298865147876,0.580351743371049,0.572397575667453,0.644297778606415,0.129199494442465
"alex molcan",0.609022556390977,-0.679052963423448,0.280388146226978,0.0416327694059211,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0180360744292318,-0.00673217728853036,0.00666988999844996,0.567099562053574,0.567133597610989,0.551212787628174,-0.215379768456257
"alexander bublik",0.652,1.30025822328915,2.70954597141783,0.185759668980413,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.31687816373671,0.298179857153559,0.444586096376512,0.606794544033283,0.586158096922147,0.616123378276825,0.366018058062697
