"ServerName","win_rate","expected_win_rate","overperformance","ace_pct","avg_speed","sd_speed","location_entropy","n_serves"
"alexander zverev",0.643500643500644,0.565002072232424,0.0784985712682196,0.115830115830116,119.447876447876,11.7831643722682,2.83324714059081,777
"grigor dimitrov",0.635542168674699,0.557067027625701,0.0784751410489982,0.0798192771084337,112.28765060241,13.3995373017828,2.95907358688144,664
"novak djokovic",0.612646370023419,0.537665886557453,0.0749804834659663,0.0622950819672131,109.55831381733,13.1685506530748,2.79396999735846,2135
"laslo djere",0.610294117647059,0.53786545026715,0.0724286673799084,0.0735294117647059,109.963235294118,12.3758474985429,2.75936400439103,136
"rafael nadal",0.592380952380952,0.526166786311163,0.0662141660697896,0.04,108.055238095238,10.093777662996,2.84272962097197,525
"yoshihito nishioka",0.578571428571429,0.521903833620954,0.0566675949504744,0.00714285714285714,99.95,12.7071752234032,2.99659406980813,140
"roger federer",0.57103825136612,0.514874952300031,0.0561632990660891,0.040983606557377,106.314207650273,11.0583590301163,2.66069126813934,366
"radu albot",0.555555555555556,0.503639850115083,0.0519157054404729,0,105.166666666667,12.6840732529308,2.65477673910941,36
"david goffin",0.580693815987934,0.530027712394587,0.0506661035933467,0.0452488687782805,103.693815987934,11.9050145979062,2.89750695194539,663
"brandon nakashima",0.582633053221289,0.532139386394598,0.050493666826691,0.0812324929971989,109.717086834734,10.1848678470888,2.70301298836999,357
"jannik sinner",0.596868884540117,0.550024719151296,0.0468441653888219,0.0671885192433138,111.389432485323,11.7918885252123,2.97507593694037,1533
"maxime cressy",0.603448275862069,0.558076242600598,0.0453720332614711,0.126436781609195,117.816091954023,11.0725706354507,2.72227132413329,174
"daniil medvedev",0.58573717948718,0.540583012925055,0.0451541665621241,0.0769230769230769,111.106570512821,12.9276199261166,2.74878594779002,1248
"denis shapovalov",0.590069284064665,0.5460286488997,0.0440406351649654,0.0669745958429561,111.047344110855,11.8914677184438,2.91609772932246,866
"sebastian korda",0.562264150943396,0.518550462467887,0.0437136884755092,0.0452830188679245,107.588679245283,10.0589486087084,2.70610722132561,265
"carlos alcaraz",0.590546347452425,0.547277955695687,0.0432683917567379,0.047268262737876,112.568446899939,11.9252282021097,3.00506326581037,1629
"stefanos tsitsipas",0.587831207065751,0.548042459292256,0.0397887477734948,0.084396467124632,112.470068694799,11.8557902052191,2.83886672339536,1019
"tommy paul",0.577720207253886,0.539353015973999,0.0383671912798874,0.0518134715025907,105.161917098446,12.9828161577569,2.95359487637788,772
"holger rune",0.585464333781965,0.547422421549431,0.0380419122325337,0.0740242261103634,112.294751009421,11.7360027041988,2.88667810237161,743
"andrey rublev",0.583418628454452,0.546455998744749,0.0369626297097037,0.0583418628454452,109.508700102354,14.3447088566302,2.91641920881652,977
"mattia bellucci",0.571428571428571,0.537196518487866,0.0342320529407056,0.0714285714285714,108.421428571429,10.8369656861425,2.83303404281815,140
"marco cecchinato",0.533333333333333,0.499512053392358,0.0338212799409757,0,111.111111111111,9.53038733883796,2.58392337012172,45
"alejandro davidovich fokina",0.567114093959732,0.533966073643333,0.0331480203163987,0.0268456375838926,107.778523489933,10.9801446989809,3.00752775132194,298
"taylor fritz",0.58744769874477,0.555400237293083,0.0320474614516869,0.0928870292887029,112.632635983264,13.3646113616565,2.86387772653687,1195
"gael monfils",0.578231292517007,0.546621511430882,0.0316097810861248,0.105442176870748,107.812925170068,12.4630116066854,2.77514782008997,294
"marin cilic",0.591133004926108,0.560074078547298,0.0310589263788107,0.0985221674876847,111.71921182266,13.2326843841061,2.92962872442021,203
"cameron norrie",0.565696302124312,0.53491874908488,0.0307775530394312,0.046420141620771,105.430369787569,12.102306272246,2.93266007725836,1271
"philipp kohlschreiber",0.552238805970149,0.521578016888175,0.0306607890819743,0.0149253731343284,103.134328358209,11.8770588526417,2.92376284602857,134
"dominic thiem",0.567741935483871,0.537573265900696,0.0301686695831751,0.0774193548387097,111.4,11.6030672165238,2.7345896226252,155
"alex de minaur",0.578125,0.548121027316317,0.030003972683683,0.0600961538461538,109.359375,12.8952806633855,2.98110144767227,832
"ben shelton",0.578347578347578,0.548364832149894,0.0299827461976846,0.0883190883190883,113.185185185185,11.8064102398368,2.81386267134079,351
"diego schwartzman",0.549356223175966,0.519800151062329,0.029556072113637,0.00858369098712446,98.4184549356223,10.6621026479986,3.0456851602654,466
"thiago seyboth wild",0.547169811320755,0.517726315937161,0.0294434953835935,0.0566037735849057,108.764150943396,8.88932145548263,2.65322519574571,106
"christopher eubanks",0.571428571428571,0.542044534333583,0.0293840370949883,0.0952380952380952,115.775132275132,9.26043554202934,2.71389300237922,378
"daniel evans",0.564453125,0.536129289077055,0.0283238359229453,0.048828125,107.724609375,10.4192139538732,2.95193079198336,512
"roman safiullin",0.575916230366492,0.547935596362332,0.0279806340041604,0.06282722513089,113.853403141361,11.0577182589591,2.9435480173929,191
"matteo berrettini",0.590191188694929,0.562998817201039,0.0271923714938904,0.114713216957606,116.359933499584,11.5202617134185,2.86863781364036,1203
"pablo andujar",0.540229885057471,0.513868235824583,0.0263616492328885,0.0229885057471264,105.781609195402,8.43501187238977,2.82284040689939,87
"jason kubler",0.559485530546624,0.533548674364349,0.0259368561822744,0.0643086816720257,109.771704180064,11.4509882651102,2.76835672374777,311
"ugo humbert",0.568265682656827,0.54285573490233,0.0254099477544968,0.0738007380073801,107.883763837638,12.009829394022,2.88373478626894,542
"andy murray",0.561247216035635,0.536399942005786,0.0248472740298485,0.0534521158129176,106.763919821826,14.1516795681891,2.83551664727794,449
