"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"adam walton",0.558823529411765,-0.754728896191222,-0.24547141123504,-0.516624874820969,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,0.0381416571648038,0.0236658236467205,0.0151330267681795,0.520681872246961,0.535157705765044,0.543690502643585,-0.547587423627084
"adrian mannarino",0.547457627118644,-1.17858409584835,0.768326094665456,0.829884811568678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0146655574012774,0.0125134518410531,0.0687844968448251,0.532792069717367,0.534944175277591,0.478673130273819,-0.241784311438138
"alejandro davidovich fokina",0.55663430420712,0.0690348333291055,-0.734627652647985,1.97499230804291,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,0.0310641666142714,0.0316247820485478,0.0170134278948639,0.525570137592848,0.525009522158572,0.539620876312256,0.371332567063779
"alejandro tabilo",0.590163934426229,-0.891256108024369,0.912472438131755,1.74458407132046,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0533577982189065,0.0533740575087187,0.0638204695748501,0.536806136207323,0.536789876917511,0.526343464851379,-0.0297744146640097
"aleksandar kovacevic",0.516393442622951,0.223727135758176,0.76667688205015,-0.545065185324863,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.0370721066465731,-0.0347923128926871,-0.0249594850618331,0.553465549269524,0.551185755515638,0.541352927684784,0.12246971982219
"aleksandar vukic",0.48780487804878,-0.60341685076724,0.0120711277131427,-1.64418476406703,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.0382929516951798,-0.0354989637619292,-0.0479269144011707,0.52609782974396,0.52330384181071,0.535731792449951,-0.592153748268852
"alex de minaur",0.58876629889669,-0.457445655097277,0.152391040578407,0.560649170049515,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,0.0726815130388678,0.0637818001630224,0.0817955356902081,0.516084785857822,0.524984498733668,0.506970763206482,0.097962987671382
"alex michelsen",0.477272727272727,0.256012373032345,-0.725598058567618,1.4889109793313,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.0631953212839224,-0.0605244910469295,-0.0375590541146018,0.54046804855665,0.537797218319657,0.514831781387329,-0.00485299022864838
"alex molcan",0.548837209302326,-0.537951875060392,-0.691844055211417,0.153748041619189,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.00955596430933237,0.00945000212581559,0.0172791724981264,0.539281244992993,0.53938720717651,0.531558036804199,-0.191326757973103
"alexander bublik",0.577197149643705,0.829131076018034,3.62593539857628,0.0401904908145737,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.0103375841295616,0.0154140749911009,0.0489093216751081,0.587534733773267,0.561783074652605,0.528287827968597,0.621548737812436
"alexander shevchenko",0.5,-0.458343858856627,-0.372900751949218,-1.1250784260934,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.022446912221062,-0.0292531345636053,-0.0268532633781433,0.522446912221062,0.529253134563605,0.526853263378143,-0.513835555802828
"alexander zverev",0.596570397111913,2.32914834536628,0.794753706413327,-0.368022267728917,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0124904381339963,0.0333530265800116,0.0283419735164849,0.584079958977917,0.563217370531902,0.568228423595428,0.908475970765668
