"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.273504273504274,0.572156258161617,1.19214148419851,-0.710322306174572,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,-0.157202676522621,-0.158059226861777,-0.0172051798092514,0.31352244521407,0.311590804195491,0.331149011850357,-0.671790324348816
"aleksandra krunic",0.408163265306122,-0.728509594097529,-0.708008090429986,-2.04098470250411,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.62326360977442,0.703849531556437,0.904574845189239,0.289880176217888,0.272469699406331,0.19550696015358,-0.76989935062512
"aliaksandra sasnovich",0.275862068965517,-0.0464020126265626,-0.701669910006142,0.746553407726132,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,-0.0219836551751581,-0.189320716970203,-0.011686116219081,0.288453890634317,0.320251615744645,0.331888407468796,-0.724851528908313
"alison van uytvanck",0.377049180327869,-0.492234540868702,-0.586755862412351,0.584335201712872,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.460679624923595,0.602995223086329,0.662278913580555,0.291742851721583,0.261690100296071,0.235443279147148,-0.674787912100902
"alizé cornet",0.264462809917355,-0.55586362027735,0.32462359249993,-0.336714273831108,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,-0.0916584319470375,-0.00125061454202235,0.225408948432992,0.291186702634529,0.27093321473785,0.25096383690834,-0.822259888346809
"amanda anisimova",0.245283018867925,1.16974336116069,1.21663532575549,0.436762717922902,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,-0.270223057123418,-0.215720108799896,-0.0668898405079423,0.308225010682578,0.29499527390045,0.317497193813324,-0.443615497427736
"ana bogdan",0.184615384615385,-0.973410992553309,0.0190603294930283,-0.530839306320774,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,-0.422362573954151,-0.395734882158544,-0.122160474203774,0.278415695045921,0.270622646975003,0.273037016391754,-0.684348653544721
"anastasia pavlyuchenkova",0.272,0.646359502436875,-0.741499033594519,1.12605503326387,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,-0.10958297605737,-0.137828616409077,0.0424726106876361,0.302359511553905,0.306007586830597,0.312144935131073,-0.416690173005381
"anastasia potapova",0.318181818181818,0.494914296173462,-0.989805730187504,1.53224641151568,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.105254347931748,0.0558984574926262,-0.0212900028071726,0.304966072417038,0.313129690992667,0.377024382352829,-0.513121941979102
"andrea petkovic",0.444444444444444,1.42034968461182,-2.45421373970631,0.367348088757317,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,0.633808372483807,0.804144896589819,0.81340677394804,0.324022570810331,0.28852908818355,0.258522093296051,-0.526690324796973
"anett kontaveit",0.226415094339623,-0.103094503735441,-1.8230776079248,0.0795120507536693,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,-0.312107906873087,-0.542090461832243,-0.416308605224649,0.297852551801059,0.341930917232962,0.401092171669006,-0.631722365984094
"angelique kerber",0.216666666666667,-1.02656489217311,-1.07887887864614,0.537951956578156,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,-0.297151858194314,-0.41085183774447,-0.20615667228221,0.28507060249626,0.305721845614005,0.329719185829163,-0.751317509812188
"anhelina kalinina",0.271186440677966,-0.697639827045268,1.63748086741864,-0.504032937181672,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,-0.0289881758337069,0.150298793791196,0.240746064387485,0.285198982845527,0.247101092860804,0.253190040588379,-0.846212036367466
"anna blinkova",0.314285714285714,-0.556416719506979,1.22188766439665,-1.5977112638012,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,0.211743871408843,0.293237510128704,0.232372888071002,0.279470796174635,0.261380722058262,0.298744648694992,-0.650571183256283
"anna bondar",0.419753086419753,1.14273484165094,-0.874637428440729,0.308862450367099,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,0.652528231639121,0.766082176901353,0.660320246258568,0.295534280928009,0.271512026352481,0.278721541166306,-0.365832405041483
"anna kalinskaya",0.307692307692308,0.843431339083732,-0.609320477734326,0.981211905959473,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.0303054259907187,0.0246149473934887,0.278906639046889,0.309678383001708,0.308947636314037,0.278505772352219,-0.476878680450787
"arantxa rus",0.25,0.0398665006696069,1.03097742116373,1.78640228986201,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,-0.180182749187884,-0.114759118069611,0.0467552224907322,0.294679198765047,0.279356259633161,0.288889110088348,-0.571388816279238
"aryna sabalenka",0.331868131868132,1.75507005330539,1.27323414863416,0.838088250200588,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,0.143167113425045,-0.00299178765411823,0.0686823538967214,0.310962574662035,0.338689596158258,0.364327371120453,-0.266932293437536
"ashleigh barty",0.196969696969697,0.697920150088611,-0.84221193995302,-0.664465912925311,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,-0.393022622463488,-0.512928136207313,-0.159986216129504,0.284819011957802,0.30660574231765,0.296483278274536,-0.451527678944439
