,,Players,Pts
,1,C. Alcaraz,6820
,2,R. Nadal,6020
,3,C. Ruud,5820
,4,S. Tsitsipas,5550
,5,N. Djokovic,4820
,6,F. Auger-Aliassime,4195
,7,D. Medvedev,4065
,8,A. Rublev,3930
,9,T. Fritz,3355
,10,H. Hurkacz,2905
,11,H. Rune,2888
,12,A. Zverev,2700
,13,P. Carreño,2495
,14,C. Norrie,2445
,15,J. Sinner,2410
,16,M. Berrettini,2375
,17,M. Cilic,2105
,18,D. Shapovalov,2075
,19,F. Tiafoe,2000
,20,K. Khachanov,1990
,21,R. Bautista,1940
,22,N. Kyrgios,1870
,23,L. Musetti,1865
,24,A. De Minaur,1790
,25,D. Schwartzman,1700
,26,B. Coric,1685
,27,D. Evans,1585
,28,G. Dimitrov,1460
,29,M. Kecmanovic,1420
,30,F. Cerúndolo,1395
,31,A. Davidovich,1280
,32,T. Paul,1210
,33,S. Korda,1175
,34,M. Cressy,1163
,35,B. van de Zandschulp,1160
,36,Y. Nishioka,1134
,37,A. Bublik,1130
,38,R. Opelka,1095
,39,A. Ramos,1075
,40,E. Ruusuvuori,1011
,41,J. Isner,1005
,42,J. Draper,990
,43,S. Báez,987
,44,A. Rinderknech,952
,45,L. Sonego,950
,46,A. Mannarino,946
,47,B. Nakashima,927
,48,J. Brooksby,920
,49,A. Murray,920
,50,A. Molcan,895
,51,C. Moutet,892
,52,G. Monfils,880
,53,D. Goffin,870
,54,F. Krajinovic,845
,55,F. Fognini,843
,56,M. Hüsler,818
,57,P. Cachín,813
,58,J. Munar,802
,59,A. Karatsev,795
,60,B. Bonzi,781
,61,M. Giron,776
,62,P. Martínez,776
,63,M. McDonald,775
,64,Q. Halys,767
,65,C. Lestienne,760
,66,J. Wolf,746
,67,D. Galán,741
,68,R. Gasquet,740
,69,M. Ymer,739
,70,L. Djere,738
,71,T. Monteiro,738
,72,B. Zapata,712
,73,I. Ivashka,705
,74,R. Carballés,695
,75,F. Coria,695
,76,O. Otte,691
,77,K. Majchrzak,653
,78,C. O'Connell,652
,79,T. Etcheverry,649
,80,D. Lajovic,646
,81,J. Lehecka,646
,82,J. Sousa,638
,83,S. Kwon,630
,84,J. Thompson,626
,85,C. Garín,615
,86,U. Humbert,613
,87,M. Fucsovics,607
,88,R. Safiullin,606
,89,F. Bagnis,603
,90,G. Barrère,603
,91,N. Basilashvili,595
,92,T. Daniel,594
,93,T. Kokkinakis,592
,94,D. Altmaier,590
,95,T. Griekspoor,584
,96,B. Shelton,584
,97,T. Machác,580
,98,V. Pospisil,570
,99,Z. Zhang,569
,100,A. Tabilo,567
,101,M. Cecchinato,562
,102,D. Thiem,561
,103,R. Albot,559
,104,E. Gómez,553
