,,Players,Pts
,105,J. Varillas,552
,106,D. Kudla,548
,107,J. Kubler,538
,108,H. Gaston,526
,109,J. Veselý,524
,110,S. Johnson,517
,111,T. Van Rijthoven,516
,112,N. Borges,512
,113,M. Mmoh,507
,114,N. Gombos,496
,115,C. Tseng,490
,116,Y. Wu,488
,117,P. Kotov,483
,118,D. Stricker,483
,119,F. Passaro,473
,120,A. Popyrin,469
,121,P. Andújar,467
,122,J. Rodionov,465
,123,C. Eubanks,462
,124,F. Verdasco,460
,125,F. Delbonis,456
,126,C. Ugo,449
,127,E. Ymer,444
,128,Y. Hanfmann,435
,129,Z. Bergs,435
,130,A. Vukic,429
,131,J. Sock,428
,132,H. Dellien,425
,133,J. Sels,421
,134,M. Arnaldi,419
,135,L. Nardi,408
,136,L. Klein,405
,137,J. Kovalík,404
,138,F. Agamenone,403
,139,L. Van Assche,403
,140,V. Kopriva,391
,141,H. Grenier,388
,142,T. Skatov,387
,143,G. Simon,385
,144,B. Gojo,381
,145,Y. Watanuki,381
,146,M. Guinard,380
,147,J. Millman,378
,148,S. Wawrinka,377
,149,F. Misolic,376
,150,J. Struff,375
,151,J. Cerúndolo,370
,152,N. Jarry,370
,153,M. Bellucci,370
,154,A. Shevchenko,369
,155,J. Duckworth,363
,156,G. Brouwer,360
,157,L. Riedi,360
,158,A. Kovacevic,360
,159,M. Marterer,354
,160,A. Muller,351
,161,G. Zeppieri,350
,162,Z. Piros,349
,163,L. Broady,348
,164,R. Hijikata,344
,165,C. Taberner,343
,166,F. Meligeni Alves,343
,167,R. Peniston,340
,168,R. Berankis,339
,169,A. Ritschard,335
,170,G. Blancaneaux,335
,171,F. Cobolli,335
,172,H. Laaksonen,334
,173,F. Marozsán,328
,174,E. Couacaud,327
,175,O. Virtanen,321
,176,F. Mena,321
,177,J. Ficovich,321
,178,E. Nava,320
,179,B. Paire,317
,180,D. Novak,316
,181,A. Pellegrino,316
,182,R. Olivo,315
,183,A. Bellier,309
,184,T. Wu,307
,185,O. Krutykh,307
,186,D. Džumhur,304
,187,R. Bonadio,301
,188,M. Kukushkin,300
,189,A. Andreev,296
,190,S. Rodríguez,291
,191,F. Díaz,291
,192,J. Shang,289
,193,S. Ofner,288
,194,R. Brancaccio,287
,195,N. Kicker,282
,196,D. Kuzmanov,282
,197,K. Uchida,282
,198,S. Kozlov,280
,199,D. Koepfer,279
,200,F. Maestrelli,279
,201,F. Silva,275
,202,N. Hardt,271
,203,C. Stebe,270
,204,L. Lokoli,269
,205,A. Escoffier,268
,206,L. Darderi,266
,207,A. Galarneau,265
,208,R. Noguchi,265
,209,E. Furness,265
,210,L. Tu,264
,211,M. Pucinelli,263
,212,G. Mager,262
,213,A. Vavassori,262
,214,M. Krueger,258
,215,N. Moreno De Alboran,257
,216,L. Rosol,256
,217,B. Holt,255
,218,K. Coppejans,254
,219,P. Jubb,253
,220,M. Purcell,252
,221,Y. Hsu,250
,222,D. Svrcina,249
,223,M. Trungelliti,247
,224,G. Olivieri,246
,225,T. Tirante,244
,226,E. Escobedo,243
,227,G. Diallo,242
,228,O. Jasika,242
,229,N. Ionel,240
,230,T. Barrios,239
,231,N. Milojevic,239
,232,G. Elias,239
,233,M. Zekic,239
,234,N. Serdarušic,238
,235,P. Gojowczyk,236
,236,A. Çelikbilek,236
,237,L. Harris,230
,238,S. Mansouri,230
,239,R. Burruchaga,229
,240,J. Clarke,226
,241,N. Fatic,226
,242,I. Gakhov,224
,243,M. Navone,222
,244,N. Ly,221
,245,K. Zuk,220
,246,A. Collarini,220
,247,Z. Kolár,218
,248,J. Choinski,218
,249,D. Sweeny,217
,250,M. Gigante,214
,251,A. Fils,213
,252,S. Hong,212
,253,J. Torres,212
,254,M. Geerts,212
,255,H. Medjedovic,211
,256,H. Mayot,211
,257,H. Casanova,208
,258,R. Haase,207
,259,N. Mejía,207
,260,D. Michalski,204
,261,G. Lama,202
,262,A. Giannessi,201
,263,J. Forejtek,200
,264,S. Shimabukuro,199
,265,T. Sandgren,198
,266,A. Gray,198
,267,N. Sánchez-Izquierdo,196
,268,O. Roca,195
,269,P. Cuevas,193
,270,H. Moriya,191
,271,F. Comesaña,190
,272,S. Diez,190
,273,A. Dougaz,190
,274,M. Neuchrist,189
,275,M. Valkusz,188
,276,J. Londero,186
,277,Y. Bu,186
,278,E. Gerasimov,185
,279,T. Stodder,185
,280,R. Collignon,184
,281,L. Giustino,184
,282,M. Gengel,183
,283,L. Gerch,183
,284,N. Álvarez,181
,285,D. Added,181
,286,T. Droguet,180
,287,J. Domingues,179
,288,J. de Jong,179
,289,D. Masur,178
,290,V. Vacherot,178
,291,E. Zhu,178
,292,D. Yevseyev,177
,293,P. Martín,176
,294,S. Caruso,175
,295,U. Blanchet,175
,296,L. Neumayer,175
,297,A. Lazarov,173
,298,J. Barranco,173
,299,T. Atmane,173
,300,D. Dutra Silva,172
