"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL"
"1",2,0.0408163265306122,0,0,0,0
"1",5,0,0.102040816326531,0,0,0
"1",1,0,0,0.0204081632653061,0,0
"1",32,0,0,0,0.653061224489796,0
"1",9,0,0,0,0,0.183673469387755
"2",1,0,0.0357142857142857,0,0,0
"2",25,0,0,0,0.892857142857143,0
"2",2,0,0,0,0,0.0714285714285714
"3",1,0.0416666666666667,0,0,0,0
"3",12,0,0.5,0,0,0
"3",3,0,0,0.125,0,0
"3",6,0,0,0,0.25,0
"3",2,0,0,0,0,0.0833333333333333
"4",3,0.142857142857143,0,0,0,0
"4",5,0,0.238095238095238,0,0,0
"4",11,0,0,0,0.523809523809524,0
"4",2,0,0,0,0,0.0952380952380952
