"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","modal_location","n_serves","cluster"
"ajla tomljanovic",93.5770491803279,10.954817395044,0.0262295081967213,2.93829941591139,"WC_DNCTL",305,"4"
"aleksandra krunic",89.0894308943089,11.2030500311894,0.024390243902439,2.83873289513799,"WBW_DNCTL",123,"3"
"aliaksandra sasnovich",87.2857142857143,10.50935934422,0.0114285714285714,2.93152320061591,"WW_DCTL",175,"3"
"alison van uytvanck",92.5935483870968,12.9000638144971,0.0129032258064516,2.90778828929939,"WBW_DNCTL",155,"1"
"alizé cornet",89.0204678362573,10.103693573511,0.0146198830409357,2.98958224835848,"WB_DNCTL",342,"3"
"alycia parks",100.446428571429,11.9269284971707,0,2.75397197965479,"WC_DNCTL",56,"2"
"amanda anisimova",92.8611111111111,9.11742442400419,0.0208333333333333,2.98196162677221,"WC_DNCTL",144,"3"
"ana bogdan",88.6233766233766,12.7443838314313,0.0194805194805195,2.72701878918709,"WBW_DNCTL",154,"2"
"anastasia pavlyuchenkova",93.4589665653495,9.50283912143003,0.0516717325227964,2.95526263830531,"WC_DNCTL",329,"4"
"anastasia potapova",92.2093023255814,9.07043070522534,0.0199335548172757,3.00948129395552,"WW_DCTL",301,"3"
"andrea petkovic",93.3454545454545,6.71495163642794,0.0363636363636364,3.02591613804336,"WBW_DNCTL",110,"3"
"anett kontaveit",94,10.4710485216552,0.0414201183431953,2.89325163887755,"WC_DNCTL",169,"4"
"angelique kerber",86.2608695652174,8.94533371969378,0.00966183574879227,2.86343311162597,"WBW_DNCTL",207,"3"
"anhelina kalinina",90.6307692307692,10.5296379414693,0.00512820512820513,2.98652300193905,"WBW_DNCTL",195,"3"
"anna blinkova",89.7765957446808,13.3256598257576,0.0638297872340425,2.89490778487026,"WC_DNCTL",94,"4"
"anna bondar",95.537688442211,9.93399106442612,0.0603015075376884,2.94509555435787,"WBW_DNCTL",199,"1"
"anna kalinskaya",94.3698113207547,8.64531719683912,0.0339622641509434,3.01690238760723,"WBC_DNCTL",265,"1"
"arantxa rus",93.3614457831325,11.3303528045457,0.0441767068273092,3.03535841331176,"WC_DNCTL",249,"4"
"aryna sabalenka",99.0207373271889,10.6892534082579,0.0691244239631336,2.96774595430226,"WBW_DNCTL",1302,"1"
"ashleigh barty",96.2415730337079,11.3388020271054,0.106741573033708,2.90999299259329,"WC_DNCTL",178,"4"
"ashlyn krueger",100.837662337662,8.40204673105666,0.025974025974026,2.89448248381414,"WB_DNCTL",154,"1"
"barbora krejcikova",94.4181818181818,9.09894578475657,0.0649350649350649,3.01286233648731,"WC_DNCTL",385,"4"
"beatriz haddad maia",91.7912087912088,12.8614492457608,0.0293040293040293,3.00761673602859,"WBW_DNCTL",546,"1"
"belinda bencic",91.9564459930314,11.0799026550044,0.0435540069686411,2.93401283449403,"WBW_DNCTL",574,"1"
"bernarda pera",91.4105571847507,10.0238718001131,0.0351906158357771,2.88742281213063,"WC_DNCTL",341,"4"
"bianca andreescu",92.3910806174957,9.62981781231092,0.039451114922813,2.94028127536093,"WC_DNCTL",583,"4"
"camila giorgi",96.9414414414414,10.0429482111865,0.0225225225225225,2.7720201968745,"WC_DNCTL",222,"2"
"caroline dolehide",91.4888888888889,10.8455517178008,0.0222222222222222,2.93574167270253,"WBW_DNCTL",225,"3"
"caroline garcia",95.5656108597285,11.9088180980405,0.0565610859728507,2.83699632800193,"WC_DNCTL",442,"4"
