"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"avg_speed",-0.53502695964975,-0.338623043403079,0.465873997192192,0.308386279292611,0.461964217847654,0.0197981960038345,0.270393072457706,0.00495859243051562
"sd_speed",-0.436525582609675,0.200760097055601,-0.791710258793382,0.0283458017440255,0.272666603792607,-0.0165148861723734,0.255514749126168,-0.0403060230266476
"ace_pct",-0.669871614202753,-0.0670934795837391,0.0122270591258576,-0.0995941552619622,-0.419282740902155,-0.000879175417771834,-0.600033324912766,-0.029380401151541
"location_entropy",-0.240771548576656,0.797000559771291,0.381105881635105,-0.161106013354942,-0.160174286595918,-0.0554996558740325,0.326740826644106,-0.0112581916635508
"modal_location_WBC_DNCTL",-0.00324612266794077,0.131194726227517,0.0692427331658945,-0.523660478419163,0.544791104291701,0.310562112544949,-0.325982651810842,0.45194213279784
"modal_location_WBW_DNCTL",0.0507610864615373,0.263072937059047,-0.0528658255665436,0.702481347296701,-0.0640549259257839,0.099810495302131,-0.189410858510186,0.618061049772893
"modal_location_WC_DNCTL",-0.116989519454819,-0.344626070194188,-0.053373525770696,-0.305612501063581,-0.419222098735919,0.00573577372567959,0.482208041916357,0.602489773492564
"modal_location_WW_DCTL",0.0147944984107694,0.0114819844966788,0.0180833074252778,-0.0843856279337347,0.184771796496105,-0.943297644117213,-0.141896026202031,0.219353144974429
