"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.377049180327869,0.478761099732643,0.237473936078054,0.0713130249268562,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.0337628340870946,-0.0529298306717657,-0.166040231187039,0.372178811441192,0.39090829857811,0.398683965206146,-0.0806530452457174
"aleksandra krunic",0.48780487804878,-0.559045259960189,0.385280085376229,-0.984866496182073,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.712292279214445,0.869414771757069,0.802703497451478,0.356983452909762,0.316300611807125,0.317868411540985,-0.373644077705638
"aliaksandra sasnovich",0.337142857142857,-0.976172664337475,-0.0277669290577504,-0.000567560737002382,-0.284470366018268,-0.442011204872034,-0.832403644091255,-0.686655502937942,5.93774783188613,-0.00414548680037552,-0.00918946284027355,0.0655167328496822,0.339309166016912,0.342211483641084,0.312986731529236,-0.424096239753721
"alison riske",0.34,0.0539252066370915,-0.596014255553267,-0.211144750428648,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.175981697644824,-0.210852952617024,-0.259052289485993,0.374063159355166,0.38559689206733,0.380028128623962,-0.233949078149552
"alison van uytvanck",0.380645161290323,0.251316760012819,1.39573977557456,-0.252342224279821,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.000152432972482019,0.073959580002934,-0.0359839086509314,0.382013674963349,0.369003343603055,0.376561015844345,-0.130388386857172
"alizé cornet",0.309941520467836,-0.574993652998169,-0.269314118023814,0.615309912578935,3.4912272193151,-0.442011204872034,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.227594354323702,0.036453674726733,0.213728755155937,0.269091453302604,0.305837256014058,0.256476134061813,0.356082600274641
"alycia parks",0.267857142857143,2.06737340248524,0.816301929554208,-1.88399144730433,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.836842742361118,-0.401720008052029,-0.4227658637255,0.424591686948489,0.351812543545078,0.340259999036789,0.303853103540836
"amanda anisimova",0.326388888888889,0.313193300953015,-0.856572294159762,0.534472052673623,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.22886281066873,-0.291033495976683,-0.43156336520905,0.370268029096457,0.388099646477205,0.400531470775604,-0.144906813507201
"ana bogdan",0.311688311688312,-0.666824945198223,1.30304262190023,-2.16990490073632,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.207832609774091,-0.160127938750049,-0.0949850421180151,0.35166375098076,0.347091009282101,0.319271773099899,-0.394493871915468
"ana konjuh",0.354838709677419,0.181192776576243,1.166166565475,-0.918041641267044,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.0546682525285689,-0.0917794094566197,-0.232162314047886,0.366383234565463,0.376505418919879,0.389549285173416,-0.306976421664458
"anastasia pavlyuchenkova",0.358662613981763,0.451453320642904,-0.627083282585728,0.251255117563054,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.0561289353381886,-0.0941361798174618,-0.239414566507836,0.370478276023901,0.380802962826391,0.3948073387146,-0.108336653044994
"anastasia potapova",0.395348837209302,0.162456036815849,-0.884553951695856,0.826394565190562,-0.284470366018268,-0.442011204872034,-0.832403644091255,-0.686655502937942,5.93774783188613,0.199009813126285,0.10247619598543,0.0701155971153691,0.359804734556233,0.377976041708697,0.370283275842667,-0.147862838236514
"anastasija sevastova",0.464285714285714,0.0644970898542802,0.0810917665251946,-0.0943750687146811,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.487861505503829,0.562826548512071,0.373460869075386,0.375123930017663,0.354396413379572,0.379232943058014,-0.210888221452367
"andrea petkovic",0.409090909090909,0.425202537122474,-2.28708625493177,1.00073173820184,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.171141548180809,0.292255815741437,0.549190040596411,0.378719813196808,0.353578146670215,0.28928729891777,-0.167539728868806
"anett kontaveit",0.396449704142012,0.57657268318673,-0.0505784950455257,-0.406543780805135,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.102525155856928,0.0760798873451303,-0.0734571775074971,0.378815427779443,0.38438176877153,0.399775981903076,-0.0715318593268374
"angelique kerber",0.241545893719807,-1.21317819841841,-0.959040949084043,-0.722852089944636,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.455027895724353,-0.420683490769416,-0.428026237060303,0.327406603857343,0.329312381206529,0.314989000558853,-0.712960011614078
"anhelina kalinina",0.297435897435897,-0.202595440464533,-0.0156923629606814,0.582858106558913,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.37314286962118,-0.278912909412203,-0.352091939397206,0.368096816904055,0.356710783505367,0.355862826108932,-0.269974345099624
"anna blinkova",0.329787234042553,-0.400131554198914,1.64915410721874,-0.388975752236021,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.138959427976467,-0.216717844722613,-0.30666456522512,0.356978187625259,0.376562792139379,0.379230797290802,-0.270493189659316
"anna bondar",0.457286432160804,0.93217842833768,-0.370360760333098,0.14340495094814,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.35680995112012,0.261658431464873,0.016276384030071,0.39245090494272,0.407922819083173,0.442867696285248,-0.00111533444163692
"anna kalinskaya",0.392452830188679,0.662095229023873,-1.13768098472784,0.905115877116443,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.0920838153364758,0.0560914799339622,-0.051128346290288,0.376756712702907,0.38440196049905,0.391363531351089,-0.220032135462327
"arantxa rus",0.325301204819277,0.428900669874377,0.461080483812739,1.10089329545708,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.288576171029361,-0.337020956321856,-0.374432868264266,0.380264552003871,0.396254051829834,0.388146102428436,-0.0706916954074565
"aryna sabalenka",0.438556067588326,1.73766812321941,0.0793481114942372,0.383675358916248,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.0898529799818588,0.21797793266099,0.0890778077466472,0.423274045719563,0.397970914397878,0.409740686416626,0.217724413797546
"ashleigh barty",0.365168539325843,1.0949587405182,0.466111438124437,-0.22895522179089,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.0974150525731612,-0.0977353042934297,-0.0478245658401717,0.384647877736995,0.388032203395947,0.36342591047287,0.0758951214001296
"ashlyn krueger",0.350649350649351,2.15785010189368,-1.28253248912153,-0.393487251305083,3.4912272193151,-0.442011204872034,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.0752937344745068,0.0343322880558288,-0.0639361930955662,0.338069867871642,0.346971420791232,0.352092832326889,1
"astra sharma",0.4,1.37210689527998,1.22144877874108,-1.60741058421561,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.0168749644863142,0.201408775317234,-0.0839629740593246,0.398264417715946,0.362744746583813,0.405403822660446,0.125319477979265
"barbora krejcikova",0.449350649350649,0.673281387616671,-0.867575104079809,0.862259912843032,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.377928462407762,0.318351922815879,0.240542723922855,0.380595028727251,0.388593358240089,0.390582740306854,-0.0493755688394597
"beatriz haddad maia",0.344322344322344,0.0657677488948053,1.37274734879154,0.806615749148316,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.183942589399148,-0.156250843937101,-0.277134850713588,0.379863232805359,0.3789458630554,0.387926340103149,-0.160858395956912
"belinda bencic",0.421602787456446,0.103980495162365,0.311953951662625,0.0258419220559606,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.200108567097762,0.291072759029538,0.107527957907609,0.385854730171395,0.366327783673452,0.389138847589493,-0.192717031436181
"bernarda pera",0.448680351906158,-0.0222617208219514,-0.316842715146665,-0.468374679327695,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.490632126379101,0.370938805744319,0.292593270645866,0.359004275107074,0.377354686921207,0.37961933016777,-0.230503631019674
"bianca andreescu",0.353344768439108,0.204494074674489,-0.551475853871036,0.0923361494476224,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.0686981271070922,-0.0966409947816934,-0.180998954613318,0.36749356869787,0.375988509376098,0.3779376745224,-0.170942460186239
"camila giorgi",0.418918918918919,1.25681027026102,-0.305483971562557,-1.69253997072443,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.164956581541214,0.377005105975604,0.568734759635963,0.389695898597273,0.346374110959363,0.295250296592712,0.072202927773023
"caroline dolehide",0.32,-0.00414673520175464,0.172413437770718,0.0441810534924052,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.333139525956718,-0.318930291443568,-0.398103542548416,0.383235356105585,0.387317170213926,0.387525826692581,-0.223456543362167
"caroline garcia",0.447963800904977,0.938635765087532,0.805518382317004,-1.00328761436399,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.385864421674468,0.36629591474631,0.371919977282196,0.377735079211028,0.377571216665499,0.363215744495392,0.0335277802014389
"caroline wozniacki",0.329192546583851,-1.14279473678226,0.308138376617264,0.122660747994123,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.0334962713420821,0.0371186356656532,-0.0646827682637329,0.336807052793202,0.324954645081763,0.330783665180206,-0.647091171652188
"christina mchale",0.375,-1.47172969014307,0.880916633466383,-3.41729506034286,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.3370972520416,0.253035111054877,-0.028579329805376,0.313823614309751,0.327369413659389,0.369451582431793,-0.609392380081672
"claire liu",0.404255319148936,0.475703983607859,0.340795643174403,-0.793742365324468,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.205166645441463,0.122107902876424,-0.115324182607055,0.367568363317078,0.382937143989704,0.415860891342163,-0.0923599945181356
"clara burel",0.336206896551724,-0.995396859304072,1.82311204671344,0.368742799250471,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.159400099701339,-0.187111598403186,-0.36131452622336,0.367192120541917,0.377032494074793,0.396457612514496,-0.422535412890863
"clara tauson",0.315112540192926,0.419672848864143,0.101340389912498,-0.73065893745244,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.299253417844298,-0.319235741820454,-0.437813489240038,0.372057836022292,0.382491096699464,0.390491098165512,-0.112013569389066
"coco gauff",0.372164948453608,1.12062958560725,1.53416829204924,0.204013930533624,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.0916274379087488,0.05203132551857,-0.110892263925979,0.390569969183488,0.364930047071285,0.382894098758698,-0.0426331933382883
"coco vandeweghe",0.444444444444444,1.41424759643738,-0.491149346334861,0.494070490916884,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.139181427516039,0.257722627597577,-0.00627239243351085,0.420005900165586,0.395871808972816,0.434484779834747,0.12247004749149
"cristina bucsa",0.352727272727273,-1.10531782863833,-1.05992183082773,0.744803932075662,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.0545840110513809,0.160138946933368,0.0984350336187743,0.34399200269312,0.323766007313496,0.322061479091644,-0.523162076327371
"dalma galfi",0.528925619834711,0.788720236382845,0.911963958966499,0.964098968683876,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.79550675210047,0.736621735127347,0.588909589501154,0.382657627371691,0.384108739892951,0.401267379522324,-0.131100159113533
"danielle collins",0.435510887772194,1.07860432339984,-0.170448940423532,-0.0556415798811029,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.232966334820572,0.279685841897313,0.240518107894415,0.39366365442264,0.382524310129495,0.376747846603394,0.0380393509543377
"danka kovinic",0.306122448979592,-1.20271301899146,-1.4722478620416,-0.358258519968284,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.104077597671328,-0.167387584655776,-0.133529045403523,0.326838512780436,0.342984115956141,0.321328073740005,-0.557450982899581
"daria kasatkina",0.363431151241535,-1.87384308113536,1.14988182842695,1.43085473584026,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.262064439104952,0.104603450732544,0.190553765111432,0.316182623967484,0.345630841839333,0.314548671245575,-0.645128692686955
"daria saville",0.24,-0.630604231675706,-0.0238975265679699,-2.05440974085292,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.546689156294447,-0.423363959921344,-0.388429247564149,0.342875200325294,0.328305180761143,0.305612713098526,-0.419878277767366
"dayana yastremska",0.311926605504587,0.523531411311512,0.0314320092971638,1.11530700250382,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.324201414416333,-0.388834892282237,-0.396043726902858,0.373502837459412,0.393292487413566,0.379045099020004,-0.219541125400412
"diana shnaider",0.381909547738693,-0.401924171117523,-1.11156345655638,0.288894080076429,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.15218178619289,0.109379572423233,-0.0472737334977763,0.355057830503573,0.363149382249081,0.380057990550995,-0.496883643083972
"diane parry",0.33,-0.246712722351637,0.588165726176871,0.445850070051202,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.120449242858373,-0.109146700970658,-0.160927480071482,0.353755026986163,0.355157009858978,0.350623726844788,-0.408780920007376
"donna vekic",0.444444444444444,1.81412590438774,-0.41069130072086,0.108429749737423,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.194595847703676,0.308443214161092,0.13595231748416,0.409719677799902,0.385678504253441,0.406359523534775,0.238231751640316
"ekaterina alexandrova",0.419191919191919,1.20494566607693,-0.0464485522158706,1.11896083772499,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.0551381049248876,0.131690142124392,0.059552971400177,0.410353796276241,0.395948003595396,0.39621514081955,0.0919220839975035
"elena rybakina",0.410876132930514,1.34860361865627,0.834362390576125,-0.739332941147854,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.0457083138850753,0.152529468743557,0.0558878949029049,0.403788401468342,0.383444142613882,0.388624131679535,0.141686533808317
