"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.222222222222222,0.128875764146754,0.0243167866441978,0.49295863282253,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,-0.16430548375965,-0.10478141247817,-0.0518599628225788,0.282648900385283,0.273793375577957,0.261079847812653,-0.105330091595107
"aliaksandra sasnovich",0.282051282051282,0.284761484481818,-1.55231808843841,-0.103318683035622,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.0844155001000562,0.018185859645369,0.090368495774463,0.271281572802856,0.298860085544324,0.28197780251503,-0.589769937078811
"alison van uytvanck",0.233333333333333,-0.348582070855445,-0.647301187199797,0.494629159454953,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,-0.0589126013029632,-0.00264384711054155,-0.030915329593713,0.263591296443256,0.256030610574567,0.266457945108414,-0.394479602230146
"alize cornet",0.333333333333333,-0.674598608814744,-0.582891871475444,0.472446556580893,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,0.249910863267924,0.367616434341818,0.433674847997219,0.275190572531081,0.251359528409102,0.239289239048958,-0.631517666563756
"amanda anisimova",0.305882352941176,0.980950538204457,0.932714684317239,0.507515333339056,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,-0.00891697062677521,0.124466946941386,0.212258874705321,0.321829065607867,0.292645923450113,0.272444754838943,0.0650781993397189
"anastasia pavlyuchenkova",0.25531914893617,-0.181866350416979,-1.63930687751924,-2.55250892270396,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,-0.00703017681551987,0.333994062947331,0.461257097472467,0.270725766830529,0.182850252248452,0.153725177049637,-0.863464074395473
"anastasia potapova",0.235294117647059,-0.101029752447227,0.244961841979798,0.357355108198536,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,-0.0405672326551693,-0.0103953601286759,0.0239914873685758,0.260300718555103,0.260182716228095,0.25338950753212,-0.201896859228567
"anastasija sevastova",0.32258064516129,-0.434513786872004,-1.06066339919558,-0.914824962975654,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.321853215796175,0.353082556573738,0.368288764844907,0.24384438427549,0.244715508625897,0.246434181928635,-0.648838636257788
"anett kontaveit",0.326923076923077,0.439272110250975,-0.768606187318845,0.72398919284213,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.21769025624784,0.287861539081063,0.16947709078727,0.278003465629308,0.267495657914697,0.305195808410645,-0.171112450704014
"angelique kerber",0.232142857142857,-1.30609791967538,-0.546196487492856,0.471970159396152,-0.649672212914227,1.6439637984634,-0.798390833125176,-0.206318547073802,0.0197156609623523,0.06567766753324,0.0598321162201714,0.23989347835158,0.235525918868192,0.240427866578102,-0.59060251233879
"anhelina kalinina",0.228571428571429,-0.214301407739006,1.05975559995534,-2.01411198619619,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,-0.202277149998588,-0.383664814677305,-0.611933726328804,0.299867497078056,0.358981790366338,0.420733749866486,-0.538090680639476
"anna blinkova",0.24,0.118670062295786,-0.35407108166315,-1.61064217616837,1.52336932683336,-0.602014912113357,-0.798390833125176,-0.206318547073802,-0.189930005784567,-0.0987213358299206,-0.270325802372793,0.307761698188348,0.28985799422808,0.338656604290009,-0.622949779201564
"anna kalinskaya",0.296296296296296,0.935472900881805,-0.776337937566636,-0.74640635453143,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,0.122379294086743,0.156272740997282,0.025625903643419,0.274659450136693,0.274068497625952,0.313944309949875,-0.209247339356216
"aryna sabalenka",0.335051546391753,1.67750674877155,1.62180849420301,1.01654752636175,-0.649672212914227,-0.602014912113357,1.23960681985225,-0.206318547073802,-0.0165874705189278,0.178145248006387,0.27725505225491,0.353193939830876,0.306640478564549,0.283823043107986,0.57973496591684
