"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.558823529411765,-0.754728896191222,-0.24547141123504,-0.516624874820969,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.0825791777853539,0.0164561612820353,0.105245769900818,0.520681872246961,0.535157705765044,0.543690502643585,-0.458637183152135
"adrian mannarino",0.547457627118644,-1.17858409584835,0.768326094665456,0.829884811568678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.0630079618619096,-0.0546959707801794,-0.191849748605383,0.532792069717367,0.534944175277591,0.478673130273819,-0.202508806345204
"alejandro davidovich fokina",0.55663430420712,0.0690348333291055,-0.734627652647985,1.97499230804291,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,-0.056948271421655,-0.087916818700139,0.0771528144262937,0.525570137592848,0.525009522158572,0.539620876312256,0.311013210352261
"alejandro tabilo",0.590163934426229,-0.891256108024369,0.912472438131755,1.74458407132046,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.287022431967106,0.22201140042526,0.246871610638046,0.536806136207323,0.536789876917511,0.526343464851379,-0.0249378511673139
"aleksandar kovacevic",0.516393442622951,0.223727135758176,0.76667688205015,-0.545065185324863,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.115800507676744,-0.0982271619755573,-0.17548086050268,0.553465549269524,0.551185755515638,0.541352927684784,0.102575707361264
"aleksandar vukic",0.48780487804878,-0.60341685076724,0.0120711277131427,-1.64418476406703,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.561236225402729,-0.522499836098896,-0.378572188676519,0.52609782974396,0.52330384181071,0.535731792449951,-0.49596414267534
"alex de minaur",0.58876629889669,-0.457445655097277,0.152391040578407,0.560649170049515,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,0.0994407833754773,0.107594151335521,0.171130306942995,0.516084785857822,0.524984498733668,0.506970763206482,0.0820498550188905
"alex michelsen",0.477272727272727,0.256012373032345,-0.725598058567618,1.4889109793313,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.516169561509376,-0.456640713007807,-0.518278422588982,0.54046804855665,0.537797218319657,0.514831781387329,-0.00406466926064378
"alex molcan",0.548837209302326,-0.537951875060392,-0.691844055211417,0.153748041619189,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0026984835564377,-0.00643465548915046,-0.0007392267854722,0.539281244992993,0.53938720717651,0.531558036804199,-0.160247590708316
"alexander bublik",0.577197149643705,0.829131076018034,3.62593539857628,0.0401904908145737,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.625100626408197,0.367231237628867,0.170242729394614,0.587534733773267,0.561783074652605,0.528287827968597,0.520584202635368
"alexander shevchenko",0.5,-0.458343858856627,-0.372900751949218,-1.1250784260934,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.502317156197543,-0.394842185726116,-0.33079788033722,0.522446912221062,0.529253134563605,0.526853263378143,-0.430367977328332
"alexander zverev",0.596570397111913,2.32914834536628,0.794753706413327,-0.368022267728917,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.738759733997555,0.498112174062787,0.43238016308603,0.584079958977917,0.563217370531902,0.568228423595428,0.760902902834234
"alexandre muller",0.517482517482518,-0.884582431213367,0.210821246487462,0.645830962648204,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.187097084540578,-0.257049994281844,-0.225230594643815,0.544189487641593,0.532741749584747,0.524885296821594,-0.164778327171616
"alexei popyrin",0.573957016434892,0.86003738959433,0.280457526356584,0.479256860590871,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.386445127590177,0.334839246301587,0.188526018926173,0.562434870580849,0.560372452368633,0.539635717868805,0.355962800586061
"andreas seppi",0.542857142857143,-0.925760807184244,-0.019634601812245,-0.646614649308484,-0.109766251701977,-0.251620477537952,-0.46654780684179,-1.5698157080643,5.16455755032498,-0.331207190310003,-0.235406498689062,-0.115973238659632,0.505414001204723,0.517923776000126,0.50927060842514,-0.341757791071434
"andrey rublev",0.590425531914894,-0.301315599485632,1.98553250674609,-0.328961776402065,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.374883656920303,0.331236717007774,0.302655480898522,0.546851452510674,0.5487879211038,0.542043328285217,0.0394371930065263
"andy murray",0.547325102880658,-0.0564108006107852,0.87714178870692,-0.534489415621365,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0884473550674382,0.0855108490550199,-0.0047636661350745,0.550612424024269,0.550663451296254,0.533210039138794,0.0252687102208474
"arthur cazaux",0.519480519480519,-0.445175272162529,1.58171769630038,-0.31834971174368,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,-0.390698644978176,-0.114831131528597,-0.00791990129399585,0.518660879483262,0.547238580270691,0.584219872951508,0.0989570556681039
