"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.543238394705476,0.00282280775368497,192.446118229737,2.88059538807141e-190
"avg_speed",0.0123560578679732,0.00301920297832068,4.09248995734823,6.76947361713296e-05
"sd_speed",0.00579675059367456,0.00287130162867022,2.0188581150073,0.0451824577962719
"location_entropy",0.00131096425501447,0.00288774400842004,0.453975231596699,0.650465717344695
"modal_locationWB_DNCTL",-0.00250348726555544,0.00328887104054669,-0.761199583289012,0.447665339418504
"modal_locationWBC_DNCTL",0.00232920809547415,0.00449110683714099,0.518626739451363,0.604742085395745
"modal_locationWBW_DNCTL",0.00621354106173437,0.00628659591522602,0.988379266859714,0.324468631362724
"modal_locationWC_DNCTL",0.0129652343364534,0.00697088492164572,1.85991226109533,0.0647453496866716
"modal_locationWW_DCTL",NA,NA,NA,NA
