"ServerName","serve_score_rf","serve_score_rf_weighted","ace_pct","avg_speed","sd_speed","location_entropy","rescaled_ace_pct","rescaled_avg_speed","rescaled_sd_speed","rescaled_location_entropy","n_serves"
"john isner",0.998265289257816,0.910708237370781,0.29004329004329,121.796536796537,9.30437887314056,2.48662979974605,1,0.849568130714516,0.661403232270131,0.370808791569351,231
"tim van rijthoven",0.885774266178564,0.766428635287965,0.217741935483871,122.846774193548,8.51879257336076,2.49983736190392,0.750722195474242,0.898696369867116,0.556509469582997,0.385827825271105,124
"alexander bublik",1.03073456763082,0.760471636677332,0.202279202279202,124.703703703704,7.39134342808922,2.76140417129456,0.697410383977548,0.985560232574745,0.405969187606242,0.683269599804619,351
"quentin halys",1.04413438934485,0.732447038457762,0.223880597014925,119.179104477612,8.86779347944176,2.48173220084289,0.771886834484295,0.727129298031749,0.603109083438682,0.365239466806384,201
"yosuke watanuki",0.64955537835939,0.727761291502864,0.206349206349206,122.412698412698,7.4760583901371,2.50318696538175,0.711442786069652,0.878391076194819,0.41728057519993,0.389636840660901,63
"sam querrey",0.699322170618668,0.700931525895063,0.2,119.9,10.1583834158388,2.43378268844232,0.68955223880597,0.760851509532402,0.775432397316201,0.310713481305134,70
"matteo berrettini",1.17028214951637,0.679181818143725,0.178100263852243,123.069920844327,7.57850103470072,2.52979457437567,0.61404717835624,0.909134773657303,0.43095901441267,0.419893792808938,758
"maxime cressy",0.53838699803612,0.651553102767517,0.171171171171171,120.099099099099,10.3158791587224,2.59908313814758,0.590157321500605,0.770165011587689,0.796461685992565,0.498685568459704,111
"arthur rinderknech",1.26486022919153,0.646075109157551,0.171875,121.3125,8.05708797684788,2.51579879802886,0.592583955223881,0.826925749509482,0.494861331890478,0.403978438096047,64
"alexander zverev",1.30336292203112,0.645161252118276,0.148672566371681,125.012389380531,6.96099992744993,2.69458886239094,0.512587504953111,1,0.348508474451417,0.607290296113153,565
"nick kyrgios",0.707357434773791,0.639110052189265,0.174174174174174,120.825825825826,8.0995124607659,2.38689942308621,0.600510958719914,0.804159996465212,0.500525972108196,0.257399983021723,333
"kevin anderson",-0.327625140746311,0.630381801526255,0.177777777777778,120.644444444444,7.34276253300906,2.21976267207427,0.612935323383085,0.795675297760244,0.399482525502925,0.0673397382736514,45
"lloyd harris",-0.591134234122961,0.613920543448679,0.183673469387755,117.836734693878,7.48984573376824,2.39009365405308,0.633262260127932,0.664335624949662,0.419121501335398,0.261032315920799,49
"feliciano lopez",0.21674697080884,0.602854993607491,0.156862745098039,119.843137254902,7.60098032893023,2.78942890124603,0.540825285338016,0.758191571362233,0.433960515017944,0.715138036885782,51
"jack sock",0.394396418429615,0.586908896084847,0.148351648351648,118.67032967033,9.80365806691191,2.75740740548269,0.511481056257176,0.70332971664367,0.728068439238169,0.678724661101394,182
"botic van de zandschulp",0.614003936814058,0.586049348577576,0.147321428571429,120.071428571429,7.84343921741011,2.74636630451993,0.507929104477612,0.768870633473994,0.46633432947566,0.666169227669997,224
"thanasi kokkinakis",0.250031273352714,0.583145181663311,0.142857142857143,120.910714285714,7.56373353146876,2.6932041321889,0.492537313432836,0.808130927771375,0.428987214522665,0.605715644461037,56
"hubert hurkacz",1.06828766889544,0.576768196423448,0.134268537074148,121.138276553106,8.42513200090074,2.72026006328571,0.462925851703407,0.818775886260141,0.544003638124993,0.636482407934734,499
"jack draper",0.453779225586711,0.572021579963764,0.157534246575342,117.732876712329,7.93185728208192,2.63327765295531,0.543140462073196,0.659477333129209,0.478140166078895,0.53757000179977,146
"taylor fritz",0.72787103620361,0.564732203290531,0.138888888888889,119.987373737374,8.56165810776172,2.54864573590358,0.478855721393035,0.76493869770297,0.562233000141219,0.441330468776889,792
"grigor dimitrov",1.40261823622527,0.559201022405285,0.128640776699029,120.70145631068,8.38813307374214,2.73041005015987,0.443522677872772,0.798342211552218,0.539063433991927,0.648024507310326,412
"yibing wu",0.571290586542077,0.553825554062496,0.126984126984127,120.460317460317,8.12170607538914,2.81359796013455,0.437810945273632,0.787062164637792,0.503489327943337,0.742621981738547,63
"alexei popyrin",0.187315800129207,0.547157197043105,0.157894736842105,117.294736842105,5.94276546451073,2.57557906921085,0.544383346425766,0.638981928577935,0.212550853824193,0.471957819669302,95
"nicolas jarry",0.489080309023523,0.546268597048142,0.113636363636364,122.44696969697,7.50095606520959,2.79746136013561,0.391791044776119,0.879994225972705,0.42060498503402,0.724272180592892,132
"marin cilic",0.715757759958762,0.538700304309141,0.137404580152672,120.091603053435,6.85728179122736,2.3309153983458,0.473738179332346,0.769814359892057,0.334659727890623,0.193737518723939,131
"gael monfils",0.526720582346488,0.535817876224701,0.159574468085106,113.744680851064,10.6373734949404,2.3936506849192,0.550174658621785,0.4729166177927,0.839388542810163,0.265077208219456,188
"ben shelton",0.579040225744663,0.519886007212605,0.123015873015873,116.865079365079,10.6414608039256,2.8306007106283,0.424129353233831,0.61888331530717,0.839934292168113,0.761956729486531,252
"jiri vesely",-0.321811156119327,0.513315895377463,0.102040816326531,121.816326530612,8.508998837965,2.59588320425579,0.35181236673774,0.850493859308062,0.555201781609427,0.495046750456074,49
"aleksandar kovacevic",-0.0259568374004989,0.506595348468377,0.132075471698113,118.150943396226,6.22153897117195,2.57283968194294,0.455364686003943,0.67903374969436,0.24977350149432,0.468842714155731,53
"stefanos tsitsipas",0.934802792723188,0.505440916200261,0.120639534883721,119.197674418605,6.68670020632756,2.68365966566336,0.415936306837904,0.727997966872466,0.311883179610325,0.594862115043661,688
"james duckworth",0.488643069670387,0.505027132123857,0.11353711790393,119.266375545852,7.5657211399257,2.82046001075269,0.391448869191162,0.731211683522665,0.429252605772304,0.750425190859583,229
