server_name,random_intercept,model,year,group
Adrian Mannarino,0.0198546489105878,m_first_2021,2021,m_first
Alex de Minaur,-0.0132463576892643,m_first_2021,2021,m_first
Alexander Zverev,-0.103198466746504,m_first_2021,2021,m_first
Alexei Popyrin,0.110413799634536,m_first_2021,2021,m_first
Andrey Rublev,0.189793492808061,m_first_2021,2021,m_first
Arthur Rinderknech,0.0655360050879777,m_first_2021,2021,m_first
Botic Van De Zandschulp,-0.0936268670710408,m_first_2021,2021,m_first
Carlos Alcaraz,-0.00992623222812194,m_first_2021,2021,m_first
Casper Ruud,-0.114567218652575,m_first_2021,2021,m_first
Christopher Eubanks,-0.00355254818622568,m_first_2021,2021,m_first
Corentin Moutet,-0.0184027500576575,m_first_2021,2021,m_first
Daniel Evans,0.107209433144369,m_first_2021,2021,m_first
Daniil Medvedev,0.19885473659648,m_first_2021,2021,m_first
David Goffin,-0.0165543977202554,m_first_2021,2021,m_first
Denis Shapovalov,0.132023375887463,m_first_2021,2021,m_first
Dominik Koepfer,-0.0938056150072846,m_first_2021,2021,m_first
Federico Coria,-0.0451456851517439,m_first_2021,2021,m_first
Frances Tiafoe,0.114736490993607,m_first_2021,2021,m_first
Gael Monfils,0.208419545647496,m_first_2021,2021,m_first
Grigor Dimitrov,-0.102764149859838,m_first_2021,2021,m_first
James Duckworth,-0.0457238614039038,m_first_2021,2021,m_first
Jannik Sinner,-0.0859027696160313,m_first_2021,2021,m_first
Mackenzie McDonald,-0.00959673076378422,m_first_2021,2021,m_first
Marcos Giron,0.0168152076544719,m_first_2021,2021,m_first
Matteo Berrettini,-0.265265561974796,m_first_2021,2021,m_first
Max Purcell,-0.00017913312078551,m_first_2021,2021,m_first
Miomir Kecmanovic,0.093670356909798,m_first_2021,2021,m_first
Novak Djokovic,0.0911868069870768,m_first_2021,2021,m_first
Pedro Martinez,-0.0329594396962784,m_first_2021,2021,m_first
Roberto Carballes Baena,-0.0293746675027256,m_first_2021,2021,m_first
Stefanos Tsitsipas,0.104727080642784,m_first_2021,2021,m_first
