"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adrian mannarino",0.224137931034483,-2.14204296943355,-0.371948715630142,-1.42516905187393,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.19365087641006,0.0234663929365904,0.371148291808277,0.192412457136547,0.219853101467984,0.15067246556282,-0.677790905016604
"alejandro davidovich fokina",0.333333333333333,0.0655695519125058,0.50856796882646,-0.79694780448889,1.98117894901273,-0.87726700108649,-0.578140171562011,-0.34872755628764,0.561024165213518,0.431787056003897,0.283008408177242,0.241421755965084,0.254491478558456,0.277314364910126,-0.142226837401275
"alejandro tabilo",0.307692307692308,-0.669762041229767,0.0256384196532716,1.0932512447227,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.216547784025043,0.263589242259581,0.352678842577123,0.272215674706693,0.259562414798385,0.237882703542709,0.184827777144113
"aleksandar kovacevic",0.107142857142857,0.0114547268969857,0.172583427174451,-0.828738681470074,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,-1,-0.786079657451729,-0.665983716414373,0.270971053978672,0.250676521092559,0.238968342542648,-0.10835204698375
"aleksandar vukic",0.363636363636364,0.146409388790724,-1.24423448243471,0.109701518636428,1.98117894901273,-0.87726700108649,-0.578140171562011,-0.34872755628764,0.742656648534538,0.242666101967197,0.388033730300535,0.241968264038821,0.319326916875388,0.286828577518463,-0.0735122326190023
"alex de minaur",0.241379310344828,-0.13270017354044,-0.769596893932356,-0.816220391329094,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,-0.182986397522312,-0.271401973332734,-0.389931064207621,0.27135764189639,0.290935763391724,0.318562656641006,-0.211408910137398
"alex molcan",0.230769230769231,-0.819393470066856,-0.362305638884346,2.07085822592162,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,-0.297112702576925,-0.237048379352061,-0.292295783706161,0.279444669089424,0.274052913407755,0.288626551628113,0.343119635264037
"alexander bublik",0.344036697247706,1.45275002296492,3.03666593990599,0.699669180507852,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.228268605583526,0.20308548614923,0.0216245607404548,0.306639863200732,0.306954445282936,0.339756309986115,0.736371262210789
"alexander zverev",0.358490566037736,1.52010209232199,0.960405665235821,0.739588750106706,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.277242468390674,0.370729896019474,0.0685069500518707,0.313070432354981,0.290797400584418,0.344930231571198,0.581786996295156
"alexandre muller",0.235955056179775,-1.49835382102309,0.765932475116989,-0.516589760641972,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,-0.0206603207548682,-0.0183773776315066,-0.101295178944376,0.239339799275095,0.239310660564436,0.256005525588989,-0.262037613525277
"alexei popyrin",0.225806451612903,1.3803663640594,0.630756119173478,-0.90116779447694,1.98117894901273,-0.87726700108649,-0.578140171562011,-0.34872755628764,-0.432587166826889,-0.19250504983794,0.0470230693442661,0.296676427128466,0.260956776227119,0.216498658061028,0.0830901414633619
"aljaz bedene",0.379310344827586,-0.703435901802904,0.657234366482935,0.914617461740867,-0.500508366066375,-0.87726700108649,-0.578140171562011,2.84347084357614,0.875445027545499,0.597065802426009,0.720811699615494,0.235887764535927,0.27028953322296,0.236632153391838,0.0347870553150443
"andrey rublev",0.25561797752809,-0.804704636721524,-0.405121795924678,0.412089704845562,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,-0.0439594672886585,-0.0132643531980984,-0.0810093831075938,0.262819777787854,0.258039972800958,0.271653056144714,-0.0281341172019164
"andy murray",0.269662921348315,-0.827711243166019,0.818791664139212,0.0669046871230807,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.168385684727281,0.125290860303376,-0.102460334884012,0.24207659824648,0.246785524549813,0.289944022893906,-0.005788142165311
"arthur fils",0.212765957446809,0.0561095710012223,-0.411403110155853,-0.473850373954183,-0.500508366066375,-0.87726700108649,1.71514917563397,-0.34872755628764,-0.491714641763236,-0.414792912039575,-0.445897356261307,0.293322680564648,0.288504778418731,0.301027327775955,-0.176714813137261
"arthur rinderknech",0.244444444444444,0.920356277382864,0.0850436038770308,0.739557686582251,-0.500508366066375,-0.87726700108649,1.71514917563397,-0.34872755628764,-0.52102986024583,-0.402143229068208,-0.405156936323782,0.329803826946135,0.317873505422617,0.324641615152359,0.292771327575868
"aslan karatsev",0.3125,0.903008657051315,-0.60264281658009,0.0985753551322835,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.0517791543911628,0.0747959003489133,0.0344233596912465,0.304017114502413,0.298842695013507,0.305686205625534,0.194603414681999
"ben shelton",0.333333333333333,1.35634773680356,1.18135294818823,-0.0964763084615773,-0.500508366066375,-0.87726700108649,1.71514917563397,-0.34872755628764,0.0278326790413442,0.1071518412354,0.288174328645269,0.32877355571288,0.313768018004692,0.276291817426682,0.277916125826719
"benoit paire",0.193548387096774,-0.620985752033297,1.44435024573122,-0.575807672275105,1.98117894901273,-0.87726700108649,-0.578140171562011,-0.34872755628764,-0.260507228503951,-0.250049950272429,-0.350819435076811,0.236226816605272,0.239206082462395,0.262989938259125,-0.138076533934285
