server_name,random_intercept,group,model,rank,label
Adam Walton,0.0240641010158519,m_first,Speed_MPH_z,26,Average
Adrian Mannarino,-0.0263531396007985,m_first,Speed_MPH_z,70,Average
Alejandro Davidovich Fokina,0.0122348148584324,m_first,Speed_MPH_z,31,Average
Alejandro Tabilo,0.00731176360190441,m_first,Speed_MPH_z,39,Average
Aleksandar Kovacevic,0.0101968133501475,m_first,Speed_MPH_z,34,Average
Aleksandar Vukic,-0.0294714518364032,m_first,Speed_MPH_z,72,Average
Alex de Minaur,0.0304698265475664,m_first,Speed_MPH_z,22,Average
Alex Michelsen,-0.0425718636037257,m_first,Speed_MPH_z,79,Average
Alexander Bublik,0.0152195006034037,m_first,Speed_MPH_z,29,Average
Alexander Shevchenko,-0.0527810243976634,m_first,Speed_MPH_z,86,Under-performer
Alexander Zverev,-0.0621479162183235,m_first,Speed_MPH_z,89,Under-performer
Alexandre Muller,0.00855403611141402,m_first,Speed_MPH_z,36,Average
Alexei Popyrin,0.0773245414338191,m_first,Speed_MPH_z,7,Over-performer
Andrey Rublev,0.106288786606818,m_first,Speed_MPH_z,3,Over-performer
Arthur Cazaux,0.00515502230996458,m_first,Speed_MPH_z,43,Average
Arthur Fils,0.0523147768424841,m_first,Speed_MPH_z,11,Average
Arthur Rinderknech,0.0173060207560141,m_first,Speed_MPH_z,28,Average
Ben Shelton,0.0545402231950418,m_first,Speed_MPH_z,10,Over-performer
Borna Coric,-0.0659518152618505,m_first,Speed_MPH_z,90,Under-performer
Botic van De Zandschulp,0.0510147217558532,m_first,Speed_MPH_z,12,Average
Botic Van De Zandschulp,-0.0381645528757808,m_first,Speed_MPH_z,76,Average
Brandon Nakashima,-0.0755050343722151,m_first,Speed_MPH_z,93,Under-performer
Carlos Alcaraz,0.08668478294367,m_first,Speed_MPH_z,6,Over-performer
Casper Ruud,-0.0264731075367468,m_first,Speed_MPH_z,71,Average
Christopher Eubanks,0.0321287262101167,m_first,Speed_MPH_z,20,Average
Constant Lestienne,-0.0394798251417859,m_first,Speed_MPH_z,77,Average
Corentin Moutet,0.0150650808204413,m_first,Speed_MPH_z,30,Average
Daniel Altmaier,-0.0104487841280722,m_first,Speed_MPH_z,57,Average
Daniel Evans,0.0441616610173224,m_first,Speed_MPH_z,13,Average
Daniil Medvedev,-0.0225330815343084,m_first,Speed_MPH_z,64,Average
David Goffin,0.0415068499120922,m_first,Speed_MPH_z,14,Average
Denis Shapovalov,0.103954916627684,m_first,Speed_MPH_z,4,Over-performer
Dominik Koepfer,-0.0722720459196672,m_first,Speed_MPH_z,92,Under-performer
Dusan Lajovic,0.0120723604092063,m_first,Speed_MPH_z,32,Average
Fabian Marozsan,0.00914756937180072,m_first,Speed_MPH_z,35,Average
Fabio Fognini,0.00741462938443581,m_first,Speed_MPH_z,38,Average
Facundo Diaz Acosta,0.0102006996927447,m_first,Speed_MPH_z,33,Average
Federico Coria,-0.0500825726764952,m_first,Speed_MPH_z,83,Average
Flavio Cobolli,0.00576976140366291,m_first,Speed_MPH_z,42,Average
Frances Tiafoe,0.0866853121553558,m_first,Speed_MPH_z,5,Over-performer
Francisco Cerundolo,0.0387463490856774,m_first,Speed_MPH_z,15,Average
Gabriel Diallo,-0.0508269319952719,m_first,Speed_MPH_z,84,Average
Gael Monfils,0.115849396183422,m_first,Speed_MPH_z,2,Over-performer
Grigor Dimitrov,0.0228907673550528,m_first,Speed_MPH_z,27,Average
Hamad Medjedovic,0.0303793588974644,m_first,Speed_MPH_z,23,Average
Holger Rune,-0.0109459407537665,m_first,Speed_MPH_z,58,Average
Hubert Hurkacz,-0.0104230991994937,m_first,Speed_MPH_z,56,Average
Hugo Gaston,-0.0693743619277046,m_first,Speed_MPH_z,91,Under-performer
Jack Draper,-0.00457528399750809,m_first,Speed_MPH_z,52,Average
Jakub Mensik,-0.0587894193005451,m_first,Speed_MPH_z,88,Under-performer
James Duckworth,-0.0251429640592368,m_first,Speed_MPH_z,68,Average
Jannik Sinner,-0.116111040948722,m_first,Speed_MPH_z,95,Under-performer
Jiri Lehecka,-0.0359932565888922,m_first,Speed_MPH_z,75,Average
Jordan Thompson,-0.0100621762694125,m_first,Speed_MPH_z,55,Average
Juncheng Shang,0.0644885041701394,m_first,Speed_MPH_z,8,Over-performer
Karen Khachanov,0.00792100177915257,m_first,Speed_MPH_z,37,Average
Laslo Djere,-0.00443872318542683,m_first,Speed_MPH_z,51,Average
Lorenzo Musetti,-0.0513030141044627,m_first,Speed_MPH_z,85,Average
Lorenzo Sonego,-2.95149360575679e-06,m_first,Speed_MPH_z,47,Average
Luca Nardi,0.00604551365922311,m_first,Speed_MPH_z,41,Average
Luciano Darderi,-0.0241111344562643,m_first,Speed_MPH_z,66,Average
Mackenzie McDonald,-0.0437478072653449,m_first,Speed_MPH_z,80,Average
Marcos Giron,0.00348160424455674,m_first,Speed_MPH_z,44,Average
Mariano Navone,-0.0240003817599478,m_first,Speed_MPH_z,65,Average
Matteo Arnaldi,0.0249423003257347,m_first,Speed_MPH_z,25,Average
Matteo Berrettini,-0.0861679120998415,m_first,Speed_MPH_z,94,Under-performer
Mattia Bellucci,0.0554818678282074,m_first,Speed_MPH_z,9,Over-performer
Max Purcell,-0.00117900002279046,m_first,Speed_MPH_z,49,Average
Maximilian Marterer,-0.0212509102610975,m_first,Speed_MPH_z,63,Average
Miomir Kecmanovic,0.038425716181658,m_first,Speed_MPH_z,16,Average
Nicolas Jarry,-0.00826702890097234,m_first,Speed_MPH_z,53,Average
Novak Djokovic,0.128364632106759,m_first,Speed_MPH_z,1,Over-performer
Nuno Borges,-0.0449724823426068,m_first,Speed_MPH_z,82,Average
Pavel Kotov,-0.0440196754727352,m_first,Speed_MPH_z,81,Average
Pedro Martinez,-0.0261863500971542,m_first,Speed_MPH_z,69,Average
Rinky Hijikata,-0.0580485828477525,m_first,Speed_MPH_z,87,Under-performer
Roberto Bautista Agut,-0.00879334756346506,m_first,Speed_MPH_z,54,Average
Roberto Carballes Baena,-0.0419354575395356,m_first,Speed_MPH_z,78,Average
Roman Safiullin,0.0275687722814324,m_first,Speed_MPH_z,24,Average
Sebastian Baez,-0.0244224017800368,m_first,Speed_MPH_z,67,Average
Sebastian Korda,-0.0297405090677962,m_first,Speed_MPH_z,73,Average
Sebastian Ofner,-0.0194093839401084,m_first,Speed_MPH_z,61,Average
Stan Wawrinka,0.00136419146897334,m_first,Speed_MPH_z,45,Average
