"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_glm","overperf_rf","overperf_xgb","pred_lm","pred_glm","pred_rf","pred_xgb","rf_weighted_baseline"
"adrian mannarino",109.119047619048,11.8402492153238,2.62300483035327,0.495238095238095,0.3,210,-0.126079555661796,-0.3488544146472,-0.0687101053345582,-0.0012567162513733,0.426079555661796,0.3488544146472,0.368710105334558,0.301256716251373,-1.28450670813778
"alejandro davidovich fokina",113.362694300518,7.94073470800631,2.96248239799051,0.595854922279793,0.357512953367876,193,-0.0355580936054562,-0.201800755937151,-0.0152756495204614,-0.000261900338484222,0.393071046973332,0.201800755937151,0.372788602888337,0.35777485370636,-0.0126437411590875
"alejandro tabilo",115.192592592593,7.76857071728751,2.78844515074464,0.614814814814815,0.488888888888889,135,0.0664344940100953,0.627811639246322,0.0533475286686727,0.00316327744060091,0.422454394878794,0.372188360753678,0.435541360220216,0.485725611448288,0.0161499933531871
"aleksandar kovacevic",118.150943396226,6.22153897117195,2.57283968194294,0.566037735849057,0.433962264150943,53,-0.0140246404510212,-0.55684401481108,-0.00211009654007932,-3.56784406696509e-06,0.447986904601965,0.55684401481108,0.436072360691023,0.43396583199501,0.174313456987381
"aleksandar vukic",115.482142857143,5.25353931408868,2.65854185601814,0.464285714285714,0.321428571428571,56,-0.0792856490264297,-0.230518806369524,-0.0479758776395007,-0.00187551549502779,0.400714220455001,0.230518806369524,0.369404449068072,0.323304086923599,-0.129900480727575
"alex de minaur",118.572314049587,7.71335173891134,2.96924277353976,0.621900826446281,0.456611570247934,484,0.0125656396817044,0.434443608903081,0.0203985067313978,0.000446018108651636,0.444045930566229,0.565556391096919,0.436213063516536,0.456165552139282,0.870195726897987
"alex molcan",112.593220338983,7.94836492417497,2.55993703238019,0.542372881355932,0.389830508474576,59,-0.0243379531620813,-0.286266953758733,-0.0211417673579206,-0.00144239401413221,0.414168461636658,0.286266953758733,0.410972275832497,0.391272902488708,-0.784304172948987
"alexander bublik",124.703703703704,7.39134342808922,2.76140417129456,0.643874643874644,0.561253561253561,351,0.0423783985058471,0.072132830976597,0.0327841677986527,0.000109745736135758,0.518875162747714,0.927867169023403,0.528469393454909,0.561143815517426,1.56483034180757
"alexander zverev",125.012389380531,6.96099992744993,2.69458886239094,0.684955752212389,0.56283185840708,565,0.0417453388057064,0.0689114842838392,0.0319828729686937,0.0003798401461238,0.521086519601373,0.931088515716161,0.530848985438386,0.562452018260956,1.51193822745416
"alexandre muller",110.793103448276,9.34457640730767,2.69624265695115,0.528735632183908,0.413793103448276,174,0.00935405198394468,-0.232001862391347,-0.0127812123163206,0.000100420466784767,0.404439051464331,0.232001862391347,0.426574315764596,0.413692682981491,-0.874737186493398
"alexei popyrin",117.294736842105,5.94276546451073,2.57557906921085,0.6,0.463157894736842,95,0.0281189828273066,0.543596050539029,0.017121351385644,0.000336768752650207,0.435038911909535,0.456403949460971,0.446036543351198,0.462821125984192,0.0370078854247924
"aljaz bedene",116.072727272727,8.02739417488996,2.60535918177432,0.545454545454545,0.436363636363636,55,-0.0120337321584552,-0.550083366825678,0.00207004542575234,-0.000348092209209117,0.448397368522091,0.550083366825678,0.434293590937884,0.436711728572845,-0.13051162817106
"andrey rublev",118.821256038647,7.90601643301968,2.7501233924157,0.642512077294686,0.510466988727858,621,0.0453850889563629,0.307038356366885,0.0235850207630676,0.00220709626417426,0.465081899771495,0.692961643633115,0.486881967964791,0.508259892463684,0.560807661935188
"andy murray",115.70479704797,9.06445719889006,2.54713541398655,0.590405904059041,0.44280442804428,271,-0.0200226022627705,-0.645222763841416,-0.0165075368565256,-0.000192193087616532,0.462827030307051,0.645222763841416,0.459311964900806,0.442996621131897,-0.290396718174788
"arthur fils",120.871428571429,6.44468420105638,2.53339771187311,0.485714285714286,0.385714285714286,70,-0.0966349786894672,-0.785483759730306,-0.0474661305374451,-0.000262088435036778,0.482349264403753,0.785483759730306,0.433180416251731,0.385976374149323,0.564922466258992
"arthur rinderknech",121.3125,8.05708797684788,2.51579879802886,0.6875,0.578125,64,0.067995347872174,0.106742869732953,0.0400074536298131,0.001514732837677,0.510129652127826,0.893257130267047,0.538117546370187,0.576610267162323,0.602180305833049
"aslan karatsev",119.311688311688,5.93442175664846,2.60410638670119,0.558441558441558,0.493506493506494,77,0.0395201126869447,0.390407419601603,0.018035502878157,-0.000961808028159206,0.453986380819549,0.609592580398397,0.475470990628336,0.494468301534653,0.419780320139482
"ben shelton",116.865079365079,10.6414608039256,2.8306007106283,0.619047619047619,0.5,252,0.0240696229021438,0.246823627914717,0.0176933181882731,0.000127494335174561,0.475930377097856,0.753176372085283,0.482306681811727,0.499872505664825,0.348165860806802
"benoit paire",113.86,9.03284257019678,2.81218331284872,0.52,0.44,50,0.0160471326116882,-0.37688280130095,-0.000449679410544079,-0.0018874979019165,0.423952867388312,0.37688280130095,0.440449679410544,0.441887497901917,-0.175251304242101
"borna coric",118.509090909091,5.40532223068231,2.51942428064329,0.436363636363636,0.4,55,-0.0445100717551784,-0.528772046507285,-0.0202784609560661,0.000184500217437766,0.444510071755178,0.528772046507285,0.420278460956066,0.399815499782562,0.153094750029783
"botic van de zandschulp",120.071428571429,7.84343921741011,2.74636630451993,0.616071428571429,0.495535714285714,224,0.0179417232090478,0.229060657636125,0.00549902689974119,-0.00111781273569378,0.477593991076667,0.770939342363875,0.490036687385973,0.496653527021408,0.764114994293814
"brandon nakashima",115.502164502165,7.01171346600409,2.50838401338407,0.640692640692641,0.528138528138528,231,0.092507047080349,0.556111298254804,0.0347430213253635,0.00107384708536651,0.435631481058179,0.443888701745196,0.493395506813165,0.527064681053162,-0.375521664504823
"cameron norrie",112.302709069494,7.53773555352862,2.85894764852908,0.599528857479388,0.408716136631331,849,0.0247438640695086,-0.153506729098507,0.00420696550151145,0.000966692385038881,0.383972272561822,0.153506729098507,0.40450917112982,0.407749444246292,-0.353122970387912
"carlos alcaraz",118.899253731343,8.12743503139389,2.97226127308306,0.620335820895522,0.470149253731343,1072,0.0172757048720806,0.369570745272455,0.00957877361597959,-0.000561321849253615,0.452873548859263,0.630429254727545,0.460570480115364,0.470710575580597,0.927522251512133
"casper ruud",114.101960784314,6.96316207347267,2.82236234615903,0.588235294117647,0.486274509803922,255,0.0886230263711842,0.780986821274658,0.0415453322466551,-0.000187487228243965,0.397651483432737,0.219013178725342,0.444729177557266,0.486461997032166,-0.107810945472148
"christopher eubanks",119.645390070922,5.48908298841518,2.53129107092657,0.588652482269504,0.485815602836879,282,0.0291265045688027,0.375718206962038,0.0123704487957358,0.000351298151286761,0.456689098268077,0.624281793037962,0.473445154041144,0.485464304685593,0.361563858204693
"cristian garin",114.609042553191,7.86308323841128,2.95153156819423,0.571808510638298,0.36436170212766,376,-0.0414958863627158,-0.27488047024912,-0.0131059437345581,-0.000201107339656115,0.405857588490375,0.27488047024912,0.377467645862218,0.364562809467316,0.178611805448861
"daniel evans",114.25,7.21285271578966,2.7102505991754,0.613636363636364,0.461038961038961,308,0.0503563645169828,0.715504421026088,0.0273525384769149,0.000112726316823575,0.410682596521978,0.284495578973912,0.433686422562046,0.460926234722137,-0.263437024913995
"daniil medvedev",118.143859649123,6.74088032242542,2.45688481820471,0.639766081871345,0.459649122807018,855,-0.0036830388758875,0.345065120713817,-0.0010951076590231,-9.40193209731932e-05,0.463332161682905,0.654934879286183,0.460744230466041,0.459743142127991,-0.0147807946374359
"david goffin",110.954436450839,8.27881539576344,2.72689956425741,0.618705035971223,0.45083932853717,417,0.0613934055873971,0.835585573668335,0.0356869575912237,0.00267865038890058,0.389445922949773,0.164414426331665,0.415152370945947,0.44816067814827,-0.793271914360472
"denis kudla",118.558139534884,7.9081101396014,2.28149424738587,0.511627906976744,0.418604651162791,43,-0.0775707167653842,-0.826368734004915,-0.0171770777184246,-0.00120024972183758,0.496175367928175,0.826368734004915,0.435781728881215,0.419804900884628,-0.231735951884567
"denis shapovalov",117.50998185118,8.9458670091347,2.81209118901206,0.631578947368421,0.491833030852995,551,0.0308353989977235,0.335583063026614,0.0138559759640069,0.000264554891309388,0.460997631855271,0.664416936973386,0.477977054888988,0.491568475961685,0.435198789878841
"diego schwartzman",103.86858974359,7.87882754010463,3.01636590348615,0.557692307692308,0.294871794871795,312,0.00594281039564337,-0.00927836039246163,-0.0320478310836589,-0.000359070606720746,0.288928984476152,0.00927836039246163,0.326919625955454,0.295230865478516,-1.51332769457425
"dominic stricker",115.4375,6.82581535929217,2.78259025975059,0.645833333333333,0.583333333333333,48,0.170691900849826,0.691951162522561,0.0923712741091218,0.00320192178090417,0.412641432483507,0.308048837477439,0.490962059224212,0.580131411552429,0.0526270619534225
"dominic thiem",119.404255319149,6.51436650372574,2.49246039992429,0.595744680851064,0.553191489361702,94,0.0823045502909972,0.287399306627741,0.0287378978675574,0.000259048127113526,0.470886939070705,0.712600693372259,0.524453591494145,0.552932441234589,0.253912434849825
"dominik koepfer",110.770491803279,6.29654255027564,2.99794969325756,0.524590163934426,0.311475409836066,61,-0.0295696097565833,-0.0490075572862375,-0.0274550064738434,-0.000734762578714077,0.341045019592649,0.0490075572862375,0.338930416309909,0.31221017241478,-0.380787278220913
"dusan lajovic",111.651376146789,7.17296383134071,2.78161497950557,0.532110091743119,0.311926605504587,109,-0.0658539566041714,-0.126285321166613,-0.0484753710056101,-0.00140499849931908,0.377780562108759,0.126285321166613,0.360401976510197,0.313331604003906,-0.583635421051281
"elias ymer",116.734693877551,5.54066598811341,2.76127379926076,0.489795918367347,0.387755102040816,49,-0.022558970593942,-0.29863052184636,0.00160248730335039,0.000680422904540068,0.410314072634758,0.29863052184636,0.386152614737466,0.387074679136276,0.242087464847984
"emil ruusuvuori",120.75,5.8102718748144,3.01706257714591,0.610294117647059,0.448529411764706,136,0.0109703745471785,0.46444568718793,0.0149013206912128,0.000540722818935635,0.437559037217527,0.53555431281207,0.433628091073493,0.44798868894577,1.32048014339992
"fabian marozsan",114.237288135593,7.16634611618262,2.89348102013531,0.559322033898305,0.406779661016949,59,0.0100850130826947,-0.219086066061072,0.00329923134136711,0.000167682009228232,0.396694647934254,0.219086066061072,0.403480429675582,0.406611979007721,0.0273561956029011
"fabio fognini",112.191616766467,5.71400112146495,2.87675837038011,0.568862275449102,0.383233532934132,167,0.026470986462465,-0.0752423222782551,0.00926662317904636,-0.000551714868602615,0.356762546471667,0.0752423222782551,0.373966909755085,0.383785247802734,-0.333785770471841
"facundo diaz acosta",111.214285714286,6.28984195359806,2.98827823510651,0.5,0.371428571428571,70,0.0251295843567079,-0.0571830564052835,0.0136161320125261,0.000482432331357696,0.346298987071864,0.0571830564052835,0.357812439416045,0.370946139097214,-0.322014469539384
"federico delbonis",114.333333333333,6.55251736899398,2.78627767472391,0.571428571428571,0.380952380952381,63,-0.0161505904570469,-0.215031899873075,-0.0112273965729415,-0.000369764509655202,0.397102971409428,0.215031899873075,0.392179777525322,0.381322145462036,-0.124642651736952
"feliciano lopez",119.843137254902,7.60098032893023,2.78942890124603,0.568627450980392,0.490196078431373,51,0.0213921792728684,0.276216334642125,0.00425174380335258,0.000438480984930878,0.468803899158504,0.723783665357875,0.48594433462802,0.489757597446442,0.795994939393461
"frances tiafoe",120.067911714771,7.20252265087796,2.85077797862674,0.604414261460102,0.492359932088285,589,0.0310397900085697,0.316625517550403,0.0102063393674961,0.00172966303768707,0.461320142079716,0.683374482449597,0.482153592720789,0.490630269050598,0.93362960593978
"francisco cerundolo",112.654761904762,4.93449634304203,2.94784889050233,0.55952380952381,0.357142857142857,84,0.0112446409537386,-0.0576772689861913,0.00238231640820774,6.25167574201391e-05,0.345898216189119,0.0576772689861913,0.354760540734649,0.357080340385437,-0.138767664567322
