"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adrian mannarino",0.506134969325153,-1.9694509032147,2.03551514365857,0.321892963464853,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.111637539407959,-0.108776153238816,0.0186431150789819,0.523217594982408,0.519460586176673,0.503952145576477,0.143774641767072
"alejandro davidovich fokina",0.567114093959732,-0.38423378248198,-0.573119562964204,1.40995758440573,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,0.2781343377397,0.318168802284437,0.430979857671018,0.524554352861596,0.52813684180373,0.516652941703796,-0.0899519908893144
"alejandro tabilo",0.57,-0.264244161329328,0.468154845528301,0.821009797356239,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.178807058927273,0.173539293243785,0.0758208585423272,0.542639185091969,0.548740578135972,0.561122536659241,0.138375567526645
"aleksandar kovacevic",0.493827160493827,0.368853587172067,0.106065294152465,-1.05163413325931,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.267999960566391,-0.487332724426167,-0.381353611505004,0.534836152870348,0.553527829910336,0.538477838039398,0.0432863542438921
"aleksandar vukic",0.461538461538462,0.273076352198721,-1.60520312191555,0.177517601906692,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.464337155004889,-0.639218775085558,-0.512301129702933,0.532590706507034,0.539845923490959,0.521521091461182,-0.329969044466267
"alex de minaur",0.578125,-0.00597922821350015,0.725142416072704,1.18057470127269,-0.181089448698018,4.43561344874265,-0.353718980430959,-1.56602823871233,-0.32456914940173,0.216615677439631,0.336475298869461,0.42755804780568,0.544978761299132,0.536905111456131,0.528064489364624,0.0641497155103205
"alex molcan",0.505882352941176,-0.652147376380098,-0.0891532082903905,-0.0127192661081104,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.158363447009556,-0.248559574178341,0.076583391539692,0.53011491393637,0.536332130320281,0.496915608644485,-0.149099930617335
"alexander bublik",0.579964850615114,1.7940390186799,1.37879999276634,0.314303787081561,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0392423855514954,0.263789102607054,0.445927213314055,0.573960033724408,0.547649380668036,0.527753591537476,0.77554705618431
"alexander zverev",0.643500643500644,2.40792340217422,-0.028756170691084,-0.102815049015333,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.502293537630322,0.66868577265063,0.597527431276742,0.566640364074017,0.561583328582904,0.573539316654205,0.512127354860029
"alexandre muller",0.505703422053232,-1.35656481864602,1.07606025021127,0.721634162151213,-0.181089448698018,-0.223644375566856,-0.353718980430959,-1.56602823871233,3.05635949019963,-0.262599792388049,-0.268958576954237,-0.443106891370265,0.545886087981087,0.538652178179525,0.557584464550018,0.0299968755321249
"alexei popyrin",0.53968253968254,1.10629447363436,-2.1045797900153,-0.46026589764736,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0150527807444661,0.115972565765761,-0.0597821833704016,0.537379183482447,0.52547532669819,0.546682119369507,-0.327943580347516
"aljaz bedene",0.535714285714286,-0.242937500180555,1.04717755128312,-0.391059875991705,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.0136990110096891,-0.0595884705607977,0.0198326045581203,0.537810489896088,0.5430141681225,0.533392190933228,0.204306099473195
"andrey rublev",0.583418628454452,0.0297501870240273,1.70770321050626,0.619126583786266,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.226495156015423,0.416772874754625,0.708549624854088,0.548760645271449,0.532361889659018,0.500458300113678,0.506763327361815
"andy murray",0.561247216035635,-0.627000706380185,1.57684953187379,-0.0831155104765577,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.156167560570161,0.372079919536909,0.963413587349358,0.537350666620676,0.515665585335684,0.448446214199066,0.281811011274618
"arthur fils",0.487179487179487,0.499056091655406,0.909392575884894,-1.54359989317079,-0.181089448698018,-0.223644375566856,-0.353718980430959,-1.56602823871233,3.05635949019963,-0.357492912484718,-0.506475982357217,-0.45594013699718,0.541882570313391,0.549225300387935,0.540563106536865,0.21737787477892
"arthur rinderknech",0.559633027522936,0.915611546461943,0.377253374755579,-0.285922289207756,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.061018955726237,-0.0106180206878871,0.00810351463309892,0.550295989245348,0.560933787581049,0.558684229850769,0.285697893324391
"aslan karatsev",0.528,0.748357758250228,-0.908446362918024,-0.718107416699901,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.0726877470562376,0.0749229392552683,0.414577733354306,0.539122580983206,0.518821569322153,0.479459285736084,-0.113798072500776
"ben shelton",0.578347578347578,0.909432571754728,-0.0129979025602859,-0.271074125408226,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,0.239410440558899,0.39943106654652,0.263055361782731,0.541713315749218,0.529415296841844,0.547547817230225,0.208102011957942
