server_name,random_intercept,group,model,label
Roberto Bautista Agut,-0.00879334756346506,m_first,Speed_MPH_z,Average
Roberto Carballes Baena,-0.0419354575395356,m_first,Speed_MPH_z,Average
Roman Safiullin,0.0275687722814324,m_first,Speed_MPH_z,Average
Sebastian Baez,-0.0244224017800368,m_first,Speed_MPH_z,Average
Sebastian Korda,-0.0297405090677962,m_first,Speed_MPH_z,Average
Sebastian Ofner,-0.0194093839401084,m_first,Speed_MPH_z,Average
Stan Wawrinka,0.00136419146897334,m_first,Speed_MPH_z,Average
Stefanos Tsitsipas,0.0363384778663657,m_first,Speed_MPH_z,Average
Sumit Nagal,-0.00360483361361473,m_first,Speed_MPH_z,Average
Tallon Griekspoor,-0.000676857058380319,m_first,Speed_MPH_z,Average
Taylor Fritz,-0.0138062425980459,m_first,Speed_MPH_z,Average
Thanasi Kokkinakis,0.0314233452185019,m_first,Speed_MPH_z,Average
Thiago Monteiro,-0.0348707146203094,m_first,Speed_MPH_z,Average
Thiago Seyboth Wild,0.00647993881301656,m_first,Speed_MPH_z,Average
Tomas Machac,-0.020902958020845,m_first,Speed_MPH_z,Average
Tommy Paul,0.0356927275355157,m_first,Speed_MPH_z,Average
Ugo Humbert,0.000460147913082444,m_first,Speed_MPH_z,Average
Yunchaokete Bu,-0.0188186170212649,m_first,Speed_MPH_z,Average
Zizou Bergs,0.0330413374040979,m_first,Speed_MPH_z,Average
Adam Walton,0.0381145361793566,m_first,speed_ratio_z,Average
Adrian Mannarino,-0.11598569926717,m_first,speed_ratio_z,Average
Alejandro Davidovich Fokina,0.00170440698256036,m_first,speed_ratio_z,Average
Alejandro Tabilo,0.00354892798517781,m_first,speed_ratio_z,Average
Aleksandar Kovacevic,0.0344265055919118,m_first,speed_ratio_z,Average
Aleksandar Vukic,-0.0620870820390786,m_first,speed_ratio_z,Average
Alex de Minaur,0.0607357101699114,m_first,speed_ratio_z,Average
Alex Michelsen,-0.0804501708860843,m_first,speed_ratio_z,Average
Alexander Bublik,0.061486799190669,m_first,speed_ratio_z,Average
Alexander Shevchenko,-0.126573200193829,m_first,speed_ratio_z,Average
Alexander Zverev,0.0710555558675897,m_first,speed_ratio_z,Average
