"importance","avg_speed","sd_speed","ace_pct","location_entropy","modal_location","n","states"
76.33,108.685728493287,12.384056923097,0.0258577821979115,2.95737335551251,"WC_DNCTL",2011,"30-40, 40-AD"
48.5,107.216954022989,13.9578110434961,0.0330459770114943,2.86733798187635,"WBW_DNCTL",696,"15-40"
46.55,108.58553076403,12.268614322766,0.0473292765382015,2.89995663102005,"WC_DNCTL",1479,"15-30"
43.65,108.963021243116,14.1217303473577,0.0476003147128245,2.92850824019565,"WC_DNCTL",2542,"40-40"
43.39,108.84282115869,13.588437925783,0.0574307304785894,2.92925627656132,"WBW_DNCTL",1985,"30-30"
41.98,106.663291139241,13.1025222972084,0,2.87116707170306,"WBW_DNCTL",790,"0-30"
34.74,107.079590929302,12.0479608222693,0,2.87805365622077,"WBC_DNCTL",2249,"0-15"
30.75,107.170967741935,12.2172802853897,0,2.90051073468617,"WBC_DNCTL",310,"0-40"
30.02,108.594712182062,13.3998560477315,0.0575635876840696,2.92167844610246,"WC_DNCTL",2988,"15-15"
23.67,111.162296801259,12.4917023419949,0.100419507079182,2.89447445987818,"WC_DNCTL",3814,"40-30, AD-40"
23.09,110.7135423991,13.0791245931039,0,2.90894646384134,"WC_DNCTL",7111,"0-0"
20.17,110.483293958826,12.1034802704,0.0931488356395545,2.88704194794004,"WC_DNCTL",2963,"30-15"
15.93,111.44828340258,11.9186420643492,0.127487426197245,2.89276595348765,"WC_DNCTL",4573,"15-0"
8.6,110.765887388871,12.9642071606219,0.119196575567995,2.87503918711998,"WC_DNCTL",3037,"30-0"
8.11,110.397975077882,13.1628686098097,0.0930685358255452,2.92259935169696,"WC_DNCTL",2568,"40-15"
2.53,112.848759541985,11.5433200217275,0.177003816793893,2.80356208360327,"WC_DNCTL",2096,"40-0"
