"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"alexander bublik",0.561253561253561,2.02801611004934,-0.230889850940066,0.396176869778309,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.199952221879133,0.338937627968357,0.3266536678322,0.52336819747327,0.498115075844643,0.491296678781509,0.700281427447382
"alexander zverev",0.56283185840708,2.1003443533399,-0.545438033024662,0.0327518453437326,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.233172494873451,0.252270490872953,0.28450974362907,0.518652180337892,0.515838030065985,0.501900613307953,0.683508302065334
"alexandre muller",0.413793103448276,-1.23138124823953,1.19677405449398,0.0417472438282462,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.0863012909044509,-0.0203546985605101,0.0843482819108746,0.397441418181181,0.417584847804809,0.395728886127472,-0.359132841928803
"alexei popyrin",0.463157894736842,0.292018628062824,-1.28968954089598,-0.614571914796521,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.126051101730885,0.199867707809884,0.188272986162687,0.439274730053292,0.425925839892679,0.422836929559708,0.0357350030118213
"aljaz bedene",0.436363636363636,0.00568916067120816,0.234014593585099,-0.452590501949132,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.0532809860399898,0.0164620751311715,0.0397311843207507,0.446458895719733,0.433297023498313,0.427854716777802,-0.0247276816286319
"andrey rublev",0.510466988727858,0.649697847163744,0.145296748435553,0.33481791766144,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.231297114485828,0.234005722592883,0.377070971567928,0.466642642885259,0.466875585229532,0.429712623357773,0.259138086320326
"andy murray",0.44280442804428,-0.0805206922888769,0.992028339399307,-0.769284004952493,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,-1.8975227515349,2.21647510808534,-0.114389933282858,-0.0531225932466772,-0.163925796704239,0.464478126863411,0.452700290296855,0.47791114449501,-0.167033199917299
"arthur fils",0.385714285714286,1.13007445311043,-0.922825336138382,-0.844006771458799,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,-1.8975227515349,2.21647510808534,-0.600461361808352,-0.509192211519418,-0.390804633882801,0.499484950097649,0.480568389727651,0.469409883022308,0.192631388630392
"arthur rinderknech",0.578125,1.23342204578828,0.255718491543751,-0.93973162552025,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.324255840106902,0.413927429896071,0.162604086754537,0.516687570873757,0.501017152312802,0.543301343917847,0.316605524672506
"aslan karatsev",0.493506493506494,0.764611195676192,-1.29578815313486,-0.459404764840916,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,-1.8975227515349,2.21647510808534,0.154215541587894,0.0875080309980422,0.178446643572498,0.464286953764826,0.477205191784842,0.455289959907532,0.111906448405724
"ben shelton",0.5,0.19134544215621,2.14469735001036,0.772553996679346,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.175632410429744,0.234154550282817,0.111149975549426,0.466722561528911,0.456380872359667,0.476195871829987,0.176348187981586
"benoit paire",0.44,-0.512775700291701,0.968920464020739,0.672377205642996,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,-1.8975227515349,2.21647510808534,0.0692007825335192,0.052424416379099,-0.138013520844813,0.426888383657232,0.430234196573383,0.469557285308838,-0.158562388227963
"borna coric",0.4,0.576554332150499,-1.68251943590604,-0.920011727051502,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.272325093768205,-0.0839594038414681,-0.173959103487113,0.451598002497551,0.415640251057876,0.437255471944809,0.0916128234839967
"botic van de zandschulp",0.495535714285714,0.942626187848571,0.0995575903428542,0.314382185450827,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.114414573733694,0.0395058840561981,0.0351301392744086,0.473857346789062,0.488176420190809,0.488012164831161,0.349816690895251
"brandon nakashima",0.528138528138528,-0.12799959128503,-0.508370315409334,-0.980062476861444,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.495275857169801,0.337754083034709,0.380647806638327,0.434297580315423,0.465220517614537,0.446618139743805,-0.127650599400827
"cameron norrie",0.408716136631331,-0.87766505458103,-0.123888404746362,0.92674001734257,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.163861829036567,0.0387771341740753,0.164183918071669,0.377668894723177,0.401492596610339,0.373554140329361,-0.169183860947987
"carlos alcaraz",0.470149253731343,0.667973512401594,0.30713680758566,1.5430809046039,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.139648413888069,-0.0514077794315364,-0.0746955093650534,0.443689778003745,0.47972567447577,0.486146211624146,0.388973342201222
"casper ruud",0.486274509803922,-0.456081788690442,-0.543857669664129,0.727743490559202,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.471888657982537,0.443672085587119,0.37552550175335,0.396864783303014,0.40362572374231,0.405851125717163,-0.0591726639224408
"christopher eubanks",0.485815602836879,0.84280096553017,-1.62129672884584,-0.855465313670665,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.0960250339228827,0.0285122630086432,0.00224859477439256,0.467621539735234,0.48050423887668,0.485334038734436,0.183417447320366
"cristian garin",0.36436170212766,-0.337267291287881,0.113915867127726,1.43032690212503,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.173168699067432,-0.0556554529711146,-0.109884063997161,0.39717233607748,0.374729394338191,0.387894719839096,0.0559867955720887
