"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.495726495726496,0.572156258161617,1.19214148419851,-0.710322306174572,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,0.137503390911253,0.0977325918265142,-0.0841512617918098,0.478310319040245,0.489157198552065,0.497441828250885,-0.252078964504029
"aleksandra krunic",0.469387755102041,-0.728509594097529,-0.708008090429986,-2.04098470250411,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.195346362371686,0.293391686743032,0.090436367926809,0.439649306141585,0.420371997730353,0.437953233718872,-0.62516472939351
"aliaksandra sasnovich",0.5,-0.0464020126265626,-0.701669910006142,0.746553407726132,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,0.0885572998407442,0.240571195470304,0.29690283775101,0.493010795609621,0.462443167557736,0.429362624883652,-0.454838761474905
"alison van uytvanck",0.475409836065574,-0.492234540868702,-0.586755862412351,0.584335201712872,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.110603668762961,0.100179134666453,-0.0409728888172637,0.463724099777573,0.468309783684897,0.468926668167114,-0.214206557475532
"alizé cornet",0.462809917355372,-0.55586362027735,0.32462359249993,-0.336714273831108,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,0.0801228938828749,0.012454253712231,-0.0796798719327292,0.457617492142479,0.474740979625007,0.463676244020462,-0.564368849093187
"amanda anisimova",0.452830188679245,1.16974336116069,1.21663532575549,0.436762717922902,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,-0.113560985387797,-0.0323914044413877,-0.402489745456852,0.488898186906561,0.47449010840194,0.514990091323853,0.371010299025282
"ana bogdan",0.446153846153846,-0.973410992553309,0.0190603294930283,-0.530839306320774,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,-0.0781659365022499,-0.083430452928157,-0.257851074263733,0.474681646868577,0.478886223004199,0.480850458145142,-0.511281039512687
"anastasia pavlyuchenkova",0.472,0.646359502436875,-0.741499033594519,1.12605503326387,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,-0.0656725506210465,-0.0491523860842906,-0.151499994516551,0.497866338162444,0.497296062169719,0.486503183841705,-0.0521857786301066
"anastasia potapova",0.490909090909091,0.494914296173462,-0.989805730187504,1.53224641151568,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.0628879399861439,0.114035321267289,-0.0431056749995741,0.489388223176507,0.480803064932916,0.484830886125565,0.0658168826448406
"andrea petkovic",0.518518518518518,1.42034968461182,-2.45421373970631,0.367348088757317,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,0.0766354512016147,0.0681852927932893,0.0996012489501181,0.514069022259207,0.518359238996911,0.485343813896179,-0.431713284822964
"anett kontaveit",0.39622641509434,-0.103094503735441,-1.8230776079248,0.0795120507536693,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,-0.366748786149466,-0.342757263301097,-0.541129871895287,0.48623094076348,0.485217383651218,0.48471063375473,-0.367260212703317
"angelique kerber",0.5,-1.02656489217311,-1.07887887864614,0.537951956578156,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.266454929295641,0.202295706398633,0.0827455293273782,0.45511331261848,0.47074668661523,0.470025777816772,-0.402556953614161
"anhelina kalinina",0.423728813559322,-0.697639827045268,1.63748086741864,-0.504032937181672,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,-0.122214877951429,-0.140377694856551,-0.36498273792067,0.46164034813528,0.46881537634153,0.478767067193985,-0.435753466428591
"anna blinkova",0.457142857142857,-0.556416719506979,1.22188766439665,-1.5977112638012,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,0.114147057730461,0.0373562230469779,0.0653747200040635,0.44470227367933,0.463671663766509,0.430466920137405,-0.395861222335551
"anna bondar",0.518518518518518,1.14273484165094,-0.874637428440729,0.308862450367099,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,0.118647506788489,0.140052716040462,-0.0719281402212363,0.505119205632055,0.502768255497564,0.517912983894348,-0.0711522565209048
"anna kalinskaya",0.5,0.843431339083732,-0.609320477734326,0.981211905959473,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,0.124477901776968,0.176123172407293,0.0367761427367264,0.485358639675442,0.476424579701665,0.478754222393036,0.12078041201966
"arantxa rus",0.430555555555556,0.0398665006696069,1.03097742116373,1.78640228986201,-0.587072913072267,1.18492148056078,-0.635151080928306,-0.200830339349542,-0.139722594995574,-0.19352254203154,-0.303506511594146,0.472196754269969,0.487171409328632,0.473921000957489,0.280025982522109
"aryna sabalenka",0.545054945054945,1.75507005330539,1.27323414863416,0.838088250200588,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,0.281573914711368,0.24322954877507,-0.0548849585567086,0.496947464375665,0.506921407053509,0.54121333360672,0.425244047889132
"ashleigh barty",0.545454545454545,0.697920150088611,-0.84221193995302,-0.664465912925311,-0.587072913072267,-0.837344512929615,1.56212833417502,-0.200830339349542,0.270635288867767,0.312881581012684,-0.00661546016531123,0.499677317225084,0.492210632873827,0.532447755336761,-0.289380754970221
"ashlyn krueger",0.538461538461538,2.77438938741864,1.59547464347278,-1.41067813386902,1.69005838611713,-0.837344512929615,-0.635151080928306,-0.200830339349542,0.359575129158669,0.324473804380762,-0.187876584961952,0.473737480558252,0.482702798507215,0.559871733188629,0.183620888305345
