"Variable","Overall"
"modal_locationWB_DNCTL",100
"cluster2.modal_locationWB_DNCTL",89.8917886702629
"cluster3.avg_speed",88.6297735820806
"cluster3.modal_locationWW_DCTL",84.6430733468659
"avg_speed",80.3590184600941
"cluster3",80.0898540016504
"cluster3.modal_locationWBC_DNCTL",77.6216619435544
"cluster3.modal_locationWBW_DNCTL",75.9861076928301
"cluster4.avg_speed",75.468286644666
"cluster1",73.8463114572735
"cluster3.modal_locationWC_DNCTL",72.7940656494465
"modal_locationWC_DNCTL",71.3594107509643
"cluster3.modal_locationWB_DNCTL",68.0744497299827
"modal_locationWBW_DNCTL",64.8996541353265
"cluster4.modal_locationWC_DNCTL",64.7030079467573
"cluster2.modal_locationWC_DNCTL",64.1258644272016
"cluster4.modal_locationWB_DNCTL",56.6844011945137
"modal_locationWW_DCTL",49.3982287498211
"cluster4.modal_locationWBC_DNCTL",49.0224765781655
"cluster4",49.0185599021657
"cluster4.modal_locationWBW_DNCTL",43.2235856179972
"cluster4.sd_speed",42.9462537885655
"cluster2.modal_locationWBW_DNCTL",41.8539078283266
"cluster2.avg_speed",41.6867153965518
"cluster4.modal_locationWW_DCTL",40.4285796322194
"cluster2.modal_locationWBC_DNCTL",36.1682316259904
"cluster3.sd_speed",33.13184772569
"cluster3.location_entropy",29.6370422174939
"cluster2",26.8297801246273
"cluster2.modal_locationWW_DCTL",25.9409961583416
"cluster2.location_entropy",19.512496553518
"sd_speed",18.7658504609599
"modal_locationWBC_DNCTL",12.4010876428135
"cluster4.location_entropy",8.51726421654946
"location_entropy",0.130768920525688
"cluster2.sd_speed",0
