"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"adam walton",0.176470588235294,-1.18221738606167,0.355775095988072,1.70177326038551,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.136463842505509,-0.143892397470017,-0.110388000221813,0.312934430740803,0.320362985705312,0.286858588457108,0.853518551867275
"adrian mannarino",0.293617021276596,-1.22900344185747,-0.264529939439219,0.659482622974342,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.00208239505913649,0.0037006841289674,-0.0401220210055088,0.295699416335732,0.289916337147628,0.333739042282104,0.0259435250749546
"alejandro davidovich fokina",0.344036697247706,0.385832442286205,-0.197391675233521,0.484556123394205,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,0.0183588499179951,0.0402606029792237,0.053306459286891,0.325677847329711,0.303776094268483,0.290730237960815,-0.0506233813369857
"alejandro tabilo",0.314285714285714,-1.41516001129508,0.395324927979139,0.43579120708509,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.0219049964271117,-0.0104235167567935,0.0384836980274745,0.292380717858603,0.324709231042508,0.27580201625824,0.149899129322683
"aleksandar kovacevic",0.169811320754717,-0.085676763218682,-0.200061397134106,-0.34145857697691,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.144227960481114,-0.135953680246159,-0.119716512707045,0.314039281235831,0.305765001000876,0.289527833461761,-0.256570937562977
"aleksandar vukic",0.195121951219512,-0.0388099878123208,-0.621840558314751,-2.83346627131885,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.119789347420645,-0.114454246744134,-0.125189416292237,0.314911298640157,0.309576197963647,0.320311367511749,-0.849305679000712
"alex de minaur",0.261904761904762,-0.3690665487021,-0.87785435440885,-0.00774498243310694,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.0360182631939343,-0.0735590665399691,-0.126243724709465,0.297923025098696,0.335463828444731,0.388148486614227,-0.356536257810883
"alex michelsen",0.160714285714286,0.127240885857289,-0.691954488157474,0.30841317401307,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.187805663841669,-0.153297493876091,-0.123850298779351,0.348519949555954,0.314011779590376,0.284564584493637,-0.25597269121217
"alex molcan",0.292682926829268,-0.278875107595992,-1.86111889134888,0.921033914159827,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.0183140287834795,-0.0221961712909175,-0.113144565646241,0.274368898045789,0.314879098120186,0.40582749247551,-0.0411918927470584
"alexander bublik",0.391812865497076,0.362387275862428,4.85594849329661,0.402619876429823,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.00360015394229479,0.101260111643536,0.0869264647974605,0.388212711554781,0.29055275385354,0.304886400699615,1.48631883043072
