"event","accuracy","log_loss"
"WIM men 1st",0.648850682115492,1.41217010144746
"WIM men 2nd",0.626181004475385,1.16274365626639
"WIM women 1st",0.777777777777778,0.410353729369887
"WIM women 2nd",0.734312416555407,0.460944145978518
"USO men 1st",0.725773053561568,0.897069387088512
"USO men 2nd",0.657001414427157,0.905198614839689
"USO women 1st",0.778739922364885,0.409063187020699
"USO women 2nd",0.727607136288394,0.467530608216435
