"gender","serve_number","speed_variable","hidden_size","weight_decay","test_accuracy","log_loss"
"F",1,"Speed_MPH_z",3,0,0.655565379703311,0.622138850501648
"F",1,"speed_ratio_z",3,1e-04,0.679438058748404,0.592918448864301
"F",2,"Speed_MPH_z",5,0.001,0.618539004386801,0.598563481560897
"F",2,"speed_ratio_z",3,0,0.569521266450505,0.778241067966464
"M",1,"Speed_MPH_z",3,0.001,0.748146763844764,0.518267142261685
"M",1,"speed_ratio_z",7,0.001,0.730455366598144,0.52715142693321
"M",2,"Speed_MPH_z",5,0.001,0.601566384883143,0.62071190985538
"M",2,"speed_ratio_z",7,0.001,0.64395822973645,0.62471320823955
