"gender","serve_number","speed_variable","test_accuracy","log_loss"
"F",1,"Speed_MPH_z",0.654225141833383,0.644214733538253
"F",1,"speed_ratio_z",0.654225141833383,0.646923639647209
"F",2,"Speed_MPH_z",0.541291153209491,0.685130237929521
"F",2,"speed_ratio_z",0.544785727423211,0.685699387492018
"M",1,"Speed_MPH_z",0.721562672556599,0.59084150511144
"M",1,"speed_ratio_z",0.721562672556599,0.587872056876625
"M",2,"Speed_MPH_z",0.571782178217822,0.681592883584204
"M",2,"speed_ratio_z",0.571782178217822,0.680861642965128
