"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.470588235294118,-1.18221738606167,0.355775095988072,1.70177326038551,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.0994562031801924,0.000835839281928163,-0.073082538378864,0.479856513969409,0.475219678233602,0.460580945014954,-0.0603612011104593
"adrian mannarino",0.51063829787234,-1.22900344185747,-0.264529939439219,0.659482622974342,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.156710347528126,0.0281735160463722,0.0537400067002131,0.474923087716705,0.46400212322524,0.455113738775253,-0.126206026784814
"alejandro davidovich fokina",0.463302752293578,0.385832442286205,-0.197391675233521,0.484556123394205,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.271849928984089,-0.0860285331754806,-0.0514035507143883,0.463748581422303,0.470474314913758,0.474318712949753,-0.015281917591733
"alejandro tabilo",0.428571428571429,-1.41516001129508,0.395324927979139,0.43579120708509,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.226189243248976,-0.2542429141788,-0.175803793644427,0.472517956458002,0.468227542401067,0.474953472614288,-0.12147512204631
"aleksandar kovacevic",0.377358490566038,-0.085676763218682,-0.200061397134106,-0.34145857697691,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.469790120387704,-0.259966284480927,-0.259502466071707,0.470797641524531,0.484994163761701,0.50429105758667,-0.00866760781868818
"aleksandar vukic",0.414634146341463,-0.0388099878123208,-0.621840558314751,-2.83346627131885,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.157898231899957,0.106207773374671,0.115339310673282,0.478391518912621,0.502788341527003,0.572332859039307,-0.421412644346534
"alex de minaur",0.551948051948052,-0.3690665487021,-0.87785435440885,-0.00774498243310694,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.17664119320619,0.461915677662579,0.411106044229542,0.467990943033483,0.486037258276908,0.513990521430969,-0.0929804067158833
"alex michelsen",0.375,0.127240885857289,-0.691954488157474,0.30841317401307,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.396612371130518,-0.503957798988856,-0.230476240737005,0.474695208550622,0.465569759880453,0.515005588531494,-0.131489060147014
"alex molcan",0.451219512195122,-0.278875107595992,-1.86111889134888,0.921033914159827,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.270056217604445,-0.0205759853810599,0.0153742244217309,0.466135482255118,0.479965885217444,0.50588059425354,-0.186819316639288
"alexander bublik",0.467836257309941,0.362387275862428,4.85594849329661,0.402619876429823,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.619181760399745,0.321691645657731,0.0569073285609391,0.504870615531682,0.502733897392876,0.500455439090729,0.647636752186614
