"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL"
"1",8,0.380952380952381,0,0,0
"1",4,0,0.19047619047619,0,0
"1",9,0,0,0.428571428571429,0
"2",6,0.24,0,0,0
"2",14,0,0.56,0,0
"2",5,0,0,0.2,0
"3",3,0.3,0,0,0
"3",5,0,0.5,0,0
"3",2,0,0,0.2,0
"4",2,0,0,0,1
