"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"avg_speed",-0.612775672848691,-0.21681450996459,0.28476445151511,-0.67611710536142,0.167416128753524,-0.0976436398192787,0.0413505678397289
"sd_speed",0.45241888610615,-0.55041382480093,-0.421744452243099,-0.417367913688368,-0.217961995012655,-0.27767253254878,0.125251538857293
"ace_pct",0.300724287783971,-0.561922216286377,0.695447374528613,0.252028733063839,0.209576873587955,-0.0178754815305577,-0.048997895559649
"location_entropy",-0.527163113582789,-0.52064670391058,-0.228676636914053,0.414804076182743,-0.413523017233528,0.133948833832703,-0.194234547981424
"modal_location_WBC_DNCTL",0.0624982565338241,0.089294561542755,0.332927780001368,-0.12298244143467,-0.645140883354736,0.363199459313366,0.560387593536829
"modal_location_WBW_DNCTL",-0.109565030012031,-0.213947222714906,-0.293003328966672,0.171496168594321,0.532328277963757,0.315548589957181,0.666345177306127
"modal_location_WC_DNCTL",-0.188617477457743,0.0972604208254679,0.0917001181254103,0.297578836293458,-0.0998023143162383,-0.814626970751775,0.429446363176193
