"cluster","n","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL","WBC_DNCTL"
"1",2,0.0666666666666667,0,0,0.0666666666666667,0
"1",1,0,0.0333333333333333,0,0,0
"1",25,0,0,0.833333333333333,0,0
"2",29,0.878787878787879,0,0,0,0
"2",3,0,0.0909090909090909,0,0,0
"2",1,0,0,0.0303030303030303,0,0
"3",10,0,0,0,0,0.32258064516129
"3",2,0.0645161290322581,0,0,0,0
"3",3,0,0.0967741935483871,0,0,0
"3",16,0,0,0.516129032258065,0,0
"4",4,0.4,0,0,0,0
"4",1,0,0.1,0,0,0
"4",5,0,0,0.5,0,0
