"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","modal_location","n_serves","cluster"
"ajla tomljanovic",101.597014925373,7.10184805086705,0.0373134328358209,2.93353042087278,"WC_DNCTL",268,"1"
"aliaksandra sasnovich",95.6129032258064,5.83194942159609,0.032258064516129,2.94968904187208,"WW_DCTL",62,"2"
"alison van uytvanck",104.904255319149,4.75206610172738,0.0531914893617021,2.71789552209591,"WC_DNCTL",94,"1"
"alize cornet",97.3112582781457,6.05770631010735,0.0132450331125828,2.93798142245431,"WBW_DNCTL",151,"2"
"amanda anisimova",99.9567567567568,5.96896596083427,0.0324324324324324,2.85027738517195,"WC_DNCTL",185,"1"
"anastasia pavlyuchenkova",98.1134020618557,6.10477321558678,0.0309278350515464,2.78923612536984,"WC_DNCTL",97,"1"
"anastasija sevastova",97.8,7.46073052723391,0.0461538461538462,3.02472918172222,"WC_DNCTL",65,"3"
"anett kontaveit",96.804347826087,6.44032476560606,0.0652173913043478,2.87333203223115,"WW_DCTL",92,"2"
"angelique kerber",93.1036585365854,7.14987555969555,0.024390243902439,2.93571314422866,"WBW_DNCTL",328,"2"
"anhelina kalinina",95.4615384615385,5.70382799934867,0,2.99487407076071,"WBW_DNCTL",65,"2"
"anna kalinskaya",98.1147540983606,6.75055148526335,0,2.83577400592527,"WW_DCTL",61,"2"
"aryna sabalenka",108.494680851064,6.10267468392936,0.11436170212766,2.8184419581803,"WW_DCTL",376,"4"
"ashleigh barty",102.446327683616,6.29291634272686,0.135593220338983,2.70975032536869,"WC_DNCTL",177,"4"
"barbora krejcikova",100.181628392484,5.22169563385126,0.0772442588726514,2.86396660072619,"WC_DNCTL",479,"1"
"beatriz haddad maia",100.739361702128,9.74329022472549,0.074468085106383,3.08023311044104,"WBW_DNCTL",188,"3"
"belinda bencic",98.6623376623377,7.63221500063535,0.0432900432900433,2.83008997133291,"WBW_DNCTL",231,"2"
"bernarda pera",97.7540983606557,6.38919853530138,0.0655737704918033,2.80217684753575,"WC_DNCTL",61,"1"
"bianca andreescu",99.96875,7.01978995272595,0.04296875,2.96867097578002,"WW_DCTL",256,"2"
"brenda fruhvirtova",93.7090909090909,7.09113355424752,0,2.7171901678341,"WW_DCTL",55,"2"
"camila giorgi",108.727272727273,5.14045157785213,0.0363636363636364,2.79827316377895,"WC_DNCTL",55,"1"
"caroline dolehide",103.736842105263,10.2857421330729,0.0263157894736842,3.18356351329184,"WC_DNCTL",76,"3"
"caroline garcia",102.685344827586,8.04909991268519,0.0991379310344828,2.85770991832524,"WC_DNCTL",232,"4"
"coco gauff",106.551724137931,9.26366530321436,0.0991379310344828,2.86380026015005,"WC_DNCTL",232,"4"
"dalma galfi",103.415584415584,6.84480334835477,0.103896103896104,2.73301013296598,"WC_DNCTL",77,"4"
"danielle collins",101.016129032258,5.41251192698931,0.0685483870967742,2.89966264881793,"WC_DNCTL",248,"1"
"daria kasatkina",90.3053097345133,11.160631927214,0.0309734513274336,3.01527329572273,"WBW_DNCTL",226,"3"
"dayana yastremska",103.958333333333,5.91116751652757,0.0277777777777778,2.78731874127484,"WBW_DNCTL",72,"1"
"diane parry",98.3687943262411,6.28991408925856,0.0425531914893617,2.79977118944628,"WC_DNCTL",141,"1"
"donna vekic",106.897338403042,4.99091852247894,0.0950570342205323,2.70107775438786,"WC_DNCTL",263,"4"
"elena rybakina",108.715151515152,7.34892851757118,0.134848484848485,2.85009447808529,"WC_DNCTL",660,"4"
"elina svitolina",101.058227848101,5.63565083227159,0.0506329113924051,2.92035917836963,"WC_DNCTL",395,"1"
"elise mertens",102.990291262136,7.65346425069744,0.0242718446601942,3.09206787761058,"WBW_DNCTL",206,"3"
"emma navarro",98.1208053691275,6.57381450794254,0.0134228187919463,2.9171564322703,"WBW_DNCTL",149,"2"
"emma raducanu",99.7150395778364,6.3051218523121,0.0369393139841689,2.8798204830782,"WC_DNCTL",379,"1"
"garbine muguruza",100.214876033058,5.04679206950687,0.0413223140495868,2.92425494815406,"WC_DNCTL",121,"1"
"greet minnen",99.8571428571429,5.30073054973579,0,2.95410650156139,"WW_DCTL",77,"2"
"harmony tan",101.164179104478,3.19847034901,0.0746268656716418,2.65895835619416,"WC_DNCTL",67,"1"
"harriet dart",93.8263473053892,6.38803666873179,0.0239520958083832,3.00484002203718,"WC_DNCTL",167,"2"
"heather watson",97.9244186046512,7.16473553821195,0.0406976744186047,2.77297865162014,"WC_DNCTL",172,"1"
"iga swiatek",102,7.78406983006101,0.0480549199084668,2.9901486382907,"WC_DNCTL",437,"3"
"jasmine paolini",98.6236786469345,6.37178213887818,0.0274841437632135,3.00628259610088,"WC_DNCTL",473,"1"
"jelena ostapenko",99.7859922178988,6.50157119591597,0.0622568093385214,2.80379629944993,"WC_DNCTL",257,"1"
"jessica pegula",100.41059602649,6.94809567655882,0.043046357615894,3.0823329511412,"WC_DNCTL",302,"3"
"jodie burrage",101.376811594203,5.65451784306237,0.0289855072463768,2.59332961116875,"WC_DNCTL",69,"1"
"jule niemeier",100.386363636364,8.56086430656298,0.0545454545454545,2.89507773249075,"WC_DNCTL",220,"3"
"kaja juvan",101.093525179856,7.7533462493795,0.0503597122302158,2.73897411302124,"WC_DNCTL",139,"1"
"karolina muchova",101.573770491803,6.68936633313491,0.0614754098360656,2.91528880702494,"WC_DNCTL",244,"1"
"katie boulter",103.686046511628,5.97177350416125,0.0436046511627907,2.86991202240453,"WC_DNCTL",344,"1"
"laura siegemund",92.2112676056338,9.68933949239022,0.0140845070422535,2.94490849801034,"WBC_DNCTL",71,"3"
"lauren davis",95.0568181818182,7.25299455325527,0.0227272727272727,2.86270067354575,"WC_DNCTL",88,"2"
"lesia tsurenko",87.3918918918919,8.50660818369779,0.00675675675675676,2.96800698876787,"WB_DNCTL",148,"2"
"lin zhu",99.0151515151515,5.86381976909099,0.0151515151515152,2.8472064636126,"WC_DNCTL",66,"1"
"liudmila samsonova",106.272727272727,9.41212654821187,0.111111111111111,2.91497897457445,"WC_DNCTL",99,"4"
"lulu sun",103.070512820513,6.32568974128991,0.0897435897435897,2.78001594085402,"WC_DNCTL",156,"4"
"madison brengle",78.5308641975309,5.6415565665716,0,2.6280015034516,"WB_DNCTL",81,"2"
"madison keys",101.869662921348,7.07368560506298,0.0629213483146067,2.82042847310441,"WC_DNCTL",445,"1"
"magda linette",96.6056338028169,7.1723255308949,0.0422535211267606,2.97898341615053,"WW_DCTL",71,"2"
"magdalena frech",100.8,6.01799104487671,0,2.71530903243305,"WC_DNCTL",75,"1"
"maria sakkari",104.361502347418,6.37402020559728,0.0704225352112676,2.94025397357846,"WC_DNCTL",213,"1"
"marie bouzkova",94.69375,7.34803995787792,0.01875,2.96748088147808,"WW_DCTL",320,"2"
"marketa vondrousova",100.853754940711,6.99023949132337,0.0632411067193676,2.78099926701743,"WC_DNCTL",253,"1"
"marta kostyuk",99.0217391304348,9.58132141299473,0.0108695652173913,2.9986349544237,"WBW_DNCTL",92,"3"
"mirra andreeva",102.362962962963,8.76782398454663,0.0148148148148148,3.02600907009039,"WC_DNCTL",135,"3"
"naomi osaka",107.797101449275,5.7101038162627,0.0869565217391304,2.62459837222576,"WC_DNCTL",69,"4"
"ons jabeur",99.4048706240487,7.59254934189769,0.0806697108066971,2.74665835489103,"WC_DNCTL",657,"4"
"paula badosa",102.356223175966,7.29532014506172,0.0300429184549356,3.03942442949514,"WC_DNCTL",233,"3"
"petra kvitova",99.508064516129,4.98986173409399,0.0524193548387097,2.91706447504754,"WC_DNCTL",248,"1"
"petra martic",103.464285714286,7.5000342582294,0.0571428571428571,2.96960651213787,"WC_DNCTL",140,"3"
"qiang wang",99.8053097345133,7.1274850391681,0.0884955752212389,2.92348992970562,"WBC_DNCTL",113,"3"
"qinwen zheng",105.575342465753,6.07572082650642,0.10958904109589,2.79821828112852,"WW_DCTL",73,"4"
"sara sorribes tormo",92.007299270073,8.12086668654653,0,2.8636303697855,"WBW_DNCTL",137,"2"
"shelby rogers",102.35632183908,5.81892863849234,0.0114942528735632,2.84399231453118,"WC_DNCTL",87,"1"
"shuai zhang",97.5614035087719,4.95702079255722,0.0526315789473684,3.01252017530145,"WC_DNCTL",57,"1"
"simona halep",100.414634146341,7.55301137346403,0.040650406504065,2.82850328456357,"WC_DNCTL",123,"1"
"sloane stephens",100.116959064327,6.86579793516746,0.0175438596491228,3.08047332812712,"WC_DNCTL",171,"3"
"sofia kenin",93.531914893617,6.26543378264401,0.0106382978723404,2.97715565995488,"WW_DCTL",188,"2"
"sorana cirstea",101.61320754717,5.73105079521928,0.0471698113207547,2.89231863986287,"WC_DNCTL",212,"1"
"tatjana maria",105.047781569966,6.8973220577673,0.0716723549488055,2.83348221923069,"WC_DNCTL",293,"4"
"varvara gracheva",104.205882352941,5.94391404170739,0.0441176470588235,3.20765687071402,"WBW_DNCTL",68,"3"
"victoria azarenka",100.724489795918,6.35009487067414,0.0561224489795918,2.99836020098299,"WW_DCTL",196,"2"
"viktorija golubic",88.878612716763,8.33333557377754,0.023121387283237,3.01743043994249,"WC_DNCTL",173,"2"
"viktoriya tomova",95.7448979591837,7.64591559247238,0.0306122448979592,3.05977285759668,"WBW_DNCTL",98,"3"
"yulia putintseva",90.512987012987,7.33443575758784,0.012987012987013,2.86747714520937,"WC_DNCTL",154,"2"
