"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL"
"1",9,0.3,0,0,0
"1",14,0,0.466666666666667,0,0
"1",7,0,0,0.233333333333333,0
"2",6,0.4,0,0.4,0
"2",3,0,0.2,0,0
"3",2,0,0,0,1
"4",2,0.181818181818182,0,0,0
"4",6,0,0.545454545454545,0,0
"4",3,0,0,0.272727272727273,0
