"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL"
"1",7,0.259259259259259,0,0,0,0
"1",4,0,0.148148148148148,0,0,0
"1",3,0,0,0.111111111111111,0,0
"1",13,0,0,0,0.481481481481481,0
"2",8,0,0.571428571428571,0,0,0
"2",1,0,0,0.0714285714285714,0,0
"2",5,0,0,0,0.357142857142857,0
"3",2,0.0444444444444444,0,0.0444444444444444,0,0
"3",23,0,0.511111111111111,0,0,0
"3",17,0,0,0,0.377777777777778,0
"3",1,0,0,0,0,0.0222222222222222
"4",1,0.0555555555555556,0,0,0,0.0555555555555556
"4",2,0,0.111111111111111,0.111111111111111,0,0
"4",12,0,0,0,0.666666666666667,0
