"match_id","slam","year","SetNo","GameNo","PointNumber","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","importance","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2022-usopen-2101","usopen",2022,1,5,"21","Iga Swiatek","Jasmine Paolini",80,2,2,2,"BW","NCTL",9,30.19,29.25,"15","15","15-15",0,1,0.854700854700855,0,0,3,1,0.0015964639514866,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,832
"2022-usopen-2101","usopen",2022,1,5,"22","Iga Swiatek","Jasmine Paolini",81,2,2,2,"BC","NCTL",3,12.099,10.747,"15","30","30-15",0,1,0.865384615384615,0,0,3,1,0.113860024567937,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,873
"2022-usopen-2101","usopen",2022,1,5,"23","Iga Swiatek","Jasmine Paolini",70,2,2,1,"BW","NCTL",6,20.82,24.735,"30","30","30-30",0,0,0.747863247863248,0,0,3,1,0.00503192684714582,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,911
"2022-usopen-2101","usopen",2022,1,5,"24","Iga Swiatek","Jasmine Paolini",80,2,2,2,"BC","NCTL",3,8.63,9.472,"30","40","40-30",0,1,0.854700854700855,0,0,3,1,0.0923260708473559,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,978
"2022-usopen-2101","usopen",2022,1,5,"25","Iga Swiatek","Jasmine Paolini",97,1,2,1,"BC","NCTL",4,12.114,12.463,"40","40","40-40",0,0,1.03632478632479,0,0,3,1,0.0055929641218978,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,1017
"2022-usopen-2101","usopen",2022,1,5,"26","Iga Swiatek","Jasmine Paolini",84,2,2,1,"C","NCTL",4,12.587,16.306,"AD","40","40-AD",0,0,0.897435897435897,0,0,3,1,0.452955774898066,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,1050
"2022-usopen-2101","usopen",2022,1,5,"27","Iga Swiatek","Jasmine Paolini",91,1,2,1,"BW","NCTL",4,12.965,12.24,"0","0","0-0",1,0,0.972222222222222,1,0,4,1,0.0101397905989895,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,1083
"2022-usopen-2101","usopen",2022,1,6,"28","Iga Swiatek","Jasmine Paolini",94,1,1,1,"BW","NCTL",3,9.368,10.974,"15","0","15-0",0,1,1.00988397077783,0,0,4,1,0.266804360137777,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,1204
"2022-usopen-2101","usopen",2022,1,6,"29","Iga Swiatek","Jasmine Paolini",94,1,1,2,"C","NCTL",4,16.558,14.69,"15","15","15-15",0,0,1.00988397077783,0,0,4,1,0.0015964639514866,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,1231
"2022-usopen-2101","usopen",2022,1,6,"30","Iga Swiatek","Jasmine Paolini",81,2,1,2,"B","NCTL",2,9.903,9.398,"15","30","15-30",0,0,0.870219166308552,0,0,4,1,0.10761639432791,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,1283
