"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"adrian mannarino",0.525862068965517,-2.14204296943355,-0.371948715630142,-1.42516905187393,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.620291073516634,0.424531368197316,0.227932748106426,0.454916709523219,0.462954537555093,0.468781530857086,-0.650465738283338
"alejandro davidovich fokina",0.514285714285714,0.0655695519125058,0.50856796882646,-0.79694780448889,1.98117894901273,-0.87726700108649,-0.578140171562011,-0.34872755628764,0.512567336054989,0.508200742643256,0.332328770775581,0.462458835735919,0.436404729053038,0.435865819454193,-0.198904986649255
"alejandro tabilo",0.476923076923077,-0.669762041229767,0.0256384196532716,1.0932512447227,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.22331422262387,0.12707589448272,-0.0560904068477406,0.476431960133302,0.467248115127708,0.477899074554443,0.0984302231068208
"aleksandar kovacevic",0.357142857142857,0.0114547268969857,0.172583427174451,-0.828738681470074,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,-0.404736199622666,-0.554949136949772,-0.581673383526374,0.468116216801684,0.469522952904693,0.465552091598511,-0.264721555172155
"aleksandar vukic",0.454545454545455,0.146409388790724,-1.24423448243471,0.109701518636428,1.98117894901273,-0.87726700108649,-0.578140171562011,-0.34872755628764,0.144117258053155,-0.168279085159108,-0.235697465878773,0.468109973863074,0.497727158383418,0.492234528064728,-0.220904976664995
"alex de minaur",0.517241379310345,-0.13270017354044,-0.769596893932356,-0.816220391329094,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.542044795129847,0.261366644567012,0.204453178780997,0.460182931086476,0.483533772853076,0.464960247278214,-0.400300249495555
"alex molcan",0.423076923076923,-0.819393470066856,-0.362305638884346,2.07085822592162,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,-0.23775272398076,-0.220631493127641,-0.380237283573682,0.504414563964293,0.475627602939765,0.490311056375504,0.257179205448381
"alexander bublik",0.477064220183486,1.45275002296492,3.03666593990599,0.699669180507852,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.281768516844892,0.0997923596641546,-0.192490346722067,0.466198813255966,0.472271914096002,0.505921423435211,0.587148764654453
"alexander zverev",0.533018867924528,1.52010209232199,0.960405665235821,0.739588750106706,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.538958705293715,0.40433466200325,0.0785506775726745,0.476508129527249,0.473725734847557,0.506473183631897,0.322734622343759
"alexandre muller",0.460674157303371,-1.49835382102309,0.765932475116989,-0.516589760641972,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.116384786621903,0.0781315097985202,-0.0992388972815564,0.479160551201782,0.459758272395818,0.470470041036606,-0.237414844621465
"alexei popyrin",0.354838709677419,1.3803663640594,0.630756119173478,-0.90116779447694,1.98117894901273,-0.87726700108649,-0.578140171562011,-0.34872755628764,-0.377657504826629,-0.39746195307497,-0.0936732376113015,0.461006225041842,0.439034931818095,0.36349692940712,-0.0985600991154664
"aljaz bedene",0.517241379310345,-0.703435901802904,0.657234366482935,0.914617461740867,-0.500508366066375,-0.87726700108649,-0.578140171562011,2.84347084357614,0.562731995851933,0.273445323050207,0.00791592406824004,0.456511429697422,0.48137217506775,0.505133986473083,0.296189039453326
"andrey rublev",0.480337078651685,-0.804704636721524,-0.405121795924678,0.412089704845562,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.194178762246379,0.181074029702938,0.0444241556522982,0.485016834648604,0.460998621825288,0.46076712012291,-0.125997736079932
"andy murray",0.51685393258427,-0.827711243166019,0.818791664139212,0.0669046871230807,-0.500508366066375,1.13032478986144,-0.578140171562011,-0.34872755628764,0.488438364090787,0.370397728879521,0.140526042779928,0.469309390502958,0.463634145989951,0.477640002965927,-0.042182831102476
