,,Players,Pts
,1,N. Djokovic,11540
,2,D. Medvedev,8640
,3,A. Zverev,7840
,4,S. Tsitsipas,6540
,5,A. Rublev,5150
,6,R. Nadal,4875
,7,M. Berrettini,4568
,8,C. Ruud,4160
,9,H. Hurkacz,3706
,10,J. Sinner,3350
,11,F. Auger-Aliassime,3308
,12,C. Norrie,2945
,13,D. Schwartzman,2625
,14,D. Shapovalov,2475
,15,D. Thiem,2425
,16,R. Federer,2385
,17,C. Garín,2353
,18,A. Karatsev,2351
,19,R. Bautista,2260
,20,P. Carreño,2230
,21,G. Monfils,2158
,22,N. Basilashvili,2101
,23,T. Fritz,2050
,24,J. Isner,1991
,25,D. Evans,1942
,26,R. Opelka,1936
,27,L. Sonego,1825
,28,G. Dimitrov,1801
,29,K. Khachanov,1731
,30,M. Cilic,1710
,31,L. Harris,1644
,32,C. Alcaraz,1612
,33,D. Lajovic,1591
,34,A. De Minaur,1561
,35,U. Humbert,1558
,36,A. Bublik,1538
,37,F. Fognini,1494
,38,F. Tiafoe,1492
,39,D. Goffin,1476
,40,M. Fucsovics,1459
,41,S. Korda,1426
,42,F. Krajinovic,1402
,43,T. Paul,1349
,44,F. Delbonis,1327
,45,A. Ramos,1294
,46,B. Paire,1245
,47,K. Nishikori,1210
,48,I. Ivashka,1194
,49,J. Duckworth,1176
,50,A. Davidovich,1160
,51,J. Struff,1134
,52,L. Djere,1131
,53,S. Kwon,1115
,54,D. Koepfer,1101
,55,M. McDonald,1084
,56,J. Brooksby,1063
,57,B. van de Zandschulp,1034
,58,A. Rinderknech,1029
,59,L. Musetti,1004
,60,P. Martínez,1001
,61,A. Popyrin,1000
,62,G. Mager,978
,63,F. Coria,976
,64,B. Bonzi,969
,65,T. Griekspoor,966
,66,M. Giron,929
,67,H. Gaston,919
,68,B. Nakashima,917
,69,M. Kecmanovic,916
,70,M. Raonic,884
,71,A. Mannarino,879
,72,J. Millman,875
,73,B. Coric,874
,74,G. Pella,866
,75,J. Thompson,860
,76,F. Bagnis,860
,77,J. Munar,848
,78,S. Travaglia,846
,79,R. Carballés,837
,80,K. Anderson,829
