,,Players,Pts
,250,L. Poullain,241
,251,E. Donskoy,241
,252,O. Otte,239
,253,C. Wong,238
,254,J. Ficovich,237
,255,C. Ilkel,235
,256,D. Sweeny,234
,257,M. Damm Jr.,233
,258,M. Janvier,229
,259,T. Sandgren,227
,260,T. Schoolkate,225
,261,L. Riedi,223
,262,H. Squire,223
,263,B. Holt,222
,264,M. Kukushkin,222
,265,A. Andreev,221
,266,M. Martineau,220
,267,N. Ionel,219
,268,T. Boyer,218
,269,Y. Uchiyama,218
,270,A. Kachmazov,218
,271,A. Fery,216
,272,J. McCabe,216
,273,S. Hong,216
,274,G. Fonio,215
,275,D. Michalski,214
,276,V. Royer,213
,277,P. Sekulic,210
,278,M. Bourgue,210
,279,F. Delbonis,208
,280,V. Vacherot,208
,281,R. Olivo,206
,282,M. Echargui,204
,283,M. Krueger,203
,284,M. Dellien,202
,285,E. Dalla Valle,197
,286,M. Geerts,195
,287,L. Giustino,193
,288,S. Caruso,193
,289,B. Tomic,192
,290,M. Neuchrist,191
,291,N. Sánchez-Izquierdo,189
,292,J. Veselý,188
,293,A. Mayo,184
,294,E. Gómez,183
,295,O. Krutykh,182
,296,A. Holmgren,182
,297,J. Brooksby,180
,298,C. Tseng,179
,299,M. Möller,179
,300,M. Vrbenský,179
,332,G. den Ouden,155
,364,M. Houkes,134
