rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2442,1,2011-03-21,0,0,2629
2,Carlos Alcaraz Garfia,Spain,ESP,2281,1,2024-07-15,0,0,2348
3,Jannik Sinner,Italy,ITA,2276,1,2024-06-24,0,4,2414
4,Rafael Nadal,Spain,ESP,2246,1,2008-06-16,0,0,2552
5,Daniil Medvedev,Russian Federation,RUS,2234,2,2023-04-02,0,0,2316
6,Alexander Zverev,Germany,GER,2170,3,2021-11-21,0,0,2303
7,Andrey Rublev,Russian Federation,RUS,2133,5,2020-11-02,0,0,2227
8,Grigor Dimitrov,Bulgaria,BUL,2132,6,2018-01-29,0,0,2203
9,Hubert Hurkacz,Poland,POL,2093,8,2023-10-15,0,0,2119
10,Stefanos Tsitsipas,Greece,GRE,2082,3,2023-01-30,0,0,2258
11,Matteo Berrettini,Italy,ITA,2067,7,2021-07-12,0,0,2173
12,Holger Vitus Nodskov Rune,Denmark,DEN,2064,5,2023-07-17,1,0,2147
13,Alex De Minaur,Australia,AUS,2061,7,2024-06-17,-1,-5,2165
14,Karen Khachanov,Russian Federation,RUS,2059,10,2019-02-08,0,0,2137
15,Taylor Harry Fritz,United States,USA,2054,6,2024-11-28,0,0,2162
16,Gael Monfils,France,FRA,2021,7,2010-11-28,0,0,2189
17,Casper Ruud,Norway,NOR,2018,6,2022-04-03,0,0,2163
18,Marin Cilic,Croatia,CRO,2010,6,2014-09-08,0,0,2232
19,Sebastian Korda,United States,USA,2007,15,2023-02-20,0,0,2071
20,Felix Auger Aliassime,Canada,CAN,2005,8,2022-11-07,0,0,2140
21,Ugo Humbert,France,FRA,2004,12,2024-03-04,0,0,2078
22,Adrian Mannarino,France,FRA,2002,17,2024-01-29,0,0,2019
23,Tommy Paul,United States,USA,1990,10,2024-10-21,0,0,2095
24,Frances Tiafoe,United States,USA,1988,14,2023-07-03,0,0,2068
25,Nicolas Jarry,Chile,CHI,1985,22,2023-10-23,0,0,1992
26,Pablo Carreno Busta,Spain,ESP,1975,10,2021-07-31,0,-1,2121
27,Ben Shelton,United States,USA,1973,19,2024-04-08,0,0,2019
28,Kei Nishikori,Japan,JPN,1971,4,2016-09-12,0,0,2296
29,Jack Draper,United Kingdom,GBR,1969,10,2024-11-04,0,0,2080
30,Alejandro Davidovich Fokina,Spain,ESP,1969,22,2023-09-11,0,0,1998
31,Francisco Cerundolo,Argentina,ARG,1965,23,2023-07-03,0,0,2015
32,Milos Raonic,Canada,CAN,1963,5,2016-07-11,0,0,2269
33,Denis Shapovalov,Canada,CAN,1956,15,2021-07-12,0,0,2075
34,Tallon Griekspoor,Netherlands,NED,1948,23,2024-02-26,0,0,1988
35,Borna Coric,Croatia,CRO,1945,13,2019-01-07,0,0,2102
36,Roman Safiullin,Russian Federation,RUS,1941,32,2024-01-08,0,0,1957
37,Alexander Bublik,Kazakhstan,KAZ,1939,20,2024-03-04,0,0,1996
38,Jenson Brooksby,United States,USA,1937,31,2022-04-03,0,0,1984
39,Andy Murray,United Kingdom,GBR,1934,2,2009-04-19,0,0,2500
40,Cameron Norrie,United Kingdom,GBR,1931,11,2022-08-21,0,0,2105
41,Laslo Djere,Serbia,SRB,1928,37,2023-09-22,0,0,1958
