,,Players,Pts
,1,A. Sabalenka,9416
,2,I. Swiatek,8295
,3,C. Gauff,6530
,4,J. Paolini,5344
,5,Q. Zheng,5340
,6,E. Rybakina,5171
,7,J. Pegula,4705
,8,E. Navarro,3589
,9,D. Kasatkina,3368
,10,B. Krejcíková,3214
,11,D. Collins,3178
,12,P. Badosa,2908
,13,D. Shnaider,2895
,14,A. Kalinskaya,2743
,15,J. Ostapenko,2588
,16,M. Andreeva,2578
,17,B. Haddad Maia,2554
,18,M. Kostyuk,2493
,19,D. Vekic,2258
,20,V. Azarenka,2127
,21,M. Keys,2126
,22,K. Muchová,1971
,23,E. Svitolina,1942
,24,K. Boulter,1931
,25,M. Frech,1928
,26,L. Nosková,1913
,27,L. Samsonova,1885
,28,E. Alexandrova,1848
,29,Y. Putintseva,1844
,30,A. Pavlyuchenkova,1807
,31,L. Fernandez,1755
,32,M. Sakkari,1743
,33,D. Yastremska,1565
,34,E. Mertens,1554
,35,A. Potapova,1482
,36,A. Anisimova,1461
,37,X. Wang,1418
,38,M. Linette,1376
,39,M. Vondroušová,1363
,40,L. Sun,1300
,41,K. Plíšková,1265
,42,O. Jabeur,1226
,43,E. Avanesyan,1182
,44,M. Bouzková,1178
,45,K. Siniaková,1177
,46,R. Šramková,1166
,47,P. Stearns,1139
,48,C. Garcia,1099
,49,Y. Yuan,1082
,50,C. Tauson,1070
,51,O. Danilovic,1055
,52,E. Cocciaretto,1048
,53,V. Tomova,1047
,54,J. Bouzas,1046
,55,A. Kalinina,1030
,56,E. Raducanu,1025
,57,N. Osaka,1014
,58,K. Volynets,991
,59,C. Osorio,989
,60,K. Rakhimova,987
,61,Y. Wang,983
,62,M. Uchijima,981
,63,D. Parry,979
,64,A. Krueger,969
,65,M. Sherif,955
,66,V. Gracheva,949
,67,M. Kessler,924
,68,T. Townsend,916
,69,S. Cirstea,914
,70,C. Wozniacki,908
,71,B. Pera,896
,72,V. Kudermetova,888
,73,L. Bronzetti,887
,74,S. Stephens,882
,75,R. Zarazúa,882
,76,A. Rus,871
,77,A. Blinkova,866
,78,C. Dolehide,864
,79,I. Begu,853
,80,L. Siegemund,851
,81,S. Kenin,848
,82,A. Parks,841
,83,E. Andreeva,838
,84,S. Kartal,836
,85,J. Cristian,832
,86,T. Maria,826
,87,S. Lamens,821
,88,Z. Sönmez,818
,89,J. Niemeier,816
,90,V. Golubic,814
,91,N. Párrizas,813
,92,H. Baptiste,805
,93,A. Bondár,800
,94,L. Carlé,797
,95,G. Minnen,791
,96,A. Li,787
,97,O. Gadecki,781
,98,X. Wang,774
,99,C. Burel,770
,100,N. Podoroska,767
,101,Y. Starodubtseva,762
,102,R. Marino,756
,103,C. Bucsa,755
,104,H. Dart,754
,105,S. Errani,717
,106,S. Sorribes,714
,107,P. Kudermetova,701
,108,D. Saville,696
,109,A. Tomljanovic,691
,110,A. Schmiedlová,689
,111,O. Dodin,682
,112,A. Zakharova,670
,113,K. Birrell,654
,114,A. Bogdan,653
,115,L. Tsurenko,648
,116,M. Joint,645
,117,R. Montgomery,639
,118,A. Todoni,635
,119,D. Semenistaja,630
,120,L. Zhu,601
,121,G. Ruse,598
,122,P. Martic,597
,123,C. Paquet,593
,124,M. Trevisan,592
,125,M. Stakusic,587
,126,A. Ito,580
,127,J. Riera,578
,128,M. Chwalinska,576
,129,V. Lepchenko,570
,130,M. Sawangkaew,567
,131,E. Lys,566
,132,B. Andreescu,563
,133,J. Ponchet,557
,134,S. Wei,552
,135,J. Teichmann,550
,136,J. Fett,545
,137,E. Shibahara,544
,138,M. Timofeeva,535
,139,D. Snigur,531
,140,E. Seidel,530
,141,D. Gálfi,520
,142,A. Ružic,518
,143,A. Sasnovich,516
,144,R. Masarova,506
,145,N. Hibino,496
,146,L. Stefanini,494
,147,A. Eala,490
,148,T. Gibson,487
,149,L. Jeanjean,486
,150,S. Saito,478
,151,D. Šalková,475
,152,F. Jones,474
,153,C. Naef,473
,154,M. Inglis,471
,155,P. Udvardy,466
,156,V. Jiménez,465
,157,M. Hontama,459
,158,L. Romero,459
,159,E. Jacquemot,456
,160,L. Pigossi,444
,161,S. Bejlek,441
,162,H. Watson,440
,163,S. Sierra,439
,164,A. Rodionova,434
,165,A. Hartono,432
,166,V. Erjavec,432
,167,P. Hon,427
,168,T. Korpatsch,424
,169,E. Arango,422
,170,T. Preston,419
,171,M. Barthel,414
,172,L. Chirico,413
,173,K. von Deichmann,413
,174,S. Waltert,409
,175,X. Gao,408
,176,O. Selekhmeteva,406
,177,A. Korneeva,405
,178,B. Fruhvirtová,398
,179,J. Burrage,398
,180,B. Palicová,391
,181,T. Zidanšek,390
,182,Y. Miyazaki,381
,183,N. Brancaccio,381
,184,L. Tararudee,380
,185,L. Radivojevic,374
,186,E. Pridankina,367
,187,S. Hunter,366
,188,A. Koevermans,363
,189,I. Jovic,361
,190,B. Cengiz,360
,191,S. Janicijevic,355
,192,L. Fruhvirtová,354
,193,G. Pedone,353
,194,D. Aiava,352
,195,E. Bektas,352
,196,S. Ishii,352
,197,H. Chang,351
,198,S. Bandecchi,350
,199,G. Maristany,348
,200,M. Benoit,346
,201,S. Vickery,345
,202,R. Serban,345
,203,L. Boisson,345
,204,N. Noha Akugue,343
,205,S. Zhang,340
,206,M. Léonard,340
,207,A. Falei,337
,208,M. Bolkvadze,336
,209,L. Boškovic,334
,210,K. Mladenovic,334
,211,S. Kraus,332
,212,M. Bassols,331
,213,M. Bulgaru,330
,214,H. Shi,330
,215,L. Ciric Bagaric,329
,216,A. Soboleva,329
,217,C. Monnet,328
,218,I. Burillo,324
,219,A. Tubello,324
,220,L. Glushko,323
,221,L. Küng,323
,222,V. Hruncáková,318
,223,H. Vandewinkel,317
,224,K. Okamura,316
,225,K. Zavatska,315
,226,D. Jakupovic,315
,227,C. Martínez,315
,228,K. Kawa,313
,229,M. Rouvroy,312
,230,S. Chang,310
,231,H. Inoue,310
,232,A. Lázaro,309
,233,G. Knutson,308
,234,I. Öz,308
,235,A. Sharma,307
,236,Y. Ma,302
,237,I. Shymanovich,301
,238,Á. Fita,301
,239,T. Valentová,300
,240,P. Tig,297
,241,K. Day,296
,242,J. Avdeeva,291
,243,E. Makarova,290
,244,M. Mateas,290
,245,F. Jorge,287
