,,Players,Pts
,1,A. Barty,7582
,2,A. Sabalenka,6380
,3,G. Muguruza,5685
,4,K. Plíšková,5135
,5,B. Krejcíková,5008
,6,M. Sakkari,4385
,7,A. Kontaveit,4351
,8,P. Badosa,3849
,9,I. Swiatek,3786
,10,O. Jabeur,3455
,11,A. Pavlyuchenkova,3076
,12,S. Kenin,2971
,13,N. Osaka,2956
,14,E. Rybakina,2855
,15,E. Svitolina,2726
,16,A. Kerber,2671
,17,P. Kvitová,2660
,18,J. Pegula,2650
,19,E. Raducanu,2595
,20,S. Halep,2576
,21,E. Mertens,2570
,22,C. Gauff,2550
,23,B. Bencic,2415
,24,L. Fernandez,2284
,25,J. Brady,2264
,26,D. Kasatkina,2180
,27,V. Azarenka,2166
,28,J. Ostapenko,2060
,29,D. Collins,2036
,30,T. Zidanšek,1876
,31,V. Kudermetova,1870
,32,K. Muchová,1865
,33,C. Giorgi,1740
,34,E. Alexandrova,1736
,35,M. Vondroušová,1701
,36,S. Sorribes,1645
,37,J. Teichmann,1620
,38,L. Samsonova,1597
,39,S. Cirstea,1589
,40,S. Rogers,1583
,41,S. Williams,1526
,42,Y. Putintseva,1425
,43,V. Golubic,1422
,44,C. Tauson,1421
,45,A. Tomljanovic,1395
,46,B. Andreescu,1378
,47,A. Li,1314
,48,T. Martincová,1226
,49,K. Siniaková,1220
,50,M. Kostyuk,1215
,51,A. Riske-Amritraj,1191
,52,A. Kalinina,1188
,53,J. Paolini,1178
,54,P. Martic,1171
,55,C. Osorio,1167
,56,M. Keys,1149
,57,M. Linette,1142
,58,A. Van Uytvanck,1125
,59,M. Brengle,1102
,60,S. Zhang,1096
,61,A. Cornet,1080
,62,I. Begu,1076
,63,M. Sherif,1049
,64,A. Rus,1031
,65,S. Stephens,1023
,66,N. Párrizas,1008
,67,A. Konjuh,998
,68,D. Vekic,995
,69,A. Potapova,985
,70,A. Sevastova,956
,71,J. Cristian,954
,72,H. Watson,949
,73,K. Kanepi,948
,74,C. Garcia,945
,75,A. Petkovic,919
,76,C. Burel,913
,77,V. Gracheva,912
,78,A. Anisimova,890
,79,S. Zheng,877
,80,G. Minnen,877
,81,V. Zvonareva,876
,82,M. Zanevska,871
,83,B. Haddad Maia,868
,84,N. Podoroska,867
,85,A. Schmiedlová,867
,86,K. Mladenovic,860
,87,G. Ruse,859
,88,R. Peterson,853
,89,L. Davis,839
,90,M. Bouzková,838
,91,O. Dodin,823
,92,A. Bondár,821
,93,B. Pera,815
,94,C. Liu,815
,95,P. Udvardy,811
,96,D. Kovinic,808
,97,K. Kucová,807
,98,A. Sharma,806
,99,D. Yastremska,789
,100,K. Juvan,788
,101,X. Wang,786
,102,Z. Diyas,783
,103,F. Ferro,775
,104,Q. Wang,773
,105,M. Doi,771
,106,M. Frech,769
,107,A. Sasnovich,755
,108,S. Hsieh,746
,109,S. Kuznetsova,743
,110,H. Tan,721
,111,A. Kalinskaya,716
,112,M. Trevisan,713
,113,A. Bogdan,687
,114,L. Zhu,683
,115,D. Parry,680
,116,N. Stojanovic,656
,117,V. Tomova,639
,118,L. Tsurenko,634
,119,C. Paquet,628
,120,K. Rakhimova,626
,121,S. Errani,621
,122,M. Buzarnescu,621
,123,H. Dart,616
,124,D. Gálfi,614
,125,L. Siegemund,604
,126,Q. Zheng,596
,127,V. Lepchenko,595
,128,A. Krunic,593
,129,N. Hibino,590
,130,A. Gasanova,587
,131,X. Wang,582
,132,S. Hunter,581
,133,J. Niemeier,581
,134,P. Hercog,577
,135,R. Zarazúa,577
,136,O. Danilovic,576
,137,V. Diatchenko,576
,138,I. Bara,573
,139,O. Govortsova,564
,140,A. Friedsam,562
,141,M. Inglis,549
,142,C. McNally,539
,143,E. Gorgodze,530
,144,K. Baindl,516
,145,R. Marino,504
,146,K. Plíšková,499
,147,S. Vögele,496
,148,L. Bronzetti,495
,149,K. Boulter,483
,150,M. Hontama,483
,151,F. Jones,480
,152,A. Rodionova,478
,153,D. Snigur,478
,154,A. Blinkova,470
,155,K. Kawa,460
,156,E. Cocciaretto,456
,157,A. Bolsova,452
,158,L. Pattinama-Kerkhove,450
,159,C. McHale,448
,160,T. Babos,447
,161,C. Bucsa,444
,162,V. Hruncáková,441
,163,R. Masarova,433
,164,M. Betova,427
,165,L. Küng,427
,166,Y. In-Albon,426
,167,A. Hesse,421
,168,H. Baptiste,418
,169,R. Šramková,416
,170,R. Jani,414
,171,G. Min,412
,172,R. Anderson,412
,173,L. Cabrera,409
,174,C. Vandeweghe,404
,175,S. Bandecchi,399
,176,M. Bolkvadze,386
,177,L. Stefanini,386
,178,J. Loeb,385
,179,T. Korpatsch,384
,180,K. Volynets,382
,181,U. Arconada,382
,182,D. Papamichail,370
,183,V. Grammatikopoulou,368
,184,J. Grabher,367
,185,K. Nara,366
,186,K. Zavatska,364
,187,A. Hartono,363
,188,G. Gatto-Monticone,361
,189,T. Andrianjafitrimo,361
,190,Y. Hatouka,361
,191,L. Pigossi,359
,192,B. Haas,356
,193,V. Savinykh,356
,194,V. Cepede,353
,195,N. Vikhlyantseva,349
,196,E. Perez,348
,197,J. Ponchet,348
,198,C. Dolehide,342
,199,Y. Yuan,341
,200,E. Liang,340
,201,F. Di Lorenzo,340
,202,A. Raina,338
,203,F. Di Sarra,337
,204,D. Seguel,337
,205,M. Hibi,336
,206,I. Shinikova,334
,207,K. Volodko,333
,208,A. Cadantu Ignatik,333
,209,S. Jang,333
,210,C. Bellis,331
,211,I. Fetecau,331
,212,P. Ormaechea,330
,213,M. Björklund,329
,214,A. Parks,327
,215,I. Burillo,326
,216,J. Burrage,323
,217,A. Muhammad,319
,218,G. Lee,319
,219,S. Waltert,319
,220,L. Arruabarrena,317
,221,S. Vickery,317
,222,E. Avanesyan,317
,223,Y. Miyazaki,317
,224,D. Herdželaš,317
,225,P. Tig,316
,226,A. Zakharova,314
,227,T. Mrdeža,313
,228,K. Gerlach,312
,229,O. Selekhmeteva,311
,230,C. Perrin,310
,231,U. Radwanska,309
,232,G. García,308
,233,A. Kulikova,305
,234,J. Malecková,305
,235,Y. Bonaventure,304
,236,M. Melnikova,304
,237,J. Fett,303
,238,O. Gadecki,301
,239,S. Mendez,301
,240,E. Arango,299
,241,Ç. Büyükakçay,297
,242,E. Navarro,297
,243,X. You,296
,244,A. Lázaro,296
,245,K. Swan,295
,246,E. Bektas,294
,247,R. Hogenkamp,292
,248,Y. Naito,290
,249,I. De Vroome,288
,250,C. Alves,287
,251,H. Chang,286
,252,T. Pironkova,278
,253,E. Bouchard,278
,254,W. Osuigwe,276
,255,V. Jiménez,276
