rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
145,Juan Pablo Varillas Patino Samudio,Peru,PER,1740,82,2023-06-12,1,0,1845
146,Salvatore Caruso,Italy,ITA,1740,97,2020-09-21,-7,-8,1819
147,Yen Hsun Lu,"Taiwan, Province of China",TPE,1739,50,2014-08-24,0,0,1922
148,Denis Istomin,Uzbekistan,UZB,1739,31,2014-07-14,0,0,1987
149,Pablo Andujar,Spain,ESP,1738,49,2014-10-27,0,0,1929
150,Mischa Zverev,Germany,GER,1737,37,2017-01-30,0,0,1968
151,Nikola Milojevic,Serbia,SRB,1736,150,2021-05-23,0,0,1736
152,Ernesto Escobedo,Mexico,MEX,1735,102,2017-04-17,0,0,1815
153,Marc Andrea Huesler,Switzerland,SUI,1734,73,2023-02-13,0,0,1864
154,Federico Coria,Argentina,ARG,1731,86,2022-05-22,0,0,1839
155,Christian Harrison,United States,USA,1728,148,2021-03-01,0,0,1729
156,Benjamin Bonzi,France,FRA,1728,62,2023-05-07,0,0,1881
157,Jurij Rodionov,Austria,AUT,1726,118,2021-06-15,0,-1,1790
158,Tallon Griekspoor,Netherlands,NED,1721,23,2024-02-26,0,0,1988
159,Joao Domingues,Portugal,POR,1720,139,2019-08-26,0,0,1765
160,Ramkumar Ramanathan,India,IND,1718,116,2018-07-23,0,-1,1808
161,Christopher Oconnell,Australia,AUS,1717,49,2024-04-08,0,0,1891
162,Hugo Dellien,"Bolivia, Plurinational State of",BOL,1716,127,2019-09-23,17,43,1781
163,Henri Laaksonen,Switzerland,SUI,1716,84,2019-06-17,-1,0,1852
164,Dimitar Kuzmanov,Bulgaria,BUL,1716,146,2023-03-06,-1,0,1733
165,Francisco Cerundolo,Argentina,ARG,1714,23,2023-07-03,-1,0,2015
166,Juan Ignacio Londero,Argentina,ARG,1711,59,2019-09-09,-1,0,1901
167,Altug Celikbilek,Turkey,TUR,1710,158,2021-02-22,-1,0,1713
168,Andrej Martin,Slovakia,SVK,1708,83,2016-08-15,-1,0,1850
169,Yasutaka Uchiyama,Japan,JPN,1706,145,2019-10-07,-1,0,1763
170,Noah Rubin,United States,USA,1705,132,2018-08-13,-1,0,1788
171,Paolo Lorenzi,Italy,ITA,1701,64,2016-10-31,-1,0,1896
172,Go Soeda,Japan,JPN,1699,86,2012-07-23,-1,0,1836
173,Illya Marchenko,Ukraine,UKR,1691,71,2016-01-18,0,0,1865
174,Joao Sousa,Portugal,POR,1689,32,2016-02-01,0,0,1974
175,Kamil Majchrzak,Poland,POL,1689,103,2022-04-03,-3,-9,1810
176,Liam Broady,United Kingdom,GBR,1687,91,2024-02-12,-1,0,1826
177,Jason Jung,"Taiwan, Province of China",TPE,1683,134,2020-02-17,-1,0,1778
