,,Players,Pts
,249,C. Wozniacki,301
,250,G. Topalova,301
,251,M. Zanevska,300
,252,S. Costoulas,297
,253,J. Garland,296
,254,M. Jones,295
,255,V. Strakhova,295
,256,D. Radanovic,295
,257,H. Chang,295
,258,J. Avdeeva,292
,259,L. Havlícková,288
,260,M. Sawangkaew,287
,261,Y. In-Albon,286
,262,F. Stollár,286
,263,A. Falei,286
,264,B. Cengiz,285
,265,M. Benoit,284
,266,L. Chirico,281
,267,P. Hercog,277
,268,X. Gao,277
,269,I. Burillo,276
,270,T. Gibson,276
,271,H. Kaji,275
,272,V. Zvonareva,273
,273,M. Stakusic,270
,274,I. Shinikova,270
,275,L. Ciric Bagaric,269
,276,K. Volodko,268
,277,E. Liang,265
,278,L. Radivojevic,264
,279,S. Ambrosio,262
,280,K. Swan,261
,281,C. Dinu,258
,282,E. Chong,255
,283,S. Sakellaridi,255
,284,G. Min,254
,285,M. Inglis,252
,286,A. Cadantu Ignatik,250
,287,E. Bouchard,249
,288,S. Hosogi,248
,289,M. Mateas,247
,290,A. Tomljanovic,246
,291,V. Lepchenko,245
,292,K. von Deichmann,241
,293,J. Loeb,239
,294,N. Bartunková,239
,295,J. Štruplová,236
,296,F. Jones,235
,297,R. Vicens,232
,298,E. Raducanu,231
,299,G. Maristany,230
,300,V. Ryser,230
,357,E. Vedder,177
,419,A. Koevermans,139
