,,Players,Pts
,1,I. Swiatek,11085
,2,O. Jabeur,5055
,3,J. Pegula,4691
,4,C. Garcia,4375
,5,A. Sabalenka,3925
,6,M. Sakkari,3871
,7,C. Gauff,3646
,8,D. Kasatkina,3435
,9,V. Kudermetova,2795
,10,S. Halep,2661
,11,M. Keys,2417
,12,B. Bencic,2365
,13,P. Badosa,2363
,14,D. Collins,2287
,15,B. Haddad Maia,2215
,16,P. Kvitová,2097
,17,A. Kontaveit,2093
,18,J. Ostapenko,1986
,19,E. Alexandrova,1910
,20,L. Samsonova,1910
,21,E. Rybakina,1860
,22,B. Krejcíková,1850
,23,A. Anisimova,1746
,24,M. Bouzková,1607
,25,S. Zhang,1600
,26,V. Azarenka,1597
,27,M. Trevisan,1528
,28,Q. Zheng,1528
,29,E. Mertens,1475
,30,A. Sasnovich,1428
,31,K. Plíšková,1426
,32,K. Kanepi,1380
,33,A. Tomljanovic,1365
,34,I. Begu,1347
,35,J. Teichmann,1336
,36,A. Cornet,1328
,37,S. Stephens,1244
,38,P. Martic,1203
,39,A. Kalinina,1197
,40,L. Fernandez,1193
,41,A. Riske-Amritraj,1180
,42,N. Osaka,1122
,43,A. Potapova,1119
,44,B. Pera,1097
,45,S. Cirstea,1087
,46,B. Andreescu,1066
,47,S. Rogers,1065
,48,M. Linette,1030
,49,K. Siniaková,1000
,50,X. Wang,997
,51,Y. Putintseva,995
,52,M. Sherif,991
,53,D. Saville,981
,54,L. Bronzetti,951
,55,G. Muguruza,923
,56,A. Bogdan,898
,57,M. Brengle,888
,58,A. Kalinskaya,886
,59,C. Liu,880
,60,D. Kovinic,879
,61,S. Sorribes,871
,62,J. Paolini,867
,63,R. Marino,859
,64,E. Cocciaretto,850
,65,J. Niemeier,845
,66,C. Giorgi,836
,67,D. Vekic,827
,68,T. Maria,824
,69,M. Kostyuk,820
,70,N. Párrizas,802
,71,T. Martincová,800
,72,A. Van Uytvanck,794
,73,A. Blinkova,794
,74,T. Korpatsch,787
,75,A. Parks,784
,76,V. Golubic,779
,77,A. Bondár,756
,78,E. Raducanu,755
,79,L. Fruhvirtová,746
,80,C. Osorio,744
,81,M. Zanevska,744
,82,J. Grabher,729
,83,D. Gálfi,715
,84,L. Zhu,712
,85,T. Zidanšek,709
,86,X. Wang,708
,87,L. Davis,706
,88,P. Udvardy,693
,89,K. Juvan,691
,90,V. Tomova,682
,91,Q. Wang,676
,92,M. Vondroušová,662
,93,C. McNally,661
,94,K. Rakhimova,661
,95,Y. Bonaventure,651
,96,C. Tauson,648
,97,Y. Yuan,637
,98,H. Dart,635
,99,K. Baindl,631
,100,V. Gracheva,630
,101,D. Yastremska,628
,102,L. Nosková,620
,103,A. Schmiedlová,615
,104,A. Kerber,613
,105,C. Bucsa,611
,106,M. Frech,604
,107,M. Uchijima,604
,108,A. Konjuh,598
,109,S. Errani,594
,110,D. Shnaider,593
,111,L. Jeanjean,589
,112,D. Parry,585
,113,R. Jani,569
,114,K. Volynets,556
,115,A. Krunic,555
,116,A. Rus,548
,117,G. Ruse,547
,118,L. Pigossi,546
,119,R. Peterson,536
,120,A. Friedsam,530
,121,O. Dodin,526
,122,C. Burel,521
,123,M. Bassols,516
,124,Y. In-Albon,515
,125,S. Waltert,502
,126,E. Mandlik,500
,127,E. Lys,497
,128,C. Vandeweghe,486
,129,A. Li,480
,130,R. Masarova,476
,131,J. Burrage,474
,132,B. Fruhvirtová,470
,133,T. Townsend,469
,134,V. Hruncáková,467
,135,E. Andreeva,467
,136,K. Boulter,457
,137,L. Tsurenko,456
,138,N. Hibino,451
,139,H. Watson,450
,140,L. Stefanini,447
,141,A. Bolsova,446
,142,H. Tan,445
,143,S. Jang,437
,144,E. Jacquemot,435
,145,K. Swan,435
,146,J. Cristian,431
,147,L. Carlé,427
,148,D. Snigur,426
,149,E. Navarro,425
,150,C. Dolehide,419
,151,K. Muchová,416
,152,K. Mladenovic,416
,153,E. Avanesyan,415
,154,P. Hon,415
,155,O. Danilovic,412
,156,V. Jiménez,412
,157,M. Björklund,411
,158,D. Papamichail,409
,159,K. Scott,406
,160,N. Han,406
,161,M. Chwalinska,393
,162,J. Fourlis,389
,163,L. Chirico,388
,164,C. Paquet,387
,165,J. Ponchet,387
,166,H. Baptiste,384
,167,F. Contreras,384
,168,P. Ormaechea,383
,169,L. Romero,379
,170,N. Abduraimova,378
,171,A. Muhammad,376
,172,A. Zakharova,376
,173,M. Doi,374
,174,K. Birrell,373
,175,I. Bara,371
,176,C. Zhao,369
,177,L. Siegemund,368
,178,A. Cadantu Ignatik,367
,179,V. Diatchenko,364
,180,M. Inglis,363
,181,S. Bejlek,360
,182,I. Öz,356
,183,A. Krueger,354
,184,S. Vickery,353
,185,P. Kudermetova,353
,186,S. Janicijevic,350
,187,Y. Miyazaki,349
,188,J. Züger,346
,189,O. Selekhmeteva,344
,190,T. Würth,344
,191,P. Marcinko,344
,192,K. Hobgarski,340
,193,J. Bouzas,340
,194,R. Anderson,339
,195,N. Podoroska,335
,196,S. Kraus,334
,197,K. Day,333
,198,V. Grammatikopoulou,333
,199,G. Lee,326
,200,S. Lamens,326
,201,O. Gadecki,326
,202,R. Serban,325
,203,M. Hontama,324
,204,D. Astakhova,320
,205,B. Palicová,319
,206,S. Kartal,318
,207,M. Zacarías,317
,208,C. Monnet,316
,209,P. Stearns,311
,210,M. Kempen,310
,211,N. Schunk,307
,212,I. Khromacheva,305
,213,E. Chong,305
,214,A. Eala,299
,215,N. Stevanovic,298
,216,C. Alves,297
,217,A. Gasanova,297
,218,S. Chang,297
,219,R. Montgomery,294
,220,R. Vicens,294
,221,K. Sebov,293
,222,E. Gorgodze,290
,223,E. Vedder,290
,224,M. Barthel,290
,225,G. Minnen,289
,226,E. Reyngold,289
,227,Y. Naito,285
,228,S. Kenin,284
,229,K. von Deichmann,283
,230,A. Tikhonova,283
,231,E. Makarova,278
,232,L. Pattinama-Kerkhove,277
,233,C. Rosatello,276
,234,A. Sharma,274
,235,N. Noha Akugue,273
,236,E. Kalieva,270
,237,T. Andrianjafitrimo,270
,238,A. Hartono,269
,239,T. Lukas,269
,240,E. Svitolina,268
,241,S. Hunter,268
,242,J. Fett,268
,243,L. Gjorcheska,268
,244,K. Kawa,262
,245,I. Shymanovich,260
,246,W. Falkowska,259
,247,M. Bulgaru,255
,248,D. Semenistaja,254
,249,N. Szabanin,252
,250,L. Glushko,249
,251,K. Flipkens,245
,252,D. Jakupovic,245
,253,B. Gatica,245
,254,L. Papadakis,244
,255,A. Zolotareva,244
,256,J. Garland,243
,257,K. Dmitruk,242
,258,L. Boškovic,241
,259,J. Loeb,240
,260,S. Vögele,239
,261,J. Riera,239
,262,D. Lao,238
,263,A. Albié,238
,264,K. Thandi,238
,265,S. Nahimana,234
,266,L. Cabrera,232
,267,N. Brancaccio,232
,268,K. Kucová,228
,269,G. Cé,228
,270,Ç. Büyükakçay,228
,271,E. Bektas,226
,272,M. Melnikova,226
,273,K. Okamura,226
,274,J. Mikulskyte,226
,275,N. Potocnik,226
,276,Á. Fita,225
,277,S. Samavati,223
,278,W. Osuigwe,219
,279,Y. Cavallé,218
,280,P. Özgen,218
,281,A. Lázaro,217
,282,A. Karunaratne,216
,283,Y. Hatouka,215
,284,A. Raina,215
,285,I. Burillo,215
,286,X. You,214
,287,H. Sakatsume,214
,288,M. Matsuda,214
,289,N. Berberovic,213
,290,C. Hennemann,213
,291,D. Vismane,212
,292,R. Šramková,211
,293,M. Andreeva,210
,294,F. Di Lorenzo,209
,295,M. Benoit,209
,296,A. Ružic,207
,297,L. Sun,206
,298,V. Lapko,206
,299,F. Jorge,204
,300,A. Rodionova,203
,433,L. Stevens,105
