server_name,random_intercept,group,model,rank,label
Nicolas Jarry,-0.015144297,m_first,Speed_MPH_z,73,Average
Nikoloz Basilashvili,-0.024604907,m_first,Speed_MPH_z,82,Average
Novak Djokovic,0.0380562,m_first,Speed_MPH_z,29,Average
Oscar Otte,-0.066152524,m_first,Speed_MPH_z,110,Average
Pablo Andujar,0.043993987,m_first,Speed_MPH_z,25,Average
Pedro Cachin,0.027501843,m_first,Speed_MPH_z,38,Average
Pedro Martinez,-0.00124234,m_first,Speed_MPH_z,60,Average
Philipp Kohlschreiber,0.143174548,m_first,Speed_MPH_z,4,Over-performer
Quentin Halys,0.037431981,m_first,Speed_MPH_z,30,Average
Radu Albot,-0.011010828,m_first,Speed_MPH_z,69,Average
Rafael Nadal,-0.044540088,m_first,Speed_MPH_z,101,Average
Ricardas Berankis,0.055106913,m_first,Speed_MPH_z,19,Average
Richard Gasquet,-0.035679022,m_first,Speed_MPH_z,96,Average
Roberto Bautista Agut,-0.142280134,m_first,Speed_MPH_z,125,Under-performer
Roberto Carballes Baena,-0.112648415,m_first,Speed_MPH_z,124,Under-performer
Roger Federer,0.015441341,m_first,Speed_MPH_z,48,Average
Roman Safiullin,-0.104091471,m_first,Speed_MPH_z,122,Under-performer
Salvatore Caruso,-0.050283339,m_first,Speed_MPH_z,105,Average
Sam Querrey,0.018347831,m_first,Speed_MPH_z,46,Average
Sebastian Korda,-0.028924615,m_first,Speed_MPH_z,90,Average
Stan Wawrinka,-0.019717357,m_first,Speed_MPH_z,77,Average
Stefan Kozlov,-0.070241922,m_first,Speed_MPH_z,114,Average
Stefanos Tsitsipas,0.139691262,m_first,Speed_MPH_z,5,Over-performer
Steve Johnson,0.012651466,m_first,Speed_MPH_z,49,Average
Tallon Griekspoor,0.009831469,m_first,Speed_MPH_z,51,Average
Taro Daniel,-0.033891861,m_first,Speed_MPH_z,95,Average
Taylor Fritz,-0.028450955,m_first,Speed_MPH_z,89,Average
Tennys Sandgren,-0.013525676,m_first,Speed_MPH_z,71,Average
Thanasi Kokkinakis,-0.00048129,m_first,Speed_MPH_z,59,Average
Thiago Seyboth Wild,-0.024601728,m_first,Speed_MPH_z,81,Average
Tim Van Rijthoven,-0.025066293,m_first,Speed_MPH_z,83,Average
Tommy Paul,0.117822425,m_first,Speed_MPH_z,7,Over-performer
Ugo Humbert,0.026833104,m_first,Speed_MPH_z,39,Average
Yannick Hanfmann,0.02420635,m_first,Speed_MPH_z,41,Average
Yibing Wu,-0.015001341,m_first,Speed_MPH_z,72,Average
Yoshihito Nishioka,0.117925166,m_first,Speed_MPH_z,6,Over-performer
Yosuke Watanuki,0.008586751,m_first,Speed_MPH_z,53,Average
Adrian Mannarino,-0.232235069,m_first,speed_ratio_z,125,Under-performer
Alejandro Davidovich Fokina,0.029733055,m_first,speed_ratio_z,54,Average
Alejandro Tabilo,0.053163412,m_first,speed_ratio_z,39,Average
Aleksandar Kovacevic,0.02815689,m_first,speed_ratio_z,57,Average
Aleksandar Vukic,-0.116089089,m_first,speed_ratio_z,105,Average
Alex de Minaur,0.009974088,m_first,speed_ratio_z,61,Average
Alex De Minaur,0.032243884,m_first,speed_ratio_z,52,Average
Alex Molcan,-0.020259012,m_first,speed_ratio_z,73,Average
Alexander Bublik,0.267955636,m_first,speed_ratio_z,4,Over-performer
Alexander Zverev,0.440301748,m_first,speed_ratio_z,1,Over-performer
Alexandre Muller,-0.028060583,m_first,speed_ratio_z,74,Average
Alexei Popyrin,0.057314939,m_first,speed_ratio_z,37,Average
Aljaz Bedene,-0.017064729,m_first,speed_ratio_z,70,Average
Andrey Rublev,0.032061083,m_first,speed_ratio_z,53,Average
Andy Murray,0.125320315,m_first,speed_ratio_z,16,Average
Arthur Fils,-0.270262094,m_first,speed_ratio_z,126,Under-performer
Arthur Rinderknech,0.24702435,m_first,speed_ratio_z,7,Over-performer
Aslan Karatsev,-0.053071483,m_first,speed_ratio_z,83,Average
Ben Shelton,0.112803891,m_first,speed_ratio_z,18,Average
Benoit Paire,-0.175774591,m_first,speed_ratio_z,119,Under-performer
Borna Coric,-0.148967563,m_first,speed_ratio_z,117,Average
Botic van De Zandschulp,0.053991713,m_first,speed_ratio_z,38,Average
Botic Van De Zandschulp,0.1581433,m_first,speed_ratio_z,12,Average
Brandon Nakashima,0.178651508,m_first,speed_ratio_z,10,Over-performer
Cameron Norrie,-0.077196304,m_first,speed_ratio_z,88,Average
Carlos Alcaraz,-0.082716076,m_first,speed_ratio_z,95,Average
Casper Ruud,0.008062635,m_first,speed_ratio_z,63,Average
Christopher Eubanks,-0.175143941,m_first,speed_ratio_z,118,Under-performer
Cristian Garin,-0.041752878,m_first,speed_ratio_z,80,Average
Daniel Evans,0.046980807,m_first,speed_ratio_z,44,Average
Daniil Medvedev,0.000718753,m_first,speed_ratio_z,66,Average
David Goffin,-0.051668173,m_first,speed_ratio_z,82,Average
Denis Kudla,-0.018222515,m_first,speed_ratio_z,72,Average
Denis Shapovalov,0.032684012,m_first,speed_ratio_z,51,Average
Diego Schwartzman,-0.137846534,m_first,speed_ratio_z,111,Average
Dominic Stricker,0.091089392,m_first,speed_ratio_z,21,Average
Dominic Thiem,0.076931917,m_first,speed_ratio_z,25,Average
Dominik Koepfer,-0.095993644,m_first,speed_ratio_z,98,Average
Dusan Lajovic,-0.09890697,m_first,speed_ratio_z,101,Average
Elias Ymer,-0.06088993,m_first,speed_ratio_z,84,Average
Emil Ruusuvuori,0.142906524,m_first,speed_ratio_z,13,Average
Fabian Marozsan,-0.142452441,m_first,speed_ratio_z,113,Average
